event	t0	dt	ADC0	ADC1	ADC2	ADC3	ADC4
1	140935276	139	23045	22981	22965	22981	22949
2	141212603	105	22533	22533	22533	22501	22501
3	141412919	102	17220	17220	17236	17252	17236
4	141607330	106	20901	20917	20901	20901	20901
5	141805722	108	22229	22277	22229	22213	22213
6	142001012	113	19108	19108	19092	19092	19092
7	142194322	104	23173	23157	23125	23125	23109
8	142391819	106	27446	27270	27142	27062	26934
9	142586954	103	23797	23781	23749	23749	23781
10	142778075	107	19924	19924	19940	19908	19908
11	142979455	110	22629	22661	22613	22629	22613
12	143176739	121	20821	20821	20805	20821	20869
13	143368889	112	26038	25958	25942	25942	25846
14	143563827	109	24662	24630	24614	24614	24598
15	143755498	101	19252	19236	19252	19252	19284
16	143948319	110	18132	18164	18164	18180	18164
17	144148521	100	24630	24614	24598	24598	24565
18	144340836	102	22245	22197	22197	22197	22197
19	144534364	105	21029	21029	21029	21029	21029
20	144734725	103	23701	23685	23685	23653	23653
21	144924948	110	22037	22037	22021	22021	22021
22	145120644	108	19892	19908	19908	19908	19892
23	145596479	105	20244	20260	20292	20260	20244
24	145791347	102	20068	20052	20036	20036	20052
25	145986830	109	21925	21909	21925	21973	21893
26	146176426	107	19428	19444	19444	19444	19428
27	146370295	109	22405	22421	22405	22421	22405
28	146578545	109	21845	21845	21845	21829	21845
29	146768693	107	22069	22053	22037	22021	22037
30	146963882	99	18372	18372	18372	18356	18372
31	147162198	107	20901	20901	20901	20885	20885
32	147360986	107	22933	22949	22933	22965	22917
33	147562194	100	22325	22309	22293	22309	22293
34	147765110	101	21749	21781	21717	21733	21717
35	147962547	100	24549	24533	24517	24517	24501
36	148153865	105	24614	24598	24598	24582	24565
37	148343907	105	21381	21381	21381	21381	21381
38	148543733	112	18052	18020	18036	18004	18052
39	148733778	99	20068	20068	20068	20100	20052
40	148938775	108	21253	21205	21205	21205	21205
41	149138388	109	23621	23589	23605	23573	23589
42	149330429	108	22965	22933	22933	22933	22917
