Model,MDO3024
Firmware Version,1.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-05,,
Horizontal Delay,4.01e-05,,
Sample Interval,1e-08,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,1,10
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.2,0.02,2
Vertical Position,0,0,0
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
-9.900000e-06,0.032,0.0008,0
-9.890000e-06,0.032,0,0
-9.880000e-06,0.032,0,0
-9.870000e-06,0.032,0,0
-9.860000e-06,0.032,0,0
-9.850000e-06,0.024,0.0008,0.08
-9.840000e-06,0.032,0,0
-9.830000e-06,0.032,0,0
-9.820000e-06,0.032,0,0
-9.810000e-06,0.024,0,0
-9.800000e-06,0.04,0,0
-9.790000e-06,0.032,0,0.08
-9.780000e-06,0.024,0,0.08
-9.770000e-06,0.024,0,0
-9.760000e-06,0.032,0,0.08
-9.750000e-06,0.032,0,0
-9.740000e-06,0.04,0,0
-9.730000e-06,0.032,0,0.08
-9.720000e-06,0.032,0,0
-9.710000e-06,0.032,0,0
-9.700000e-06,0.032,0,0
-9.690000e-06,0.032,0,0
-9.680000e-06,0.024,0,0.08
-9.670000e-06,0.032,0,0
-9.660000e-06,0.024,-0.0008,0.08
-9.650000e-06,0.032,0,0
-9.640000e-06,0.032,0,0.08
-9.630000e-06,0.04,0,0
-9.620000e-06,0.032,0,0
-9.610000e-06,0.032,0,0
-9.600000e-06,0.024,0,0.08
-9.590000e-06,0.024,0,0
-9.580000e-06,0.032,0,0
-9.570000e-06,0.032,0,0
-9.560000e-06,0.024,0,0
-9.550000e-06,0.04,0,0
-9.540000e-06,0.024,0,0
-9.530000e-06,0.024,0,0
-9.520000e-06,0.032,0,0.08
-9.510000e-06,0.024,0,0
-9.500000e-06,0.032,0,0
-9.490000e-06,0.024,0.0008,0
-9.480000e-06,0.024,0,0
-9.470000e-06,0.032,0,0.08
-9.460000e-06,0.032,0,0.08
-9.450000e-06,0.032,0,0
-9.440000e-06,0.032,0,0
-9.430000e-06,0.032,0,0
-9.420000e-06,0.032,0,-0.08
-9.410000e-06,0.024,0,0
-9.400000e-06,0.024,0,0
-9.390000e-06,0.032,0,0
-9.380000e-06,0.024,0,0
-9.370000e-06,0.032,0,0
-9.360000e-06,0.04,0,0
-9.350000e-06,0.032,0,0
-9.340000e-06,0.024,0,0
-9.330000e-06,0.032,0,0
-9.320000e-06,0.024,0,0
-9.310000e-06,0.032,0,0
-9.300000e-06,0.032,0,0
-9.290000e-06,0.032,0,0
-9.280000e-06,0.032,0.0008,0
-9.270000e-06,0.024,0,0
-9.260000e-06,0.032,0,0
-9.250000e-06,0.032,0.0008,0
-9.240000e-06,0.032,0,0
-9.230000e-06,0.032,0,-0.08
-9.220000e-06,0.032,0.0008,0
-9.210000e-06,0.024,0,0
-9.200000e-06,0.024,0,0
-9.190000e-06,0.024,0,0
-9.180000e-06,0.032,0,0
-9.170000e-06,0.032,0,0
-9.160000e-06,0.032,0.0008,0
-9.150000e-06,0.032,0,0
-9.140000e-06,0.032,0,0
