# name, dx, fmax, fmax_err, norm_value, norm_vale_err
# 137Cs_HA 1 15944 126.26955294131677 1 0
# bin_center, freq, freq_err, norm_freq, norm_freq_err
0.500000 0 0.000000 0.000000 0.000000
1.500000 0 0.000000 0.000000 0.000000
2.500000 0 0.000000 0.000000 0.000000
3.500000 0 0.000000 0.000000 0.000000
4.500000 0 0.000000 0.000000 0.000000
5.500000 0 0.000000 0.000000 0.000000
6.500000 0 0.000000 0.000000 0.000000
7.500000 0 0.000000 0.000000 0.000000
8.500000 3 1.732051 3.000000 1.732051
9.500000 34 5.830952 34.000000 5.830952
10.500000 165 12.845233 165.000000 12.845233
11.500000 208 14.422205 208.000000 14.422205
12.500000 584 24.166092 584.000000 24.166092
13.500000 2037 45.133136 2037.000000 45.133136
14.500000 4570 67.601775 4570.000000 67.601775
15.500000 7403 86.040688 7403.000000 86.040688
16.500000 9973 99.864909 9973.000000 99.864909
17.500000 11326 106.423682 11326.000000 106.423682
18.500000 11714 108.231234 11714.000000 108.231234
19.500000 11933 109.238272 11933.000000 109.238272
20.500000 12166 110.299592 12166.000000 110.299592
21.500000 12323 111.009009 12323.000000 111.009009
22.500000 12309 110.945933 12309.000000 110.945933
23.500000 12789 113.088461 12789.000000 113.088461
24.500000 12741 112.876038 12741.000000 112.876038
25.500000 13165 114.738834 13165.000000 114.738834
26.500000 13423 115.857671 13423.000000 115.857671
27.500000 13551 116.408763 13551.000000 116.408763
28.500000 13676 116.944431 13676.000000 116.944431
29.500000 13918 117.974574 13918.000000 117.974574
30.500000 14220 119.247641 14220.000000 119.247641
31.500000 14372 119.883277 14372.000000 119.883277
32.500000 14400 120.000000 14400.000000 120.000000
33.500000 14513 120.469913 14513.000000 120.469913
34.500000 14738 121.400165 14738.000000 121.400165
35.500000 15070 122.759928 15070.000000 122.759928
36.500000 14989 122.429572 14989.000000 122.429572
37.500000 14956 122.294726 14956.000000 122.294726
38.500000 15411 124.141049 15411.000000 124.141049
39.500000 15368 123.967738 15368.000000 123.967738
40.500000 15678 125.211821 15678.000000 125.211821
41.500000 15944 126.269553 15944.000000 126.269553
42.500000 15734 125.435242 15734.000000 125.435242
43.500000 15865 125.956342 15865.000000 125.956342
44.500000 15874 125.992063 15874.000000 125.992063
45.500000 15801 125.702029 15801.000000 125.702029
46.500000 15761 125.542821 15761.000000 125.542821
47.500000 15780 125.618470 15780.000000 125.618470
48.500000 15876 126.000000 15876.000000 126.000000
49.500000 15514 124.555209 15514.000000 124.555209
50.500000 15163 123.138134 15163.000000 123.138134
51.500000 15254 123.507085 15254.000000 123.507085
52.500000 15156 123.109707 15156.000000 123.109707
53.500000 14994 122.449990 14994.000000 122.449990
54.500000 14805 121.675799 14805.000000 121.675799
55.500000 14597 120.818045 14597.000000 120.818045
56.500000 14179 119.075606 14179.000000 119.075606
57.500000 14050 118.532696 14050.000000 118.532696
58.500000 13746 117.243337 13746.000000 117.243337
59.500000 13676 116.944431 13676.000000 116.944431
60.500000 13376 115.654658 13376.000000 115.654658
61.500000 13133 114.599302 13133.000000 114.599302
62.500000 12921 113.670577 12921.000000 113.670577
63.500000 12787 113.079618 12787.000000 113.079618
64.500000 12438 111.525782 12438.000000 111.525782
65.500000 12251 110.684236 12251.000000 110.684236
66.500000 12205 110.476242 12205.000000 110.476242
67.500000 11923 109.192491 11923.000000 109.192491
68.500000 11489 107.186753 11489.000000 107.186753
69.500000 11499 107.233390 11499.000000 107.233390
70.500000 11214 105.896176 11214.000000 105.896176
71.500000 11022 104.985713 11022.000000 104.985713
72.500000 10750 103.682207 10750.000000 103.682207
73.500000 10597 102.941731 10597.000000 102.941731
74.500000 10525 102.591423 10525.000000 102.591423
75.500000 10319 101.582479 10319.000000 101.582479
76.500000 10319 101.582479 10319.000000 101.582479
77.500000 10078 100.389242 10078.000000 100.389242
78.500000 10032 100.159872 10032.000000 100.159872
79.500000 9588 97.918333 9588.000000 97.918333
80.500000 9903 99.513818 9903.000000 99.513818
81.500000 9536 97.652445 9536.000000 97.652445
82.500000 9458 97.252249 9458.000000 97.252249
83.500000 9216 96.000000 9216.000000 96.000000
84.500000 9219 96.015624 9219.000000 96.015624
85.500000 8948 94.593869 8948.000000 94.593869
86.500000 9063 95.199790 9063.000000 95.199790
87.500000 8748 93.530744 8748.000000 93.530744
88.500000 8598 92.725401 8598.000000 92.725401
89.500000 8577 92.612094 8577.000000 92.612094
90.500000 8572 92.585096 8572.000000 92.585096
91.500000 8471 92.038036 8471.000000 92.038036
92.500000 8485 92.114060 8485.000000 92.114060
93.500000 8323 91.230477 8323.000000 91.230477
94.500000 8260 90.884542 8260.000000 90.884542
95.500000 8259 90.879040 8259.000000 90.879040
96.500000 7940 89.106678 7940.000000 89.106678
97.500000 8155 90.305039 8155.000000 90.305039
98.500000 7950 89.162773 7950.000000 89.162773
99.500000 7897 88.865066 7897.000000 88.865066
100.500000 7906 88.915690 7906.000000 88.915690
101.500000 7728 87.909044 7728.000000 87.909044
102.500000 7668 87.567117 7668.000000 87.567117
103.500000 7740 87.977270 7740.000000 87.977270
104.500000 7541 86.838931 7541.000000 86.838931
105.500000 7642 87.418534 7642.000000 87.418534
106.500000 7528 86.764048 7528.000000 86.764048
107.500000 7727 87.903356 7727.000000 87.903356
108.500000 7605 87.206651 7605.000000 87.206651
109.500000 7275 85.293611 7275.000000 85.293611
110.500000 7324 85.580372 7324.000000 85.580372
111.500000 7232 85.041167 7232.000000 85.041167
112.500000 7127 84.421561 7127.000000 84.421561
113.500000 7235 85.058803 7235.000000 85.058803
114.500000 7200 84.852814 7200.000000 84.852814
115.500000 7143 84.516271 7143.000000 84.516271
116.500000 7085 84.172442 7085.000000 84.172442
117.500000 7032 83.857021 7032.000000 83.857021
118.500000 6776 82.316463 6776.000000 82.316463
119.500000 6858 82.813042 6858.000000 82.813042
120.500000 6790 82.401456 6790.000000 82.401456
121.500000 6814 82.546956 6814.000000 82.546956
122.500000 6573 81.074040 6573.000000 81.074040
123.500000 6457 80.355460 6457.000000 80.355460
124.500000 6518 80.734132 6518.000000 80.734132
125.500000 6357 79.730797 6357.000000 79.730797
126.500000 6192 78.689262 6192.000000 78.689262
127.500000 6093 78.057671 6093.000000 78.057671
128.500000 6124 78.255990 6124.000000 78.255990
129.500000 5965 77.233412 5965.000000 77.233412
130.500000 5873 76.635501 5873.000000 76.635501
131.500000 5816 76.262704 5816.000000 76.262704
132.500000 5617 74.946648 5617.000000 74.946648
133.500000 5552 74.511744 5552.000000 74.511744
134.500000 5467 73.939164 5467.000000 73.939164
135.500000 5461 73.898579 5461.000000 73.898579
136.500000 5208 72.166474 5208.000000 72.166474
137.500000 5233 72.339477 5233.000000 72.339477
138.500000 5173 71.923571 5173.000000 71.923571
139.500000 4921 70.149840 4921.000000 70.149840
140.500000 4828 69.483811 4828.000000 69.483811
141.500000 4792 69.224273 4792.000000 69.224273
142.500000 4824 69.455021 4824.000000 69.455021
143.500000 4725 68.738635 4725.000000 68.738635
144.500000 4564 67.557383 4564.000000 67.557383
145.500000 4502 67.096945 4502.000000 67.096945
146.500000 4345 65.916614 4345.000000 65.916614
147.500000 4270 65.345237 4270.000000 65.345237
148.500000 4376 66.151342 4376.000000 66.151342
149.500000 4262 65.283995 4262.000000 65.283995
150.500000 4153 64.443774 4153.000000 64.443774
151.500000 4211 64.892218 4211.000000 64.892218
152.500000 4198 64.791975 4198.000000 64.791975
153.500000 4056 63.686733 4056.000000 63.686733
154.500000 4063 63.741666 4063.000000 63.741666
155.500000 4015 63.364028 4015.000000 63.364028
156.500000 4101 64.039051 4101.000000 64.039051
157.500000 4239 65.107603 4239.000000 65.107603
158.500000 4103 64.054664 4103.000000 64.054664
159.500000 4165 64.536811 4165.000000 64.536811
160.500000 4197 64.784257 4197.000000 64.784257
161.500000 4254 65.222695 4254.000000 65.222695
162.500000 4397 66.309879 4397.000000 66.309879
163.500000 4539 67.372101 4539.000000 67.372101
164.500000 4393 66.279710 4393.000000 66.279710
165.500000 4530 67.305275 4530.000000 67.305275
166.500000 4658 68.249542 4658.000000 68.249542
167.500000 4686 68.454364 4686.000000 68.454364
168.500000 4645 68.154237 4645.000000 68.154237
169.500000 4778 69.123079 4778.000000 69.123079
170.500000 4838 69.555733 4838.000000 69.555733
171.500000 4996 70.682388 4996.000000 70.682388
172.500000 4980 70.569115 4980.000000 70.569115
