# name, dx, fmax, fmax_err, norm_value, norm_vale_err
# 137Cs_LA 1 400 20.0 1 0
# bin_center, freq, freq_err, norm_freq, norm_freq_err
0.500000 0 0.000000 0.000000 0.000000
1.500000 0 0.000000 0.000000 0.000000
2.500000 0 0.000000 0.000000 0.000000
3.500000 0 0.000000 0.000000 0.000000
4.500000 0 0.000000 0.000000 0.000000
5.500000 0 0.000000 0.000000 0.000000
6.500000 0 0.000000 0.000000 0.000000
7.500000 0 0.000000 0.000000 0.000000
8.500000 0 0.000000 0.000000 0.000000
9.500000 0 0.000000 0.000000 0.000000
10.500000 0 0.000000 0.000000 0.000000
11.500000 1 1.000000 1.000000 1.000000
12.500000 6 2.449490 6.000000 2.449490
13.500000 44 6.633250 44.000000 6.633250
14.500000 106 10.295630 106.000000 10.295630
15.500000 176 13.266499 176.000000 13.266499
16.500000 238 15.427249 238.000000 15.427249
17.500000 265 16.278821 265.000000 16.278821
18.500000 267 16.340135 267.000000 16.340135
19.500000 260 16.124515 260.000000 16.124515
20.500000 255 15.968719 255.000000 15.968719
21.500000 288 16.970563 288.000000 16.970563
22.500000 310 17.606817 310.000000 17.606817
23.500000 302 17.378147 302.000000 17.378147
24.500000 236 15.362291 236.000000 15.362291
25.500000 277 16.643317 277.000000 16.643317
26.500000 280 16.733201 280.000000 16.733201
27.500000 299 17.291616 299.000000 17.291616
28.500000 297 17.233688 297.000000 17.233688
29.500000 291 17.058722 291.000000 17.058722
30.500000 297 17.233688 297.000000 17.233688
31.500000 293 17.117243 293.000000 17.117243
32.500000 262 16.186414 262.000000 16.186414
33.500000 273 16.522712 273.000000 16.522712
34.500000 299 17.291616 299.000000 17.291616
35.500000 297 17.233688 297.000000 17.233688
36.500000 271 16.462078 271.000000 16.462078
37.500000 299 17.291616 299.000000 17.291616
38.500000 308 17.549929 308.000000 17.549929
39.500000 296 17.204651 296.000000 17.204651
40.500000 316 17.776389 316.000000 17.776389
41.500000 305 17.464249 305.000000 17.464249
42.500000 305 17.464249 305.000000 17.464249
43.500000 279 16.703293 279.000000 16.703293
44.500000 300 17.320508 300.000000 17.320508
45.500000 321 17.916473 321.000000 17.916473
46.500000 278 16.673332 278.000000 16.673332
47.500000 322 17.944358 322.000000 17.944358
48.500000 284 16.852300 284.000000 16.852300
49.500000 334 18.275667 334.000000 18.275667
50.500000 314 17.720045 314.000000 17.720045
51.500000 309 17.578396 309.000000 17.578396
52.500000 303 17.406895 303.000000 17.406895
53.500000 290 17.029386 290.000000 17.029386
54.500000 307 17.521415 307.000000 17.521415
55.500000 311 17.635192 311.000000 17.635192
56.500000 293 17.117243 293.000000 17.117243
57.500000 315 17.748239 315.000000 17.748239
58.500000 306 17.492856 306.000000 17.492856
59.500000 310 17.606817 310.000000 17.606817
60.500000 301 17.349352 301.000000 17.349352
61.500000 307 17.521415 307.000000 17.521415
62.500000 323 17.972201 323.000000 17.972201
63.500000 307 17.521415 307.000000 17.521415
64.500000 289 17.000000 289.000000 17.000000
65.500000 297 17.233688 297.000000 17.233688
66.500000 281 16.763055 281.000000 16.763055
67.500000 302 17.378147 302.000000 17.378147
68.500000 298 17.262677 298.000000 17.262677
69.500000 320 17.888544 320.000000 17.888544
70.500000 318 17.832555 318.000000 17.832555
71.500000 319 17.860571 319.000000 17.860571
72.500000 336 18.330303 336.000000 18.330303
73.500000 309 17.578396 309.000000 17.578396
74.500000 317 17.804494 317.000000 17.804494
75.500000 370 19.235384 370.000000 19.235384
76.500000 331 18.193405 331.000000 18.193405
77.500000 340 18.439089 340.000000 18.439089
78.500000 318 17.832555 318.000000 17.832555
79.500000 330 18.165902 330.000000 18.165902
80.500000 331 18.193405 331.000000 18.193405
81.500000 329 18.138357 329.000000 18.138357
82.500000 336 18.330303 336.000000 18.330303
83.500000 325 18.027756 325.000000 18.027756
84.500000 355 18.841444 355.000000 18.841444
85.500000 357 18.894444 357.000000 18.894444
86.500000 350 18.708287 350.000000 18.708287
87.500000 357 18.894444 357.000000 18.894444
88.500000 327 18.083141 327.000000 18.083141
89.500000 332 18.220867 332.000000 18.220867
90.500000 354 18.814888 354.000000 18.814888
91.500000 325 18.027756 325.000000 18.027756
92.500000 340 18.439089 340.000000 18.439089
93.500000 300 17.320508 300.000000 17.320508
94.500000 345 18.574176 345.000000 18.574176
95.500000 353 18.788294 353.000000 18.788294
96.500000 361 19.000000 361.000000 19.000000
97.500000 375 19.364917 375.000000 19.364917
98.500000 370 19.235384 370.000000 19.235384
99.500000 352 18.761663 352.000000 18.761663
100.500000 400 20.000000 400.000000 20.000000
101.500000 350 18.708287 350.000000 18.708287
102.500000 326 18.055470 326.000000 18.055470
103.500000 396 19.899749 396.000000 19.899749
104.500000 345 18.574176 345.000000 18.574176
105.500000 344 18.547237 344.000000 18.547237
106.500000 330 18.165902 330.000000 18.165902
107.500000 350 18.708287 350.000000 18.708287
108.500000 360 18.973666 360.000000 18.973666
109.500000 353 18.788294 353.000000 18.788294
110.500000 346 18.601075 346.000000 18.601075
111.500000 356 18.867962 356.000000 18.867962
112.500000 370 19.235384 370.000000 19.235384
113.500000 394 19.849433 394.000000 19.849433
114.500000 357 18.894444 357.000000 18.894444
115.500000 341 18.466185 341.000000 18.466185
116.500000 366 19.131126 366.000000 19.131126
117.500000 372 19.287302 372.000000 19.287302
118.500000 332 18.220867 332.000000 18.220867
119.500000 356 18.867962 356.000000 18.867962
120.500000 357 18.894444 357.000000 18.894444
121.500000 350 18.708287 350.000000 18.708287
122.500000 336 18.330303 336.000000 18.330303
123.500000 335 18.303005 335.000000 18.303005
124.500000 334 18.275667 334.000000 18.275667
125.500000 333 18.248288 333.000000 18.248288
126.500000 329 18.138357 329.000000 18.138357
127.500000 316 17.776389 316.000000 17.776389
128.500000 338 18.384776 338.000000 18.384776
129.500000 353 18.788294 353.000000 18.788294
130.500000 345 18.574176 345.000000 18.574176
131.500000 332 18.220867 332.000000 18.220867
132.500000 331 18.193405 331.000000 18.193405
133.500000 316 17.776389 316.000000 17.776389
134.500000 357 18.894444 357.000000 18.894444
135.500000 317 17.804494 317.000000 17.804494
136.500000 323 17.972201 323.000000 17.972201
137.500000 335 18.303005 335.000000 18.303005
138.500000 290 17.029386 290.000000 17.029386
139.500000 290 17.029386 290.000000 17.029386
140.500000 282 16.792856 282.000000 16.792856
141.500000 309 17.578396 309.000000 17.578396
142.500000 304 17.435596 304.000000 17.435596
143.500000 307 17.521415 307.000000 17.521415
144.500000 305 17.464249 305.000000 17.464249
145.500000 293 17.117243 293.000000 17.117243
146.500000 283 16.822604 283.000000 16.822604
147.500000 341 18.466185 341.000000 18.466185
148.500000 288 16.970563 288.000000 16.970563
149.500000 296 17.204651 296.000000 17.204651
150.500000 283 16.822604 283.000000 16.822604
151.500000 295 17.175564 295.000000 17.175564
152.500000 309 17.578396 309.000000 17.578396
153.500000 295 17.175564 295.000000 17.175564
154.500000 284 16.852300 284.000000 16.852300
155.500000 291 17.058722 291.000000 17.058722
156.500000 302 17.378147 302.000000 17.378147
157.500000 285 16.881943 285.000000 16.881943
158.500000 309 17.578396 309.000000 17.578396
159.500000 270 16.431677 270.000000 16.431677
160.500000 287 16.941074 287.000000 16.941074
161.500000 299 17.291616 299.000000 17.291616
162.500000 307 17.521415 307.000000 17.521415
163.500000 304 17.435596 304.000000 17.435596
164.500000 283 16.822604 283.000000 16.822604
165.500000 301 17.349352 301.000000 17.349352
166.500000 302 17.378147 302.000000 17.378147
167.500000 314 17.720045 314.000000 17.720045
168.500000 305 17.464249 305.000000 17.464249
169.500000 302 17.378147 302.000000 17.378147
170.500000 298 17.262677 298.000000 17.262677
171.500000 304 17.435596 304.000000 17.435596
172.500000 288 16.970563 288.000000 16.970563
173.500000 269 16.401219 269.000000 16.401219
174.500000 310 17.606817 310.000000 17.606817
175.500000 304 17.435596 304.000000 17.435596
176.500000 311 17.635192 311.000000 17.635192
177.500000 311 17.635192 311.000000 17.635192
178.500000 296 17.204651 296.000000 17.204651
179.500000 307 17.521415 307.000000 17.521415
180.500000 334 18.275667 334.000000 18.275667
181.500000 335 18.303005 335.000000 18.303005
182.500000 314 17.720045 314.000000 17.720045
183.500000 309 17.578396 309.000000 17.578396
184.500000 315 17.748239 315.000000 17.748239
185.500000 306 17.492856 306.000000 17.492856
186.500000 304 17.435596 304.000000 17.435596
187.500000 302 17.378147 302.000000 17.378147
