# name, dx, fmax, fmax_err, norm_value, norm_vale_err
# 54Mn 1 5385 73.38255923582933 1 0
# bin_center, freq, freq_err, norm_freq, norm_freq_err
0.500000 0 0.000000 0.000000 0.000000
1.500000 0 0.000000 0.000000 0.000000
2.500000 0 0.000000 0.000000 0.000000
3.500000 0 0.000000 0.000000 0.000000
4.500000 0 0.000000 0.000000 0.000000
5.500000 0 0.000000 0.000000 0.000000
6.500000 0 0.000000 0.000000 0.000000
7.500000 0 0.000000 0.000000 0.000000
8.500000 0 0.000000 0.000000 0.000000
9.500000 7 2.645751 7.000000 2.645751
10.500000 20 4.472136 20.000000 4.472136
11.500000 31 5.567764 31.000000 5.567764
12.500000 84 9.165151 84.000000 9.165151
13.500000 515 22.693611 515.000000 22.693611
14.500000 1346 36.687873 1346.000000 36.687873
15.500000 2278 47.728398 2278.000000 47.728398
16.500000 3133 55.973208 3133.000000 55.973208
17.500000 3535 59.455866 3535.000000 59.455866
18.500000 3651 60.423505 3651.000000 60.423505
19.500000 3667 60.555759 3667.000000 60.555759
20.500000 3740 61.155539 3740.000000 61.155539
21.500000 3753 61.261734 3753.000000 61.261734
22.500000 3804 61.676576 3804.000000 61.676576
23.500000 3844 62.000000 3844.000000 62.000000
24.500000 3739 61.147363 3739.000000 61.147363
25.500000 3833 61.911227 3833.000000 61.911227
26.500000 3910 62.529993 3910.000000 62.529993
27.500000 3937 62.745518 3937.000000 62.745518
28.500000 3931 62.697687 3931.000000 62.697687
29.500000 3806 61.692787 3806.000000 61.692787
30.500000 3927 62.665780 3927.000000 62.665780
31.500000 4021 63.411355 4021.000000 63.411355
32.500000 3999 63.237647 3999.000000 63.237647
33.500000 4073 63.820060 4073.000000 63.820060
34.500000 4138 64.327288 4138.000000 64.327288
35.500000 4145 64.381674 4145.000000 64.381674
36.500000 4059 63.710282 4059.000000 63.710282
37.500000 4341 65.886266 4341.000000 65.886266
38.500000 4335 65.840717 4335.000000 65.840717
39.500000 4325 65.764732 4325.000000 65.764732
40.500000 4357 66.007575 4357.000000 66.007575
41.500000 4421 66.490601 4421.000000 66.490601
42.500000 4452 66.723309 4452.000000 66.723309
43.500000 4544 67.409198 4544.000000 67.409198
44.500000 4598 67.808554 4598.000000 67.808554
45.500000 4719 68.694978 4719.000000 68.694978
46.500000 4811 69.361373 4811.000000 69.361373
47.500000 4895 69.964277 4895.000000 69.964277
48.500000 4899 69.992857 4899.000000 69.992857
49.500000 5019 70.844901 5019.000000 70.844901
50.500000 5093 71.365258 5093.000000 71.365258
51.500000 5133 71.644958 5133.000000 71.644958
52.500000 5331 73.013697 5331.000000 73.013697
53.500000 5241 72.394751 5241.000000 72.394751
54.500000 5219 72.242647 5219.000000 72.242647
55.500000 5239 72.380937 5239.000000 72.380937
56.500000 5315 72.904047 5315.000000 72.904047
57.500000 5243 72.408563 5243.000000 72.408563
58.500000 5355 73.177866 5355.000000 73.177866
59.500000 5385 73.382559 5385.000000 73.382559
60.500000 5215 72.214957 5215.000000 72.214957
61.500000 5195 72.076348 5195.000000 72.076348
62.500000 5244 72.415468 5244.000000 72.415468
63.500000 5192 72.055534 5192.000000 72.055534
64.500000 5124 71.582121 5124.000000 71.582121
65.500000 5037 70.971825 5037.000000 70.971825
66.500000 4971 70.505319 4971.000000 70.505319
67.500000 4980 70.569115 4980.000000 70.569115
68.500000 4918 70.128454 4918.000000 70.128454
69.500000 4772 69.079664 4772.000000 69.079664
70.500000 4852 69.656299 4852.000000 69.656299
71.500000 4800 69.282032 4800.000000 69.282032
72.500000 4609 67.889616 4609.000000 67.889616
73.500000 4494 67.037303 4494.000000 67.037303
74.500000 4534 67.334983 4534.000000 67.334983
75.500000 4510 67.156534 4510.000000 67.156534
76.500000 4417 66.460515 4417.000000 66.460515
77.500000 4338 65.863495 4338.000000 65.863495
78.500000 4340 65.878676 4340.000000 65.878676
79.500000 4220 64.961527 4220.000000 64.961527
80.500000 4063 63.741666 4063.000000 63.741666
81.500000 4104 64.062470 4104.000000 64.062470
82.500000 4123 64.210591 4123.000000 64.210591
83.500000 4093 63.976558 4093.000000 63.976558
84.500000 4010 63.324561 4010.000000 63.324561
85.500000 3761 61.326992 3761.000000 61.326992
86.500000 3903 62.473995 3903.000000 62.473995
87.500000 3803 61.668468 3803.000000 61.668468
88.500000 3915 62.569961 3915.000000 62.569961
89.500000 3770 61.400326 3770.000000 61.400326
90.500000 3754 61.269895 3754.000000 61.269895
91.500000 3801 61.652251 3801.000000 61.652251
92.500000 3727 61.049161 3727.000000 61.049161
93.500000 3670 60.580525 3670.000000 60.580525
94.500000 3640 60.332413 3640.000000 60.332413
95.500000 3607 60.058305 3607.000000 60.058305
96.500000 3573 59.774577 3573.000000 59.774577
97.500000 3470 58.906706 3470.000000 58.906706
98.500000 3399 58.300943 3399.000000 58.300943
99.500000 3455 58.779248 3455.000000 58.779248
100.500000 3461 58.830264 3461.000000 58.830264
101.500000 3379 58.129167 3379.000000 58.129167
102.500000 3437 58.625933 3437.000000 58.625933
103.500000 3362 57.982756 3362.000000 57.982756
104.500000 3367 58.025856 3367.000000 58.025856
105.500000 3448 58.719673 3448.000000 58.719673
106.500000 3171 56.311633 3171.000000 56.311633
107.500000 3299 57.436922 3299.000000 57.436922
108.500000 3402 58.326666 3402.000000 58.326666
109.500000 3336 57.758116 3336.000000 57.758116
110.500000 3194 56.515485 3194.000000 56.515485
111.500000 3177 56.364883 3177.000000 56.364883
112.500000 3216 56.709788 3216.000000 56.709788
113.500000 3235 56.877060 3235.000000 56.877060
114.500000 3282 57.288742 3282.000000 57.288742
115.500000 3195 56.524331 3195.000000 56.524331
116.500000 3251 57.017541 3251.000000 57.017541
117.500000 3150 56.124861 3150.000000 56.124861
118.500000 3230 56.833089 3230.000000 56.833089
119.500000 3166 56.267220 3166.000000 56.267220
120.500000 3199 56.559703 3199.000000 56.559703
121.500000 3090 55.587768 3090.000000 55.587768
122.500000 3132 55.964274 3132.000000 55.964274
123.500000 3161 56.222771 3161.000000 56.222771
124.500000 3117 55.830099 3117.000000 55.830099
125.500000 3184 56.426944 3184.000000 56.426944
126.500000 3148 56.107041 3148.000000 56.107041
127.500000 3120 55.856960 3120.000000 55.856960
128.500000 3105 55.722527 3105.000000 55.722527
129.500000 2996 54.735729 2996.000000 54.735729
130.500000 3020 54.954527 3020.000000 54.954527
131.500000 3087 55.560778 3087.000000 55.560778
132.500000 3147 56.098128 3147.000000 56.098128
133.500000 3102 55.695601 3102.000000 55.695601
134.500000 2979 54.580216 2979.000000 54.580216
135.500000 2928 54.110997 2928.000000 54.110997
136.500000 3109 55.758407 3109.000000 55.758407
137.500000 3074 55.443665 3074.000000 55.443665
138.500000 3005 54.817880 3005.000000 54.817880
139.500000 2951 54.323107 2951.000000 54.323107
140.500000 2932 54.147945 2932.000000 54.147945
141.500000 3057 55.290144 3057.000000 55.290144
142.500000 3033 55.072679 3033.000000 55.072679
143.500000 2996 54.735729 2996.000000 54.735729
144.500000 3052 55.244909 3052.000000 55.244909
145.500000 2950 54.313902 2950.000000 54.313902
146.500000 2943 54.249424 2943.000000 54.249424
147.500000 2861 53.488316 2861.000000 53.488316
148.500000 2913 53.972215 2913.000000 53.972215
149.500000 3029 55.036352 3029.000000 55.036352
150.500000 2925 54.083269 2925.000000 54.083269
151.500000 2999 54.763126 2999.000000 54.763126
152.500000 2915 53.990740 2915.000000 53.990740
153.500000 3040 55.136195 3040.000000 55.136195
154.500000 3017 54.927225 3017.000000 54.927225
155.500000 3057 55.290144 3057.000000 55.290144
156.500000 2997 54.744863 2997.000000 54.744863
157.500000 2960 54.405882 2960.000000 54.405882
158.500000 2992 54.699177 2992.000000 54.699177
159.500000 3069 55.398556 3069.000000 55.398556
160.500000 3013 54.890801 3013.000000 54.890801
161.500000 3059 55.308227 3059.000000 55.308227
162.500000 3088 55.569776 3088.000000 55.569776
163.500000 3040 55.136195 3040.000000 55.136195
164.500000 3012 54.881691 3012.000000 54.881691
165.500000 3005 54.817880 3005.000000 54.817880
166.500000 3176 56.356011 3176.000000 56.356011
167.500000 3064 55.353410 3064.000000 55.353410
168.500000 3019 54.945427 3019.000000 54.945427
169.500000 3071 55.416604 3071.000000 55.416604
170.500000 3001 54.781384 3001.000000 54.781384
171.500000 3090 55.587768 3090.000000 55.587768
172.500000 3131 55.955339 3131.000000 55.955339
