# name, dx, fmax, fmax_err, norm_value, norm_vale_err
# 68Ge 1 271 16.46207763315433 1 0
# bin_center, freq, freq_err, norm_freq, norm_freq_err
0.500000 0 0.000000 0.000000 0.000000
1.500000 0 0.000000 0.000000 0.000000
2.500000 0 0.000000 0.000000 0.000000
3.500000 0 0.000000 0.000000 0.000000
4.500000 0 0.000000 0.000000 0.000000
5.500000 0 0.000000 0.000000 0.000000
6.500000 0 0.000000 0.000000 0.000000
7.500000 0 0.000000 0.000000 0.000000
8.500000 0 0.000000 0.000000 0.000000
9.500000 0 0.000000 0.000000 0.000000
10.500000 0 0.000000 0.000000 0.000000
11.500000 1 1.000000 1.000000 1.000000
12.500000 1 1.000000 1.000000 1.000000
13.500000 17 4.123106 17.000000 4.123106
14.500000 64 8.000000 64.000000 8.000000
15.500000 94 9.695360 94.000000 9.695360
16.500000 164 12.806248 164.000000 12.806248
17.500000 151 12.288206 151.000000 12.288206
18.500000 189 13.747727 189.000000 13.747727
19.500000 147 12.124356 147.000000 12.124356
20.500000 174 13.190906 174.000000 13.190906
21.500000 131 11.445523 131.000000 11.445523
22.500000 156 12.489996 156.000000 12.489996
23.500000 144 12.000000 144.000000 12.000000
24.500000 164 12.806248 164.000000 12.806248
25.500000 166 12.884099 166.000000 12.884099
26.500000 172 13.114877 172.000000 13.114877
27.500000 152 12.328828 152.000000 12.328828
28.500000 129 11.357817 129.000000 11.357817
29.500000 153 12.369317 153.000000 12.369317
30.500000 158 12.569805 158.000000 12.569805
31.500000 149 12.206556 149.000000 12.206556
32.500000 159 12.609520 159.000000 12.609520
33.500000 181 13.453624 181.000000 13.453624
34.500000 162 12.727922 162.000000 12.727922
35.500000 203 14.247807 203.000000 14.247807
36.500000 151 12.288206 151.000000 12.288206
37.500000 220 14.832397 220.000000 14.832397
38.500000 192 13.856406 192.000000 13.856406
39.500000 214 14.628739 214.000000 14.628739
40.500000 183 13.527749 183.000000 13.527749
41.500000 209 14.456832 209.000000 14.456832
42.500000 240 15.491933 240.000000 15.491933
43.500000 179 13.379088 179.000000 13.379088
44.500000 213 14.594520 213.000000 14.594520
45.500000 217 14.730920 217.000000 14.730920
46.500000 220 14.832397 220.000000 14.832397
47.500000 247 15.716234 247.000000 15.716234
48.500000 254 15.937377 254.000000 15.937377
49.500000 189 13.747727 189.000000 13.747727
50.500000 211 14.525839 211.000000 14.525839
51.500000 211 14.525839 211.000000 14.525839
52.500000 199 14.106736 199.000000 14.106736
53.500000 253 15.905974 253.000000 15.905974
54.500000 189 13.747727 189.000000 13.747727
55.500000 204 14.282857 204.000000 14.282857
56.500000 220 14.832397 220.000000 14.832397
57.500000 199 14.106736 199.000000 14.106736
58.500000 237 15.394804 237.000000 15.394804
59.500000 191 13.820275 191.000000 13.820275
60.500000 187 13.674794 187.000000 13.674794
61.500000 188 13.711309 188.000000 13.711309
62.500000 173 13.152946 173.000000 13.152946
63.500000 162 12.727922 162.000000 12.727922
64.500000 196 14.000000 196.000000 14.000000
65.500000 227 15.066519 227.000000 15.066519
66.500000 209 14.456832 209.000000 14.456832
67.500000 139 11.789826 139.000000 11.789826
68.500000 149 12.206556 149.000000 12.206556
69.500000 169 13.000000 169.000000 13.000000
70.500000 158 12.569805 158.000000 12.569805
71.500000 211 14.525839 211.000000 14.525839
72.500000 209 14.456832 209.000000 14.456832
73.500000 207 14.387495 207.000000 14.387495
74.500000 108 10.392305 108.000000 10.392305
75.500000 149 12.206556 149.000000 12.206556
76.500000 198 14.071247 198.000000 14.071247
77.500000 237 15.394804 237.000000 15.394804
78.500000 155 12.449900 155.000000 12.449900
79.500000 152 12.328828 152.000000 12.328828
80.500000 113 10.630146 113.000000 10.630146
81.500000 148 12.165525 148.000000 12.165525
82.500000 133 11.532563 133.000000 11.532563
83.500000 170 13.038405 170.000000 13.038405
84.500000 151 12.288206 151.000000 12.288206
85.500000 131 11.445523 131.000000 11.445523
86.500000 131 11.445523 131.000000 11.445523
87.500000 140 11.832160 140.000000 11.832160
88.500000 127 11.269428 127.000000 11.269428
89.500000 129 11.357817 129.000000 11.357817
90.500000 112 10.583005 112.000000 10.583005
91.500000 124 11.135529 124.000000 11.135529
92.500000 172 13.114877 172.000000 13.114877
93.500000 114 10.677078 114.000000 10.677078
94.500000 128 11.313708 128.000000 11.313708
95.500000 151 12.288206 151.000000 12.288206
96.500000 134 11.575837 134.000000 11.575837
97.500000 109 10.440307 109.000000 10.440307
98.500000 106 10.295630 106.000000 10.295630
99.500000 140 11.832160 140.000000 11.832160
100.500000 137 11.704700 137.000000 11.704700
101.500000 88 9.380832 88.000000 9.380832
102.500000 80 8.944272 80.000000 8.944272
103.500000 94 9.695360 94.000000 9.695360
104.500000 70 8.366600 70.000000 8.366600
105.500000 112 10.583005 112.000000 10.583005
106.500000 83 9.110434 83.000000 9.110434
107.500000 59 7.681146 59.000000 7.681146
108.500000 79 8.888194 79.000000 8.888194
109.500000 96 9.797959 96.000000 9.797959
110.500000 75 8.660254 75.000000 8.660254
111.500000 97 9.848858 97.000000 9.848858
112.500000 67 8.185353 67.000000 8.185353
113.500000 62 7.874008 62.000000 7.874008
114.500000 71 8.426150 71.000000 8.426150
115.500000 80 8.944272 80.000000 8.944272
116.500000 92 9.591663 92.000000 9.591663
117.500000 98 9.899495 98.000000 9.899495
118.500000 87 9.327379 87.000000 9.327379
119.500000 85 9.219544 85.000000 9.219544
120.500000 125 11.180340 125.000000 11.180340
121.500000 100 10.000000 100.000000 10.000000
122.500000 107 10.344080 107.000000 10.344080
123.500000 81 9.000000 81.000000 9.000000
124.500000 97 9.848858 97.000000 9.848858
125.500000 71 8.426150 71.000000 8.426150
126.500000 57 7.549834 57.000000 7.549834
127.500000 26 5.099020 26.000000 5.099020
128.500000 73 8.544004 73.000000 8.544004
129.500000 14 3.741657 14.000000 3.741657
130.500000 79 8.888194 79.000000 8.888194
131.500000 74 8.602325 74.000000 8.602325
132.500000 106 10.295630 106.000000 10.295630
133.500000 58 7.615773 58.000000 7.615773
134.500000 69 8.306624 69.000000 8.306624
135.500000 95 9.746794 95.000000 9.746794
136.500000 126 11.224972 126.000000 11.224972
137.500000 147 12.124356 147.000000 12.124356
138.500000 120 10.954451 120.000000 10.954451
139.500000 124 11.135529 124.000000 11.135529
140.500000 67 8.185353 67.000000 8.185353
141.500000 155 12.449900 155.000000 12.449900
142.500000 190 13.784049 190.000000 13.784049
143.500000 188 13.711309 188.000000 13.711309
144.500000 150 12.247449 150.000000 12.247449
145.500000 189 13.747727 189.000000 13.747727
146.500000 155 12.449900 155.000000 12.449900
147.500000 179 13.379088 179.000000 13.379088
148.500000 244 15.620499 244.000000 15.620499
149.500000 225 15.000000 225.000000 15.000000
150.500000 188 13.711309 188.000000 13.711309
151.500000 204 14.282857 204.000000 14.282857
152.500000 179 13.379088 179.000000 13.379088
153.500000 186 13.638182 186.000000 13.638182
154.500000 185 13.601471 185.000000 13.601471
155.500000 271 16.462078 271.000000 16.462078
156.500000 217 14.730920 217.000000 14.730920
157.500000 249 15.779734 249.000000 15.779734
158.500000 173 13.152946 173.000000 13.152946
159.500000 213 14.594520 213.000000 14.594520
160.500000 247 15.716234 247.000000 15.716234
161.500000 240 15.491933 240.000000 15.491933
162.500000 208 14.422205 208.000000 14.422205
163.500000 191 13.820275 191.000000 13.820275
164.500000 234 15.297059 234.000000 15.297059
165.500000 234 15.297059 234.000000 15.297059
166.500000 217 14.730920 217.000000 14.730920
167.500000 166 12.884099 166.000000 12.884099
168.500000 176 13.266499 176.000000 13.266499
169.500000 122 11.045361 122.000000 11.045361
170.500000 119 10.908712 119.000000 10.908712
171.500000 106 10.295630 106.000000 10.295630
172.500000 141 11.874342 141.000000 11.874342
173.500000 147 12.124356 147.000000 12.124356
174.500000 106 10.295630 106.000000 10.295630
175.500000 159 12.609520 159.000000 12.609520
176.500000 132 11.489125 132.000000 11.489125
177.500000 145 12.041595 145.000000 12.041595
178.500000 85 9.219544 85.000000 9.219544
179.500000 108 10.392305 108.000000 10.392305
180.500000 89 9.433981 89.000000 9.433981
181.500000 127 11.269428 127.000000 11.269428
182.500000 92 9.591663 92.000000 9.591663
183.500000 60 7.745967 60.000000 7.745967
184.500000 106 10.295630 106.000000 10.295630
185.500000 94 9.695360 94.000000 9.695360
186.500000 77 8.774964 77.000000 8.774964
187.500000 79 8.888194 79.000000 8.888194
