#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2024-05-22, 16:32:04
# Real time (s): 1944.980
# Live time (s): 1800.000
#
# Total counts:  24068363
#
# Left marker:  511 (433.371 keV)
# Right marker: 513 (435.065 keV)
# Counts:  2555
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.669355
#     A1: 0.846774
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	1.516	65	0.0361111
2	2.363	94	0.0522222
3	3.210	342	0.19
4	4.056	3346	1.85889
5	4.903	9012	5.00667
6	5.750	12069	6.705
7	6.597	15844	8.80222
8	7.444	26571	14.7617
9	8.290	81948	45.5267
10	9.137	104486	58.0478
11	9.984	157329	87.405
12	10.831	168640	93.6889
13	11.677	162789	90.4383
14	12.524	164906	91.6144
15	13.371	167312	92.9511
16	14.218	169857	94.365
17	15.065	172613	95.8961
18	15.911	175620	97.5667
19	16.758	180137	100.076
20	17.605	185043	102.802
21	18.452	188126	104.514
22	19.298	192869	107.149
23	20.145	196387	109.104
24	20.992	201259	111.811
25	21.839	205201	114.001
26	22.685	208328	115.738
27	23.532	210042	116.69
28	24.379	213130	118.406
29	25.226	215082	119.49
30	26.073	215008	119.449
31	26.919	214474	119.152
32	27.766	213529	118.627
33	28.613	211534	117.519
34	29.460	209125	116.181
35	30.306	206351	114.639
36	31.153	203795	113.219
37	32.000	201316	111.842
38	32.847	197065	109.481
39	33.694	193235	107.353
40	34.540	190115	105.619
41	35.387	186286	103.492
42	36.234	182687	101.493
43	37.081	178839	99.355
44	37.927	176747	98.1928
45	38.774	173312	96.2844
46	39.621	171228	95.1267
47	40.468	167322	92.9567
48	41.315	165703	92.0572
49	42.161	162641	90.3561
50	43.008	160096	88.9422
51	43.855	157948	87.7489
52	44.702	156488	86.9378
53	45.548	154657	85.9206
54	46.395	152894	84.9411
55	47.242	150966	83.87
56	48.089	148813	82.6739
57	48.935	147534	81.9633
58	49.782	144390	80.2167
59	50.629	142325	79.0694
