#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2024-05-22, 15:57:57
# Real time (s): 1907.300
# Live time (s): 1800.000
#
# Total counts:  24412704
#
# Left marker:  511 (433.371 keV)
# Right marker: 513 (435.065 keV)
# Counts:  3488
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.669355
#     A1: 0.846774
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	1.516	143	0.0794444
2	2.363	159	0.0883333
3	3.210	137	0.0761111
4	4.056	173	0.0961111
5	4.903	929	0.516111
6	5.750	3424	1.90222
7	6.597	21830	12.1278
8	7.444	66542	36.9678
9	8.290	84059	46.6994
10	9.137	125305	69.6139
11	9.984	123697	68.7206
12	10.831	120841	67.1339
13	11.677	121705	67.6139
14	12.524	122593	68.1072
15	13.371	123147	68.415
16	14.218	124136	68.9644
17	15.065	126091	70.0506
18	15.911	127588	70.8822
19	16.758	129104	71.7244
20	17.605	130593	72.5517
21	18.452	132625	73.6806
22	19.298	134693	74.8294
23	20.145	136104	75.6133
24	20.992	138230	76.7944
25	21.839	140220	77.9
26	22.685	143405	79.6694
27	23.532	145204	80.6689
28	24.379	147680	82.0444
29	25.226	151078	83.9322
30	26.073	153994	85.5522
31	26.919	157936	87.7422
32	27.766	160149	88.9717
33	28.613	163779	90.9883
34	29.460	166274	92.3744
35	30.306	168771	93.7617
36	31.153	169982	94.4344
37	32.000	172306	95.7256
38	32.847	172960	96.0889
39	33.694	173589	96.4383
40	34.540	173891	96.6061
41	35.387	173987	96.6594
42	36.234	173444	96.3578
43	37.081	173273	96.2628
44	37.927	170787	94.8817
45	38.774	169435	94.1306
46	39.621	167648	93.1378
47	40.468	166024	92.2356
48	41.315	164140	91.1889
49	42.161	161646	89.8033
50	43.008	158940	88.3
51	43.855	157131	87.295
52	44.702	154360	85.7556
53	45.548	152465	84.7028
54	46.395	149079	82.8217
55	47.242	147224	81.7911
56	48.089	145095	80.6083
57	48.935	142987	79.4372
58	49.782	140743	78.1906
59	50.629	139525	77.5139
60	51.476	137028	76.1267
61	52.323	134714	74.8411
62	53.169	134255	74.5861
63	54.016	132537	73.6317
64	54.863	130622	72.5678
65	55.710	129178	71.7656
66	56.556	127747	70.9706
67	57.403	126113	70.0628
68	58.250	125123	69.5128
69	59.097	122894	68.2744
70	59.944	122214	67.8967
71	60.790	120652	67.0289
72	61.637	120071	66.7061
73	62.484	118277	65.7094
74	63.331	116745	64.8583
75	64.177	115969	64.4272
