#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2024-05-22, 15:14:19
# Real time (s): 1907.730
# Live time (s): 1800.000
#
# Total counts:  24657198
#
# Left marker:  511 (433.371 keV)
# Right marker: 513 (435.065 keV)
# Counts:  5274
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.669355
#     A1: 0.846774
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	1.516	0	0
2	2.363	0	0
3	3.210	0	0
4	4.056	0	0
5	4.903	0	0
6	5.750	4	0.00222222
7	6.597	162	0.09
8	7.444	3773	2.09611
9	8.290	25653	14.2517
10	9.137	52981	29.4339
11	9.984	77345	42.9694
12	10.831	100898	56.0544
13	11.677	102711	57.0617
14	12.524	103417	57.4539
15	13.371	103450	57.4722
16	14.218	103648	57.5822
17	15.065	104729	58.1828
18	15.911	105378	58.5433
19	16.758	105206	58.4478
20	17.605	106771	59.3172
21	18.452	107518	59.7322
22	19.298	108663	60.3683
23	20.145	109006	60.5589
24	20.992	111042	61.69
25	21.839	112137	62.2983
26	22.685	113265	62.925
27	23.532	114847	63.8039
28	24.379	116358	64.6433
29	25.226	117343	65.1906
30	26.073	118690	65.9389
31	26.919	120545	66.9694
32	27.766	122800	68.2222
33	28.613	124656	69.2533
34	29.460	126162	70.09
35	30.306	127354	70.7522
36	31.153	130249	72.3606
37	32.000	132401	73.5561
38	32.847	134499	74.7217
39	33.694	136819	76.0106
40	34.540	138700	77.0556
41	35.387	140846	78.2478
42	36.234	143055	79.475
43	37.081	144602	80.3344
44	37.927	146935	81.6306
45	38.774	147948	82.1933
46	39.621	148633	82.5739
47	40.468	150013	83.3406
48	41.315	149932	83.2956
49	42.161	150322	83.5122
50	43.008	149827	83.2372
51	43.855	149199	82.8883
52	44.702	148266	82.37
53	45.548	148145	82.3028
54	46.395	147965	82.2028
55	47.242	145742	80.9678
56	48.089	144415	80.2306
57	48.935	142963	79.4239
58	49.782	141302	78.5011
59	50.629	139818	77.6767
60	51.476	138475	76.9306
61	52.323	136648	75.9156
62	53.169	134136	74.52
63	54.016	132738	73.7433
64	54.863	130211	72.3394
65	55.710	128675	71.4861
66	56.556	127590	70.8833
67	57.403	125998	69.9989
68	58.250	124554	69.1967
69	59.097	122894	68.2744
70	59.944	120801	67.1117
71	60.790	120145	66.7472
72	61.637	118642	65.9122
73	62.484	117301	65.1672
74	63.331	115732	64.2956
75	64.177	114712	63.7289
76	65.024	113406	63.0033
77	65.871	112680	62.6
78	66.718	111093	61.7183
79	67.565	109840	61.0222
80	68.411	108973	60.5406
81	69.258	107457	59.6983
82	70.105	107090	59.4944
83	70.952	106216	59.0089
84	71.798	105554	58.6411
85	72.645	104773	58.2072
86	73.492	102863	57.1461
87	74.339	101993	56.6628
88	75.185	101100	56.1667
89	76.032	99818	55.4544
90	76.879	99124	55.0689
