#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2024-05-22, 14:03:02
# Real time (s): 1807.320
# Live time (s): 1800.000
#
# Total counts:  180146
#
# Left marker:  511 (433.371 keV)
# Right marker: 513 (435.065 keV)
# Counts:  126
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.669355
#     A1: 0.846774
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	1.516	0	0
2	2.363	0	0
3	3.210	0	0
4	4.056	0	0
5	4.903	3	0.00166667
6	5.750	8	0.00444444
7	6.597	36	0.02
8	7.444	69	0.0383333
9	8.290	89	0.0494444
10	9.137	135	0.075
11	9.984	141	0.0783333
12	10.831	169	0.0938889
13	11.677	152	0.0844444
14	12.524	186	0.103333
15	13.371	185	0.102778
16	14.218	218	0.121111
17	15.065	208	0.115556
18	15.911	258	0.143333
19	16.758	238	0.132222
20	17.605	295	0.163889
21	18.452	298	0.165556
22	19.298	323	0.179444
23	20.145	333	0.185
24	20.992	343	0.190556
25	21.839	351	0.195
26	22.685	372	0.206667
27	23.532	361	0.200556
28	24.379	384	0.213333
29	25.226	409	0.227222
30	26.073	381	0.211667
31	26.919	407	0.226111
32	27.766	375	0.208333
33	28.613	394	0.218889
34	29.460	391	0.217222
35	30.306	394	0.218889
36	31.153	426	0.236667
37	32.000	404	0.224444
38	32.847	408	0.226667
39	33.694	388	0.215556
40	34.540	407	0.226111
41	35.387	405	0.225
42	36.234	407	0.226111
43	37.081	405	0.225
44	37.927	398	0.221111
45	38.774	414	0.23
46	39.621	395	0.219444
47	40.468	389	0.216111
48	41.315	371	0.206111
49	42.161	377	0.209444
50	43.008	416	0.231111
51	43.855	419	0.232778
52	44.702	407	0.226111
53	45.548	402	0.223333
54	46.395	396	0.22
55	47.242	416	0.231111
56	48.089	408	0.226667
57	48.935	408	0.226667
58	49.782	396	0.22
59	50.629	376	0.208889
60	51.476	408	0.226667
61	52.323	398	0.221111
62	53.169	374	0.207778
63	54.016	386	0.214444
64	54.863	398	0.221111
65	55.710	423	0.235
66	56.556	385	0.213889
67	57.403	425	0.236111
68	58.250	390	0.216667
69	59.097	424	0.235556
70	59.944	423	0.235
71	60.790	430	0.238889
72	61.637	415	0.230556
73	62.484	442	0.245556
74	63.331	410	0.227778
75	64.177	452	0.251111
76	65.024	421	0.233889
77	65.871	431	0.239444
78	66.718	444	0.246667
79	67.565	418	0.232222
80	68.411	468	0.26
81	69.258	447	0.248333
82	70.105	466	0.258889
83	70.952	466	0.258889
84	71.798	430	0.238889
85	72.645	470	0.261111
86	73.492	497	0.276111
87	74.339	466	0.258889
88	75.185	501	0.278333
89	76.032	507	0.281667
90	76.879	537	0.298333
91	77.726	524	0.291111
92	78.573	555	0.308333
93	79.419	594	0.33
94	80.266	568	0.315556
95	81.113	570	0.316667
96	81.960	574	0.318889
