# name, dx, fmax, fmax_err, norm_value, norm_vale_err
# 22Na_200D 1 215082 463.76933921940116 1 0
# bin_center, freq, freq_err, norm_freq, norm_freq_err
0.500000 65 8.062258 65.000000 8.062258
1.500000 94 9.695360 94.000000 9.695360
2.500000 342 18.493242 342.000000 18.493242
3.500000 3346 57.844619 3346.000000 57.844619
4.500000 9012 94.931554 9012.000000 94.931554
5.500000 12069 109.859001 12069.000000 109.859001
6.500000 15844 125.872952 15844.000000 125.872952
7.500000 26571 163.006135 26571.000000 163.006135
8.500000 81948 286.265611 81948.000000 286.265611
9.500000 104486 323.242943 104486.000000 323.242943
10.500000 157329 396.647198 157329.000000 396.647198
11.500000 168640 410.658009 168640.000000 410.658009
12.500000 162789 403.471189 162789.000000 403.471189
13.500000 164906 406.086198 164906.000000 406.086198
14.500000 167312 409.037896 167312.000000 409.037896
15.500000 169857 412.137113 169857.000000 412.137113
16.500000 172613 415.467207 172613.000000 415.467207
17.500000 175620 419.070400 175620.000000 419.070400
18.500000 180137 424.425494 180137.000000 424.425494
19.500000 185043 430.166247 185043.000000 430.166247
20.500000 188126 433.734942 188126.000000 433.734942
21.500000 192869 439.168533 192869.000000 439.168533
22.500000 196387 443.155729 196387.000000 443.155729
23.500000 201259 448.618992 201259.000000 448.618992
24.500000 205201 452.991170 205201.000000 452.991170
25.500000 208328 456.429622 208328.000000 456.429622
26.500000 210042 458.303393 210042.000000 458.303393
27.500000 213130 461.660048 213130.000000 461.660048
28.500000 215082 463.769339 215082.000000 463.769339
29.500000 215008 463.689551 215008.000000 463.689551
30.500000 214474 463.113377 214474.000000 463.113377
31.500000 213529 462.091982 213529.000000 462.091982
32.500000 211534 459.928255 211534.000000 459.928255
33.500000 209125 457.301870 209125.000000 457.301870
34.500000 206351 454.258737 206351.000000 454.258737
35.500000 203795 451.436596 203795.000000 451.436596
36.500000 201316 448.682516 201316.000000 448.682516
37.500000 197065 443.920038 197065.000000 443.920038
38.500000 193235 439.585032 193235.000000 439.585032
39.500000 190115 436.021788 190115.000000 436.021788
40.500000 186286 431.608619 186286.000000 431.608619
41.500000 182687 427.418998 182687.000000 427.418998
42.500000 178839 422.893604 178839.000000 422.893604
43.500000 176747 420.412892 176747.000000 420.412892
44.500000 173312 416.307579 173312.000000 416.307579
45.500000 171228 413.797052 171228.000000 413.797052
46.500000 167322 409.050119 167322.000000 409.050119
47.500000 165703 407.066334 165703.000000 407.066334
48.500000 162641 403.287738 162641.000000 403.287738
49.500000 160096 400.119982 160096.000000 400.119982
50.500000 157948 397.426723 157948.000000 397.426723
51.500000 156488 395.585642 156488.000000 395.585642
52.500000 154657 393.264542 154657.000000 393.264542
53.500000 152894 391.016624 152894.000000 391.016624
54.500000 150966 388.543434 150966.000000 388.543434
55.500000 148813 385.762881 148813.000000 385.762881
56.500000 147534 384.101549 147534.000000 384.101549
57.500000 144390 379.986842 144390.000000 379.986842
58.500000 142325 377.259857 142325.000000 377.259857
59.500000 139655 373.704429 139655.000000 373.704429
60.500000 137015 370.155373 137015.000000 370.155373
61.500000 133277 365.071226 133277.000000 365.071226
62.500000 130966 361.892249 130966.000000 361.892249
63.500000 127004 356.376206 127004.000000 356.376206
64.500000 123867 351.947439 123867.000000 351.947439
65.500000 120227 346.737653 120227.000000 346.737653
66.500000 117093 342.188545 117093.000000 342.188545
67.500000 112330 335.156680 112330.000000 335.156680
68.500000 108981 330.122704 108981.000000 330.122704
69.500000 105174 324.305412 105174.000000 324.305412
70.500000 101204 318.125761 101204.000000 318.125761
71.500000 97897 312.884963 97897.000000 312.884963
72.500000 95112 308.402335 95112.000000 308.402335
73.500000 92244 303.716974 92244.000000 303.716974
74.500000 90148 300.246565 90148.000000 300.246565
75.500000 87967 296.592313 87967.000000 296.592313
76.500000 86301 293.770318 86301.000000 293.770318
77.500000 85586 292.550850 85586.000000 292.550850
78.500000 84316 290.372175 84316.000000 290.372175
79.500000 83944 289.730910 83944.000000 289.730910
80.500000 83900 289.654967 83900.000000 289.654967
81.500000 85329 292.111280 85329.000000 292.111280
82.500000 87254 295.387881 87254.000000 295.387881
83.500000 88648 297.738140 88648.000000 297.738140
84.500000 92226 303.687339 92226.000000 303.687339
85.500000 96144 310.070960 96144.000000 310.070960
86.500000 100398 316.856434 100398.000000 316.856434
87.500000 105238 324.404069 105238.000000 324.404069
88.500000 111274 333.577577 111274.000000 333.577577
89.500000 117747 343.142827 117747.000000 343.142827
90.500000 125221 353.865794 125221.000000 353.865794
91.500000 132570 364.101634 132570.000000 364.101634
92.500000 140607 374.975999 140607.000000 374.975999
93.500000 149633 386.824249 149633.000000 386.824249
94.500000 158868 398.582488 158868.000000 398.582488
