# name, dx, fmax, fmax_err, norm_value, norm_vale_err
# 22Na_outD 1 150322 387.713811979919 1 0
# bin_center, freq, freq_err, norm_freq, norm_freq_err
0.500000 0 0.000000 0.000000 0.000000
1.500000 0 0.000000 0.000000 0.000000
2.500000 0 0.000000 0.000000 0.000000
3.500000 0 0.000000 0.000000 0.000000
4.500000 0 0.000000 0.000000 0.000000
5.500000 4 2.000000 4.000000 2.000000
6.500000 162 12.727922 162.000000 12.727922
7.500000 3773 61.424751 3773.000000 61.424751
8.500000 25653 160.165539 25653.000000 160.165539
9.500000 52981 230.176020 52981.000000 230.176020
10.500000 77345 278.109691 77345.000000 278.109691
11.500000 100898 317.644455 100898.000000 317.644455
12.500000 102711 320.485569 102711.000000 320.485569
13.500000 103417 321.585136 103417.000000 321.585136
14.500000 103450 321.636441 103450.000000 321.636441
15.500000 103648 321.944095 103648.000000 321.944095
16.500000 104729 323.618603 104729.000000 323.618603
17.500000 105378 324.619778 105378.000000 324.619778
18.500000 105206 324.354744 105206.000000 324.354744
19.500000 106771 326.758320 106771.000000 326.758320
20.500000 107518 327.899375 107518.000000 327.899375
21.500000 108663 329.640714 108663.000000 329.640714
22.500000 109006 330.160567 109006.000000 330.160567
23.500000 111042 333.229651 111042.000000 333.229651
24.500000 112137 334.868631 112137.000000 334.868631
25.500000 113265 336.548659 113265.000000 336.548659
26.500000 114847 338.890838 114847.000000 338.890838
27.500000 116358 341.112885 116358.000000 341.112885
28.500000 117343 342.553645 117343.000000 342.553645
29.500000 118690 344.514151 118690.000000 344.514151
30.500000 120545 347.195910 120545.000000 347.195910
31.500000 122800 350.428309 122800.000000 350.428309
32.500000 124656 353.066566 124656.000000 353.066566
33.500000 126162 355.192905 126162.000000 355.192905
34.500000 127354 356.866922 127354.000000 356.866922
35.500000 130249 360.900263 130249.000000 360.900263
36.500000 132401 363.869482 132401.000000 363.869482
37.500000 134499 366.741053 134499.000000 366.741053
38.500000 136819 369.890524 136819.000000 369.890524
39.500000 138700 372.424489 138700.000000 372.424489
40.500000 140846 375.294551 140846.000000 375.294551
41.500000 143055 378.226123 143055.000000 378.226123
42.500000 144602 380.265697 144602.000000 380.265697
43.500000 146935 383.321014 146935.000000 383.321014
44.500000 147948 384.640092 147948.000000 384.640092
45.500000 148633 385.529506 148633.000000 385.529506
46.500000 150013 387.315117 150013.000000 387.315117
47.500000 149932 387.210537 149932.000000 387.210537
48.500000 150322 387.713812 150322.000000 387.713812
49.500000 149827 387.074928 149827.000000 387.074928
50.500000 149199 386.262864 149199.000000 386.262864
51.500000 148266 385.053243 148266.000000 385.053243
52.500000 148145 384.896090 148145.000000 384.896090
53.500000 147965 384.662189 147965.000000 384.662189
54.500000 145742 381.761706 145742.000000 381.761706
55.500000 144415 380.019736 144415.000000 380.019736
56.500000 142963 378.104483 142963.000000 378.104483
57.500000 141302 375.901583 141302.000000 375.901583
58.500000 139818 373.922452 139818.000000 373.922452
59.500000 138475 372.122292 138475.000000 372.122292
60.500000 136648 369.659303 136648.000000 369.659303
61.500000 134136 366.245819 134136.000000 366.245819
62.500000 132738 364.332266 132738.000000 364.332266
63.500000 130211 360.847613 130211.000000 360.847613
64.500000 128675 358.712977 128675.000000 358.712977
65.500000 127590 357.197424 127590.000000 357.197424
66.500000 125998 354.961970 125998.000000 354.961970
67.500000 124554 352.922088 124554.000000 352.922088
68.500000 122894 350.562405 122894.000000 350.562405
69.500000 120801 347.564383 120801.000000 347.564383
70.500000 120145 346.619388 120145.000000 346.619388
71.500000 118642 344.444480 118642.000000 344.444480
72.500000 117301 342.492336 117301.000000 342.492336
73.500000 115732 340.194062 115732.000000 340.194062
74.500000 114712 338.691600 114712.000000 338.691600
75.500000 113406 336.758073 113406.000000 336.758073
76.500000 112680 335.678418 112680.000000 335.678418
77.500000 111093 333.306166 111093.000000 333.306166
78.500000 109840 331.421182 109840.000000 331.421182
79.500000 108973 330.110588 108973.000000 330.110588
80.500000 107457 327.806345 107457.000000 327.806345
81.500000 107090 327.246085 107090.000000 327.246085
82.500000 106216 325.907962 106216.000000 325.907962
83.500000 105554 324.890751 105554.000000 324.890751
84.500000 104773 323.686577 104773.000000 323.686577
85.500000 102863 320.722622 102863.000000 320.722622
86.500000 101993 319.363429 101993.000000 319.363429
87.500000 101100 317.962262 101100.000000 317.962262
88.500000 99818 315.939868 99818.000000 315.939868
89.500000 99124 314.839642 99124.000000 314.839642
90.500000 97492 312.237089 97492.000000 312.237089
91.500000 96242 310.228948 96242.000000 310.228948
92.500000 95399 308.867285 95399.000000 308.867285
93.500000 93545 305.851271 93545.000000 305.851271
94.500000 91964 303.255668 91964.000000 303.255668
95.500000 91238 302.056286 91238.000000 302.056286
96.500000 89691 299.484557 89691.000000 299.484557
97.500000 87316 295.492809 87316.000000 295.492809
98.500000 85659 292.675588 85659.000000 292.675588
99.500000 84102 290.003448 84102.000000 290.003448
100.500000 82420 287.088836 82420.000000 287.088836
101.500000 80465 283.663533 80465.000000 283.663533
102.500000 78141 279.537117 78141.000000 279.537117
103.500000 76382 276.372936 76382.000000 276.372936
104.500000 75302 274.412099 75302.000000 274.412099
105.500000 72648 269.532929 72648.000000 269.532929
106.500000 70984 266.428227 70984.000000 266.428227
107.500000 69317 263.281218 69317.000000 263.281218
108.500000 67857 260.493762 67857.000000 260.493762
109.500000 66333 257.551937 66333.000000 257.551937
110.500000 64023 253.027666 64023.000000 253.027666
111.500000 63355 251.704191 63355.000000 251.704191
112.500000 62130 249.258902 62130.000000 249.258902
113.500000 60830 246.637386 60830.000000 246.637386
114.500000 60010 244.969386 60010.000000 244.969386
115.500000 59568 244.065565 59568.000000 244.065565
116.500000 59127 243.160441 59127.000000 243.160441
117.500000 57965 240.759216 57965.000000 240.759216
118.500000 57945 240.717677 57945.000000 240.717677
119.500000 57775 240.364307 57775.000000 240.364307
120.500000 57758 240.328941 57758.000000 240.328941
121.500000 58405 241.671264 58405.000000 241.671264
122.500000 58521 241.911141 58521.000000 241.911141
123.500000 59503 243.932368 59503.000000 243.932368
124.500000 60330 245.621660 60330.000000 245.621660
125.500000 61217 247.420694 61217.000000 247.420694
126.500000 62343 249.685803 62343.000000 249.685803
127.500000 64376 253.724260 64376.000000 253.724260
128.500000 66013 256.929952 66013.000000 256.929952
129.500000 68299 261.340774 68299.000000 261.340774
130.500000 70681 265.858985 70681.000000 265.858985
131.500000 73183 270.523566 73183.000000 270.523566
132.500000 75991 275.664651 75991.000000 275.664651
133.500000 79971 282.791443 79971.000000 282.791443
134.500000 83225 288.487435 83225.000000 288.487435
135.500000 86908 294.801628 86908.000000 294.801628
136.500000 90134 300.223250 90134.000000 300.223250
137.500000 94568 307.519105 94568.000000 307.519105
138.500000 99053 314.726866 99053.000000 314.726866
139.500000 103190 321.232003 103190.000000 321.232003
140.500000 107681 328.147833 107681.000000 328.147833
141.500000 112648 335.630749 112648.000000 335.630749
142.500000 116837 341.814277 116837.000000 341.814277
143.500000 120639 347.331254 120639.000000 347.331254
144.500000 124902 353.414770 124902.000000 353.414770
145.500000 128925 359.061276 128925.000000 359.061276
146.500000 133298 365.099986 133298.000000 365.099986
147.500000 136318 369.212676 136318.000000 369.212676
148.500000 138779 372.530536 138779.000000 372.530536
149.500000 141434 376.077120 141434.000000 376.077120
150.500000 143992 379.462778 143992.000000 379.462778
151.500000 145689 381.692284 145689.000000 381.692284
152.500000 146390 382.609461 146390.000000 382.609461
153.500000 146972 383.369274 146972.000000 383.369274
154.500000 146942 383.330145 146942.000000 383.330145
155.500000 147649 384.251220 147649.000000 384.251220
156.500000 146142 382.285234 146142.000000 382.285234
157.500000 144282 379.844705 144282.000000 379.844705
158.500000 142688 377.740652 142688.000000 377.740652
159.500000 140647 375.029332 140647.000000 375.029332
160.500000 137810 371.227693 137810.000000 371.227693
161.500000 134578 366.848743 134578.000000 366.848743
162.500000 131235 362.263716 131235.000000 362.263716
163.500000 128058 357.851925 128058.000000 357.851925
164.500000 124287 352.543614 124287.000000 352.543614
165.500000 120309 346.855878 120309.000000 346.855878
166.500000 117383 342.612025 117383.000000 342.612025
167.500000 112894 335.997024 112894.000000 335.997024
168.500000 109228 330.496596 109228.000000 330.496596
169.500000 106081 325.700783 106081.000000 325.700783
170.500000 101895 319.209962 101895.000000 319.209962
171.500000 97428 312.134586 97428.000000 312.134586
172.500000 94307 307.094448 94307.000000 307.094448
