#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2024-05-24, 17:16:57
# Real time (s): 1263.400
# Live time (s): 1200.000
#
# Total counts:  206129
#
# Left marker:  511 (433.371 keV)
# Right marker: 513 (435.065 keV)
# Counts:  106
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.669355
#     A1: 0.846774
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	1.516	0	0
2	2.363	0	0
3	3.210	1	0.000833333
4	4.056	7	0.00583333
5	4.903	15	0.0125
6	5.750	33	0.0275
7	6.597	45	0.0375
8	7.444	40	0.0333333
9	8.290	44	0.0366667
10	9.137	175	0.145833
11	9.984	354	0.295
12	10.831	449	0.374167
13	11.677	630	0.525
14	12.524	626	0.521667
15	13.371	624	0.52
16	14.218	653	0.544167
17	15.065	634	0.528333
18	15.911	627	0.5225
19	16.758	616	0.513333
20	17.605	605	0.504167
21	18.452	631	0.525833
22	19.298	624	0.52
23	20.145	621	0.5175
24	20.992	646	0.538333
25	21.839	665	0.554167
26	22.685	707	0.589167
27	23.532	663	0.5525
28	24.379	643	0.535833
29	25.226	716	0.596667
30	26.073	640	0.533333
31	26.919	655	0.545833
32	27.766	721	0.600833
33	28.613	654	0.545
34	29.460	651	0.5425
35	30.306	627	0.5225
36	31.153	658	0.548333
37	32.000	688	0.573333
38	32.847	684	0.57
39	33.694	717	0.5975
40	34.540	671	0.559167
41	35.387	700	0.583333
42	36.234	708	0.59
43	37.081	682	0.568333
44	37.927	678	0.565
45	38.774	713	0.594167
46	39.621	682	0.568333
47	40.468	685	0.570833
48	41.315	697	0.580833
49	42.161	761	0.634167
50	43.008	708	0.59
51	43.855	715	0.595833
52	44.702	741	0.6175
53	45.548	746	0.621667
54	46.395	760	0.633333
55	47.242	757	0.630833
56	48.089	729	0.6075
57	48.935	738	0.615
58	49.782	695	0.579167
59	50.629	745	0.620833
60	51.476	738	0.615
61	52.323	761	0.634167
62	53.169	739	0.615833
63	54.016	747	0.6225
64	54.863	735	0.6125
65	55.710	696	0.58
66	56.556	745	0.620833
67	57.403	718	0.598333
68	58.250	703	0.585833
69	59.097	744	0.62
70	59.944	744	0.62
71	60.790	661	0.550833
72	61.637	744	0.62
73	62.484	729	0.6075
74	63.331	726	0.605
75	64.177	703	0.585833
76	65.024	681	0.5675
77	65.871	747	0.6225
78	66.718	752	0.626667
79	67.565	763	0.635833
80	68.411	746	0.621667
81	69.258	728	0.606667
82	70.105	722	0.601667
83	70.952	707	0.589167
84	71.798	746	0.621667
85	72.645	799	0.665833
86	73.492	760	0.633333
87	74.339	805	0.670833
88	75.185	836	0.696667
89	76.032	720	0.6
90	76.879	821	0.684167
91	77.726	806	0.671667
92	78.573	717	0.5975
93	79.419	758	0.631667
94	80.266	767	0.639167
95	81.113	745	0.620833
96	81.960	766	0.638333
