#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2024-05-24, 17:39:33
# Real time (s): 1213.990
# Live time (s): 1200.000
#
# Total counts:  121046
#
# Left marker:  511 (433.371 keV)
# Right marker: 513 (435.065 keV)
# Counts:  67
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.669355
#     A1: 0.846774
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	1.516	0	0
2	2.363	0	0
3	3.210	0	0
4	4.056	0	0
5	4.903	0	0
6	5.750	0	0
7	6.597	1	0.000833333
8	7.444	2	0.00166667
9	8.290	4	0.00333333
10	9.137	50	0.0416667
11	9.984	107	0.0891667
12	10.831	144	0.12
13	11.677	194	0.161667
14	12.524	229	0.190833
15	13.371	230	0.191667
16	14.218	254	0.211667
17	15.065	259	0.215833
18	15.911	244	0.203333
19	16.758	296	0.246667
20	17.605	277	0.230833
21	18.452	263	0.219167
22	19.298	287	0.239167
23	20.145	303	0.2525
24	20.992	305	0.254167
25	21.839	327	0.2725
26	22.685	289	0.240833
27	23.532	284	0.236667
28	24.379	300	0.25
29	25.226	339	0.2825
30	26.073	313	0.260833
31	26.919	314	0.261667
32	27.766	320	0.266667
33	28.613	303	0.2525
34	29.460	301	0.250833
35	30.306	301	0.250833
36	31.153	319	0.265833
37	32.000	316	0.263333
38	32.847	336	0.28
39	33.694	325	0.270833
40	34.540	337	0.280833
41	35.387	286	0.238333
42	36.234	308	0.256667
43	37.081	328	0.273333
44	37.927	301	0.250833
45	38.774	315	0.2625
46	39.621	299	0.249167
47	40.468	292	0.243333
48	41.315	288	0.24
49	42.161	287	0.239167
50	43.008	278	0.231667
51	43.855	311	0.259167
52	44.702	280	0.233333
53	45.548	293	0.244167
54	46.395	278	0.231667
55	47.242	319	0.265833
56	48.089	289	0.240833
57	48.935	288	0.24
58	49.782	304	0.253333
59	50.629	294	0.245
60	51.476	322	0.268333
61	52.323	297	0.2475
62	53.169	299	0.249167
63	54.016	335	0.279167
64	54.863	338	0.281667
65	55.710	283	0.235833
66	56.556	326	0.271667
67	57.403	349	0.290833
68	58.250	356	0.296667
69	59.097	329	0.274167
70	59.944	341	0.284167
71	60.790	321	0.2675
72	61.637	338	0.281667
73	62.484	351	0.2925
74	63.331	336	0.28
75	64.177	374	0.311667
76	65.024	378	0.315
77	65.871	373	0.310833
78	66.718	394	0.328333
79	67.565	374	0.311667
80	68.411	370	0.308333
81	69.258	401	0.334167
82	70.105	414	0.345
83	70.952	402	0.335
84	71.798	394	0.328333
85	72.645	445	0.370833
86	73.492	450	0.375
87	74.339	425	0.354167
88	75.185	452	0.376667
89	76.032	439	0.365833
90	76.879	437	0.364167
91	77.726	410	0.341667
92	78.573	423	0.3525
93	79.419	447	0.3725
94	80.266	473	0.394167
95	81.113	459	0.3825
96	81.960	469	0.390833
