# name, dx, fmax, fmax_err, norm_value, norm_vale_err
# 100D_137Cs 1 482 21.95449840010015 1 0
# bin_center, freq, freq_err, norm_freq, norm_freq_err
0.500000 0 0.000000 0.000000 0.000000
1.500000 0 0.000000 0.000000 0.000000
2.500000 1 1.000000 1.000000 1.000000
3.500000 7 2.645751 7.000000 2.645751
4.500000 15 3.872983 15.000000 3.872983
5.500000 33 5.744563 33.000000 5.744563
6.500000 44 6.633250 44.000000 6.633250
7.500000 38 6.164414 38.000000 6.164414
8.500000 40 6.324555 40.000000 6.324555
9.500000 125 11.180340 125.000000 11.180340
10.500000 247 15.716234 247.000000 15.716234
11.500000 305 17.464249 305.000000 17.464249
12.500000 436 20.880613 436.000000 20.880613
13.500000 397 19.924859 397.000000 19.924859
14.500000 394 19.849433 394.000000 19.849433
15.500000 399 19.974984 399.000000 19.974984
16.500000 375 19.364917 375.000000 19.364917
17.500000 383 19.570386 383.000000 19.570386
18.500000 320 17.888544 320.000000 17.888544
19.500000 328 18.110770 328.000000 18.110770
20.500000 368 19.183326 368.000000 19.183326
21.500000 337 18.357560 337.000000 18.357560
22.500000 318 17.832555 318.000000 17.832555
23.500000 341 18.466185 341.000000 18.466185
24.500000 338 18.384776 338.000000 18.384776
25.500000 418 20.445048 418.000000 20.445048
26.500000 379 19.467922 379.000000 19.467922
27.500000 343 18.520259 343.000000 18.520259
28.500000 377 19.416488 377.000000 19.416488
29.500000 327 18.083141 327.000000 18.083141
30.500000 341 18.466185 341.000000 18.466185
31.500000 401 20.024984 401.000000 20.024984
32.500000 351 18.734994 351.000000 18.734994
33.500000 350 18.708287 350.000000 18.708287
34.500000 326 18.055470 326.000000 18.055470
35.500000 339 18.411953 339.000000 18.411953
36.500000 372 19.287302 372.000000 19.287302
37.500000 348 18.654758 348.000000 18.654758
38.500000 392 19.798990 392.000000 19.798990
39.500000 334 18.275667 334.000000 18.275667
40.500000 414 20.346990 414.000000 20.346990
41.500000 400 20.000000 400.000000 20.000000
42.500000 354 18.814888 354.000000 18.814888
43.500000 377 19.416488 377.000000 19.416488
44.500000 398 19.949937 398.000000 19.949937
45.500000 383 19.570386 383.000000 19.570386
46.500000 393 19.824228 393.000000 19.824228
47.500000 409 20.223748 409.000000 20.223748
48.500000 474 21.771541 474.000000 21.771541
49.500000 430 20.736441 430.000000 20.736441
50.500000 404 20.099751 404.000000 20.099751
51.500000 461 21.470911 461.000000 21.470911
52.500000 453 21.283797 453.000000 21.283797
53.500000 482 21.954498 482.000000 21.954498
54.500000 438 20.928450 438.000000 20.928450
55.500000 440 20.976177 440.000000 20.976177
56.500000 450 21.213203 450.000000 21.213203
57.500000 391 19.773720 391.000000 19.773720
58.500000 451 21.236761 451.000000 21.236761
59.500000 416 20.396078 416.000000 20.396078
60.500000 464 21.540659 464.000000 21.540659
61.500000 440 20.976177 440.000000 20.976177
62.500000 412 20.297783 412.000000 20.297783
63.500000 397 19.924859 397.000000 19.924859
64.500000 413 20.322401 413.000000 20.322401
65.500000 419 20.469489 419.000000 20.469489
66.500000 369 19.209373 369.000000 19.209373
67.500000 347 18.627936 347.000000 18.627936
68.500000 415 20.371549 415.000000 20.371549
69.500000 403 20.074860 403.000000 20.074860
70.500000 340 18.439089 340.000000 18.439089
71.500000 406 20.149442 406.000000 20.149442
72.500000 378 19.442222 378.000000 19.442222
73.500000 390 19.748418 390.000000 19.748418
74.500000 329 18.138357 329.000000 18.138357
75.500000 303 17.406895 303.000000 17.406895
76.500000 374 19.339080 374.000000 19.339080
77.500000 358 18.920888 358.000000 18.920888
78.500000 389 19.723083 389.000000 19.723083
79.500000 376 19.390719 376.000000 19.390719
80.500000 327 18.083141 327.000000 18.083141
81.500000 308 17.549929 308.000000 17.549929
82.500000 305 17.464249 305.000000 17.464249
83.500000 352 18.761663 352.000000 18.761663
84.500000 354 18.814888 354.000000 18.814888
85.500000 310 17.606817 310.000000 17.606817
86.500000 380 19.493589 380.000000 19.493589
87.500000 384 19.595918 384.000000 19.595918
88.500000 281 16.763055 281.000000 16.763055
89.500000 384 19.595918 384.000000 19.595918
90.500000 396 19.899749 396.000000 19.899749
91.500000 294 17.146428 294.000000 17.146428
92.500000 311 17.635192 311.000000 17.635192
93.500000 294 17.146428 294.000000 17.146428
94.500000 286 16.911535 286.000000 16.911535
95.500000 297 17.233688 297.000000 17.233688
96.500000 363 19.052559 363.000000 19.052559
97.500000 297 17.233688 297.000000 17.233688
98.500000 308 17.549929 308.000000 17.549929
99.500000 262 16.186414 262.000000 16.186414
100.500000 349 18.681542 349.000000 18.681542
101.500000 273 16.522712 273.000000 16.522712
102.500000 266 16.309506 266.000000 16.309506
103.500000 294 17.146428 294.000000 17.146428
104.500000 306 17.492856 306.000000 17.492856
105.500000 265 16.278821 265.000000 16.278821
106.500000 299 17.291616 299.000000 17.291616
107.500000 276 16.613248 276.000000 16.613248
108.500000 285 16.881943 285.000000 16.881943
109.500000 305 17.464249 305.000000 17.464249
110.500000 317 17.804494 317.000000 17.804494
111.500000 242 15.556349 242.000000 15.556349
112.500000 281 16.763055 281.000000 16.763055
113.500000 304 17.435596 304.000000 17.435596
114.500000 331 18.193405 331.000000 18.193405
115.500000 260 16.124515 260.000000 16.124515
116.500000 255 15.968719 255.000000 15.968719
117.500000 310 17.606817 310.000000 17.606817
118.500000 303 17.406895 303.000000 17.406895
119.500000 299 17.291616 299.000000 17.291616
120.500000 283 16.822604 283.000000 16.822604
121.500000 320 17.888544 320.000000 17.888544
122.500000 256 16.000000 256.000000 16.000000
123.500000 273 16.522712 273.000000 16.522712
124.500000 345 18.574176 345.000000 18.574176
125.500000 317 17.804494 317.000000 17.804494
126.500000 306 17.492856 306.000000 17.492856
127.500000 231 15.198684 231.000000 15.198684
128.500000 314 17.720045 314.000000 17.720045
129.500000 311 17.635192 311.000000 17.635192
130.500000 286 16.911535 286.000000 16.911535
131.500000 248 15.748016 248.000000 15.748016
132.500000 233 15.264338 233.000000 15.264338
133.500000 293 17.117243 293.000000 17.117243
134.500000 311 17.635192 311.000000 17.635192
135.500000 233 15.264338 233.000000 15.264338
136.500000 333 18.248288 333.000000 18.248288
137.500000 326 18.055470 326.000000 18.055470
138.500000 245 15.652476 245.000000 15.652476
139.500000 301 17.349352 301.000000 17.349352
140.500000 291 17.058722 291.000000 17.058722
141.500000 197 14.035669 197.000000 14.035669
142.500000 252 15.874508 252.000000 15.874508
143.500000 264 16.248077 264.000000 16.248077
144.500000 228 15.099669 228.000000 15.099669
145.500000 314 17.720045 314.000000 17.720045
146.500000 251 15.842980 251.000000 15.842980
147.500000 196 14.000000 196.000000 14.000000
148.500000 283 16.822604 283.000000 16.822604
149.500000 268 16.370706 268.000000 16.370706
150.500000 232 15.231546 232.000000 15.231546
151.500000 289 17.000000 289.000000 17.000000
152.500000 225 15.000000 225.000000 15.000000
153.500000 211 14.525839 211.000000 14.525839
154.500000 282 16.792856 282.000000 16.792856
155.500000 239 15.459625 239.000000 15.459625
156.500000 180 13.416408 180.000000 13.416408
157.500000 222 14.899664 222.000000 14.899664
158.500000 222 14.899664 222.000000 14.899664
159.500000 128 11.313708 128.000000 11.313708
160.500000 206 14.352700 206.000000 14.352700
161.500000 224 14.966630 224.000000 14.966630
162.500000 234 15.297059 234.000000 15.297059
163.500000 208 14.422205 208.000000 14.422205
164.500000 171 13.076697 171.000000 13.076697
165.500000 194 13.928388 194.000000 13.928388
166.500000 222 14.899664 222.000000 14.899664
167.500000 198 14.071247 198.000000 14.071247
168.500000 158 12.569805 158.000000 12.569805
169.500000 182 13.490738 182.000000 13.490738
170.500000 221 14.866069 221.000000 14.866069
171.500000 170 13.038405 170.000000 13.038405
172.500000 234 15.297059 234.000000 15.297059
173.500000 194 13.928388 194.000000 13.928388
174.500000 201 14.177447 201.000000 14.177447
175.500000 96 9.797959 96.000000 9.797959
176.500000 89 9.433981 89.000000 9.433981
177.500000 150 12.247449 150.000000 12.247449
178.500000 178 13.341664 178.000000 13.341664
179.500000 222 14.899664 222.000000 14.899664
180.500000 210 14.491377 210.000000 14.491377
181.500000 126 11.224972 126.000000 11.224972
182.500000 174 13.190906 174.000000 13.190906
183.500000 177 13.304135 177.000000 13.304135
184.500000 181 13.453624 181.000000 13.453624
185.500000 162 12.727922 162.000000 12.727922
186.500000 119 10.908712 119.000000 10.908712
187.500000 210 14.491377 210.000000 14.491377
