#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2024-05-24, 14:35:11
# Real time (s): 1264.240
# Live time (s): 1200.000
#
# Total counts:  18613471
#
# Left marker:  511 (433.371 keV)
# Right marker: 513 (435.065 keV)
# Counts:  16368
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.669355
#     A1: 0.846774
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	1.516	80	0.0666667
2	2.363	90	0.075
3	3.210	125	0.104167
4	4.056	412	0.343333
5	4.903	1295	1.07917
6	5.750	1968	1.64
7	6.597	2609	2.17417
8	7.444	3810	3.175
9	8.290	15924	13.27
10	9.137	31418	26.1817
11	9.984	42076	35.0633
12	10.831	56626	47.1883
13	11.677	54084	45.07
14	12.524	52723	43.9358
15	13.371	52945	44.1208
16	14.218	52999	44.1658
17	15.065	53220	44.35
18	15.911	53421	44.5175
19	16.758	53240	44.3667
20	17.605	53330	44.4417
21	18.452	53536	44.6133
22	19.298	53350	44.4583
23	20.145	53808	44.84
24	20.992	53185	44.3208
25	21.839	53763	44.8025
26	22.685	53333	44.4442
27	23.532	54215	45.1792
28	24.379	53971	44.9758
29	25.226	53600	44.6667
30	26.073	54377	45.3142
31	26.919	54081	45.0675
32	27.766	54653	45.5442
33	28.613	55014	45.845
34	29.460	54767	45.6392
35	30.306	55305	46.0875
36	31.153	55704	46.42
37	32.000	56256	46.88
38	32.847	56189	46.8242
39	33.694	56938	47.4483
40	34.540	56859	47.3825
41	35.387	57735	48.1125
42	36.234	57998	48.3317
43	37.081	58345	48.6208
44	37.927	58843	49.0358
45	38.774	58894	49.0783
46	39.621	59173	49.3108
47	40.468	59834	49.8617
48	41.315	59695	49.7458
49	42.161	60843	50.7025
50	43.008	60724	50.6033
51	43.855	61447	51.2058
52	44.702	62172	51.81
53	45.548	63182	52.6517
54	46.395	63705	53.0875
55	47.242	63966	53.305
56	48.089	64757	53.9642
57	48.935	65499	54.5825
58	49.782	66778	55.6483
59	50.629	67101	55.9175
60	51.476	67678	56.3983
61	52.323	68003	56.6692
62	53.169	69573	57.9775
63	54.016	69808	58.1733
64	54.863	70515	58.7625
65	55.710	71341	59.4508
66	56.556	72126	60.105
67	57.403	72094	60.0783
68	58.250	72789	60.6575
69	59.097	73493	61.2442
70	59.944	74183	61.8192
71	60.790	74212	61.8433
72	61.637	74011	61.6758
73	62.484	74644	62.2033
74	63.331	74746	62.2883
75	64.177	74794	62.3283
76	65.024	74892	62.41
77	65.871	74530	62.1083
78	66.718	74596	62.1633
79	67.565	74741	62.2842
80	68.411	74147	61.7892
81	69.258	73683	61.4025
82	70.105	74206	61.8383
83	70.952	73787	61.4892
84	71.798	73431	61.1925
85	72.645	72539	60.4492
86	73.492	71942	59.9517
87	74.339	72192	60.16
88	75.185	71297	59.4142
89	76.032	70579	58.8158
90	76.879	69790	58.1583
91	77.726	69716	58.0967
92	78.573	69114	57.595
93	79.419	68293	56.9108
94	80.266	67684	56.4033
95	81.113	66992	55.8267
96	81.960	66703	55.5858
97	82.806	66109	55.0908
98	83.653	65626	54.6883
99	84.500	64696	53.9133
100	85.347	64507	53.7558
101	86.194	63615	53.0125
102	87.040	63505	52.9208
103	87.887	62436	52.03
104	88.734	62769	52.3075
105	89.581	61729	51.4408
106	90.427	61755	51.4625
107	91.274	61400	51.1667
108	92.121	60191	50.1592
109	92.968	60392	50.3267
110	93.815	59400	49.5
111	94.661	59079	49.2325
112	95.508	58863	49.0525
113	96.355	58305	48.5875
114	97.202	58033	48.3608
115	98.048	57153	47.6275
116	98.895	57400	47.8333
117	99.742	57176	47.6467
118	100.589	56452	47.0433
119	101.435	56442	47.035
120	102.282	56336	46.9467
121	103.129	55922	46.6017
122	103.976	55478	46.2317
123	104.823	55394	46.1617
124	105.669	54702	45.585
125	106.516	54624	45.52
126	107.363	54039	45.0325
127	108.210	54061	45.0508
128	109.056	53711	44.7592
129	109.903	53069	44.2242
130	110.750	52814	44.0117
131	111.597	52109	43.4242
132	112.444	51920	43.2667
133	113.290	51390	42.825
134	114.137	51215	42.6792
135	114.984	50835	42.3625
136	115.831	50316	41.93
137	116.677	49702	41.4183
138	117.524	49000	40.8333
139	118.371	48796	40.6633
140	119.218	48557	40.4642
141	120.065	47764	39.8033
142	120.911	47486	39.5717
143	121.758	46746	38.955
144	122.605	46005	38.3375
145	123.452	45140	37.6167
146	124.298	45194	37.6617
147	125.145	44042	36.7017
148	125.992	43593	36.3275
149	126.839	42973	35.8108
150	127.685	42004	35.0033
151	128.532	41630	34.6917
152	129.379	40760	33.9667
153	130.226	40180	33.4833
154	131.073	39662	33.0517
155	131.919	38417	32.0142
156	132.766	37851	31.5425
157	133.613	37366	31.1383
158	134.460	36427	30.3558
159	135.306	36179	30.1492
160	136.153	35559	29.6325
161	137.000	34844	29.0367
162	137.847	34094	28.4117
163	138.694	33629	28.0242
164	139.540	33371	27.8092
165	140.387	32751	27.2925
166	141.234	32603	27.1692
167	142.081	31844	26.5367
168	142.927	31476	26.23
169	143.774	30954	25.795
170	144.621	30745	25.6208
171	145.468	30642	25.535
172	146.315	30346	25.2883
173	147.161	30133	25.1108
174	148.008	29916	24.93
175	148.855	29582	24.6517
176	149.702	29988	24.99
