#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2024-05-24, 14:57:48
# Real time (s): 1234.220
# Live time (s): 1200.000
#
# Total counts:  2339394
#
# Left marker:  511 (433.371 keV)
# Right marker: 513 (435.065 keV)
# Counts:  1411
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.669355
#     A1: 0.846774
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	1.516	0	0
2	2.363	0	0
3	3.210	3	0.0025
4	4.056	11	0.00916667
5	4.903	75	0.0625
6	5.750	123	0.1025
7	6.597	145	0.120833
8	7.444	336	0.28
9	8.290	1759	1.46583
10	9.137	3373	2.81083
11	9.984	4601	3.83417
12	10.831	6043	5.03583
13	11.677	5789	4.82417
14	12.524	5704	4.75333
15	13.371	5699	4.74917
16	14.218	5582	4.65167
17	15.065	5749	4.79083
18	15.911	5639	4.69917
19	16.758	5551	4.62583
20	17.605	5648	4.70667
21	18.452	5637	4.6975
22	19.298	5740	4.78333
23	20.145	5765	4.80417
24	20.992	5753	4.79417
25	21.839	5642	4.70167
26	22.685	5695	4.74583
27	23.532	5661	4.7175
28	24.379	5668	4.72333
29	25.226	5535	4.6125
30	26.073	5580	4.65
31	26.919	5746	4.78833
32	27.766	5741	4.78417
33	28.613	5684	4.73667
34	29.460	5688	4.74
35	30.306	5690	4.74167
36	31.153	5744	4.78667
37	32.000	5782	4.81833
38	32.847	5677	4.73083
39	33.694	5931	4.9425
40	34.540	5811	4.8425
41	35.387	5845	4.87083
42	36.234	5832	4.86
43	37.081	5989	4.99083
44	37.927	5836	4.86333
45	38.774	5817	4.8475
46	39.621	6022	5.01833
47	40.468	6122	5.10167
48	41.315	6199	5.16583
49	42.161	6189	5.1575
50	43.008	6128	5.10667
51	43.855	6212	5.17667
52	44.702	6201	5.1675
53	45.548	6121	5.10083
54	46.395	6183	5.1525
55	47.242	6191	5.15917
56	48.089	6466	5.38833
57	48.935	6434	5.36167
58	49.782	6410	5.34167
59	50.629	6427	5.35583
60	51.476	6436	5.36333
61	52.323	6721	5.60083
62	53.169	6542	5.45167
63	54.016	6660	5.55
64	54.863	6649	5.54083
65	55.710	6679	5.56583
66	56.556	6786	5.655
67	57.403	6838	5.69833
68	58.250	7004	5.83667
69	59.097	6859	5.71583
70	59.944	7196	5.99667
71	60.790	7257	6.0475
72	61.637	7210	6.00833
73	62.484	7289	6.07417
74	63.331	7247	6.03917
75	64.177	7432	6.19333
76	65.024	7546	6.28833
77	65.871	7483	6.23583
78	66.718	7627	6.35583
79	67.565	7768	6.47333
80	68.411	7672	6.39333
81	69.258	7851	6.5425
82	70.105	7740	6.45
83	70.952	7887	6.5725
84	71.798	7784	6.48667
85	72.645	7835	6.52917
86	73.492	7850	6.54167
87	74.339	8027	6.68917
88	75.185	7832	6.52667
89	76.032	7933	6.61083
