#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2024-05-24, 15:20:30
# Real time (s): 1229.190
# Live time (s): 1200.000
#
# Total counts:  1371511
#
# Left marker:  511 (433.371 keV)
# Right marker: 513 (435.065 keV)
# Counts:  1699
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.669355
#     A1: 0.846774
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	1.516	1	0.000833333
2	2.363	0	0
3	3.210	1	0.000833333
4	4.056	6	0.005
5	4.903	26	0.0216667
6	5.750	55	0.0458333
7	6.597	71	0.0591667
8	7.444	152	0.126667
9	8.290	916	0.763333
10	9.137	1678	1.39833
11	9.984	2325	1.9375
12	10.831	3108	2.59
13	11.677	2997	2.4975
14	12.524	2820	2.35
15	13.371	2827	2.35583
16	14.218	2795	2.32917
17	15.065	2746	2.28833
18	15.911	2862	2.385
19	16.758	2907	2.4225
20	17.605	2843	2.36917
21	18.452	2855	2.37917
22	19.298	2818	2.34833
23	20.145	2831	2.35917
24	20.992	2771	2.30917
25	21.839	2972	2.47667
26	22.685	2861	2.38417
27	23.532	2848	2.37333
28	24.379	2770	2.30833
29	25.226	2842	2.36833
30	26.073	2866	2.38833
31	26.919	2877	2.3975
32	27.766	2992	2.49333
33	28.613	2880	2.4
34	29.460	2884	2.40333
35	30.306	2878	2.39833
36	31.153	2885	2.40417
37	32.000	2966	2.47167
38	32.847	2962	2.46833
39	33.694	2926	2.43833
40	34.540	2874	2.395
41	35.387	2943	2.4525
42	36.234	2910	2.425
43	37.081	3013	2.51083
44	37.927	2900	2.41667
45	38.774	2897	2.41417
46	39.621	2914	2.42833
47	40.468	3024	2.52
48	41.315	2967	2.4725
49	42.161	2996	2.49667
50	43.008	3093	2.5775
51	43.855	2936	2.44667
52	44.702	2959	2.46583
53	45.548	3045	2.5375
54	46.395	3005	2.50417
55	47.242	2961	2.4675
56	48.089	2952	2.46
57	48.935	3196	2.66333
58	49.782	3074	2.56167
59	50.629	3063	2.5525
60	51.476	3068	2.55667
61	52.323	3040	2.53333
62	53.169	3128	2.60667
63	54.016	3116	2.59667
64	54.863	3051	2.5425
65	55.710	3124	2.60333
66	56.556	3252	2.71
67	57.403	3160	2.63333
68	58.250	3195	2.6625
69	59.097	3229	2.69083
70	59.944	3235	2.69583
71	60.790	3210	2.675
72	61.637	3192	2.66
73	62.484	3238	2.69833
74	63.331	3380	2.81667
75	64.177	3310	2.75833
76	65.024	3321	2.7675
77	65.871	3313	2.76083
78	66.718	3450	2.875
79	67.565	3414	2.845
80	68.411	3445	2.87083
81	69.258	3415	2.84583
82	70.105	3500	2.91667
83	70.952	3565	2.97083
84	71.798	3610	3.00833
85	72.645	3420	2.85
86	73.492	3471	2.8925
87	74.339	3578	2.98167
88	75.185	3510	2.925
89	76.032	3520	2.93333
90	76.879	3508	2.92333
91	77.726	3537	2.9475
92	78.573	3429	2.8575
93	79.419	3593	2.99417
94	80.266	3513	2.9275
95	81.113	3653	3.04417
96	81.960	3553	2.96083
97	82.806	3544	2.95333
98	83.653	3506	2.92167
99	84.500	3589	2.99083
100	85.347	3498	2.915
101	86.194	3525	2.9375
102	87.040	3585	2.9875
103	87.887	3439	2.86583
104	88.734	3468	2.89
105	89.581	3426	2.855
106	90.427	3347	2.78917
107	91.274	3463	2.88583
108	92.121	3389	2.82417
109	92.968	3607	3.00583
110	93.815	3431	2.85917
111	94.661	3410	2.84167
112	95.508	3373	2.81083
113	96.355	3304	2.75333
114	97.202	3377	2.81417
115	98.048	3398	2.83167
116	98.895	3256	2.71333
117	99.742	3203	2.66917
118	100.589	3234	2.695
119	101.435	3276	2.73
120	102.282	3174	2.645
121	103.129	3237	2.6975
122	103.976	3207	2.6725
123	104.823	3149	2.62417
124	105.669	3140	2.61667
125	106.516	3069	2.5575
126	107.363	3076	2.56333
127	108.210	3137	2.61417
128	109.056	3114	2.595
129	109.903	2975	2.47917
130	110.750	2992	2.49333
131	111.597	2954	2.46167
132	112.444	2972	2.47667
133	113.290	3004	2.50333
134	114.137	3092	2.57667
135	114.984	2878	2.39833
136	115.831	2923	2.43583
137	116.677	2891	2.40917
138	117.524	2890	2.40833
139	118.371	2900	2.41667
140	119.218	2909	2.42417
141	120.065	2782	2.31833
142	120.911	2813	2.34417
143	121.758	2852	2.37667
144	122.605	2849	2.37417
145	123.452	2871	2.3925
146	124.298	2802	2.335
147	125.145	2728	2.27333
148	125.992	2772	2.31
149	126.839	2670	2.225
150	127.685	2825	2.35417
151	128.532	2717	2.26417
152	129.379	2712	2.26
153	130.226	2795	2.32917
154	131.073	2737	2.28083
155	131.919	2681	2.23417
156	132.766	2728	2.27333
157	133.613	2645	2.20417
158	134.460	2618	2.18167
159	135.306	2672	2.22667
160	136.153	2641	2.20083
161	137.000	2732	2.27667
162	137.847	2691	2.2425
163	138.694	2678	2.23167
164	139.540	2647	2.20583
165	140.387	2562	2.135
166	141.234	2666	2.22167
167	142.081	2586	2.155
168	142.927	2599	2.16583
169	143.774	2588	2.15667
170	144.621	2506	2.08833
171	145.468	2590	2.15833
172	146.315	2497	2.08083
173	147.161	2554	2.12833
174	148.008	2554	2.12833
175	148.855	2609	2.17417
176	149.702	2524	2.10333
177	150.548	2491	2.07583
178	151.395	2559	2.1325
179	152.242	2526	2.105
180	153.089	2482	2.06833
181	153.935	2423	2.01917
182	154.782	2520	2.1
183	155.629	2538	2.115
184	156.476	2496	2.08
185	157.323	2478	2.065
186	158.169	2444	2.03667
187	159.016	2359	1.96583
188	159.863	2416	2.01333
189	160.710	2478	2.065
190	161.556	2553	2.1275
191	162.403	2353	1.96083
192	163.250	2419	2.01583
193	164.097	2399	1.99917
194	164.944	2454	2.045
195	165.790	2348	1.95667
196	166.637	2455	2.04583
197	167.484	2436	2.03
198	168.331	2533	2.11083
199	169.177	2416	2.01333
200	170.024	2365	1.97083
201	170.871	2503	2.08583
202	171.718	2401	2.00083
203	172.565	2405	2.00417
204	173.411	2412	2.01
205	174.258	2357	1.96417
206	175.105	2294	1.91167
207	175.952	2344	1.95333
208	176.798	2273	1.89417
209	177.645	2424	2.02
210	178.492	2384	1.98667
211	179.339	2423	2.01917
212	180.185	2366	1.97167
213	181.032	2360	1.96667
214	181.879	2412	2.01
215	182.726	2330	1.94167
216	183.573	2407	2.00583
217	184.419	2358	1.965
218	185.266	2313	1.9275
219	186.113	2239	1.86583
220	186.960	2287	1.90583
221	187.806	2372	1.97667
222	188.653	2239	1.86583
223	189.500	2290	1.90833
224	190.347	2351	1.95917
225	191.194	2257	1.88083
226	192.040	2305	1.92083
227	192.887	2312	1.92667
228	193.734	2398	1.99833
229	194.581	2286	1.905
230	195.427	2377	1.98083
231	196.274	2301	1.9175
232	197.121	2225	1.85417
233	197.968	2356	1.96333
234	198.815	2321	1.93417
235	199.661	2171	1.80917
236	200.508	2324	1.93667
237	201.355	2305	1.92083
238	202.202	2338	1.94833
239	203.048	2357	1.96417
240	203.895	2279	1.89917
241	204.742	2280	1.9
242	205.589	2294	1.91167
243	206.435	2290	1.90833
244	207.282	2370	1.975
245	208.129	2299	1.91583
246	208.976	2215	1.84583
247	209.823	2408	2.00667
248	210.669	2315	1.92917
249	211.516	2287	1.90583
250	212.363	2214	1.845
251	213.210	2327	1.93917
252	214.056	2341	1.95083
253	214.903	2357	1.96417
254	215.750	2264	1.88667
255	216.597	2383	1.98583
256	217.444	2263	1.88583
257	218.290	2347	1.95583
258	219.137	2240	1.86667
259	219.984	2208	1.84
260	220.831	2380	1.98333
261	221.677	2323	1.93583
262	222.524	2154	1.795
263	223.371	2289	1.9075
264	224.218	2298	1.915
265	225.065	2260	1.88333
266	225.911	2234	1.86167
267	226.758	2163	1.8025
268	227.605	2282	1.90167
269	228.452	2191	1.82583
270	229.298	2268	1.89
271	230.145	2164	1.80333
272	230.992	2361	1.9675
273	231.839	2186	1.82167
274	232.685	2241	1.8675
275	233.532	2230	1.85833
276	234.379	2242	1.86833
277	235.226	2258	1.88167
278	236.073	2220	1.85
279	236.919	2212	1.84333
280	237.766	2218	1.84833
281	238.613	2170	1.80833
282	239.460	2235	1.8625
283	240.306	2124	1.77
284	241.153	2091	1.7425
285	242.000	2253	1.8775
286	242.847	2185	1.82083
287	243.694	2222	1.85167
288	244.540	2215	1.84583
289	245.387	2219	1.84917
290	246.234	2206	1.83833
291	247.081	2154	1.795
292	247.927	2092	1.74333
293	248.774	2190	1.825
294	249.621	2133	1.7775
295	250.468	2138	1.78167
296	251.315	2137	1.78083
297	252.161	2082	1.735
298	253.008	2091	1.7425
299	253.855	2140	1.78333
300	254.702	2106	1.755
301	255.548	2119	1.76583
302	256.395	2100	1.75
303	257.242	2040	1.7
304	258.089	2058	1.715
305	258.935	1994	1.66167
306	259.782	2024	1.68667
307	260.629	1961	1.63417
308	261.476	1920	1.6
309	262.323	1976	1.64667
310	263.169	1904	1.58667
311	264.016	1953	1.6275
312	264.863	1827	1.5225
313	265.710	1938	1.615
314	266.556	1861	1.55083
315	267.403	1866	1.555
316	268.250	1912	1.59333
317	269.097	1889	1.57417
318	269.944	1819	1.51583
319	270.790	1863	1.5525
320	271.637	1789	1.49083
321	272.484	1754	1.46167
322	273.331	1837	1.53083
323	274.177	1667	1.38917
324	275.024	1763	1.46917
325	275.871	1771	1.47583
326	276.718	1697	1.41417
327	277.565	1700	1.41667
328	278.411	1745	1.45417
329	279.258	1642	1.36833
330	280.105	1715	1.42917
331	280.952	1695	1.4125
332	281.798	1647	1.3725
333	282.645	1605	1.3375
334	283.492	1687	1.40583
335	284.339	1680	1.4
336	285.185	1664	1.38667
337	286.032	1615	1.34583
338	286.879	1604	1.33667
339	287.726	1610	1.34167
340	288.573	1614	1.345
341	289.419	1612	1.34333
342	290.266	1582	1.31833
343	291.113	1655	1.37917
344	291.960	1604	1.33667
345	292.806	1688	1.40667
346	293.653	1601	1.33417
347	294.500	1576	1.31333
348	295.347	1667	1.38917
349	296.194	1626	1.355
350	297.040	1551	1.2925
351	297.887	1556	1.29667
352	298.734	1627	1.35583
353	299.581	1617	1.3475
354	300.427	1576	1.31333
355	301.274	1668	1.39
356	302.121	1691	1.40917
357	302.968	1690	1.40833
358	303.815	1635	1.3625
359	304.661	1682	1.40167
360	305.508	1664	1.38667
361	306.355	1719	1.4325
362	307.202	1723	1.43583
363	308.048	1675	1.39583
364	308.895	1769	1.47417
365	309.742	1661	1.38417
366	310.589	1692	1.41
367	311.435	1725	1.4375
368	312.282	1827	1.5225
369	313.129	1787	1.48917
370	313.976	1813	1.51083
371	314.823	1781	1.48417
372	315.669	1728	1.44
373	316.516	1772	1.47667
374	317.363	1823	1.51917
375	318.210	1819	1.51583
376	319.056	1884	1.57
377	319.903	1915	1.59583
378	320.750	1886	1.57167
379	321.597	1934	1.61167
380	322.444	1898	1.58167
381	323.290	1981	1.65083
382	324.137	1980	1.65
383	324.984	1996	1.66333
384	325.831	2074	1.72833
385	326.677	1977	1.6475
386	327.524	1927	1.60583
387	328.371	1996	1.66333
388	329.218	2096	1.74667
389	330.065	2030	1.69167
390	330.911	2021	1.68417
391	331.758	2076	1.73
392	332.605	2064	1.72
393	333.452	1983	1.6525
394	334.298	2084	1.73667
395	335.145	2077	1.73083
396	335.992	2104	1.75333
397	336.839	2008	1.67333
398	337.685	2071	1.72583
399	338.532	2029	1.69083
400	339.379	2047	1.70583
401	340.226	2153	1.79417
402	341.073	2025	1.6875
403	341.919	2074	1.72833
404	342.766	1975	1.64583
405	343.613	2035	1.69583
406	344.460	2003	1.66917
407	345.306	1903	1.58583
