# name, dx, fmax, fmax_err, norm_value, norm_vale_err
# 200D_22Na 1 77899 279.1039232973983 1 0
# bin_center, freq, freq_err, norm_freq, norm_freq_err
0.500000 80 8.944272 80.000000 8.944272
1.500000 90 9.486833 90.000000 9.486833
2.500000 125 11.180340 125.000000 11.180340
3.500000 412 20.297783 412.000000 20.297783
4.500000 1295 35.986108 1295.000000 35.986108
5.500000 1968 44.362146 1968.000000 44.362146
6.500000 2609 51.078371 2609.000000 51.078371
7.500000 3809 61.717096 3809.000000 61.717096
8.500000 15904 126.111062 15904.000000 126.111062
9.500000 31381 177.146832 31381.000000 177.146832
10.500000 42029 205.009756 42029.000000 205.009756
11.500000 56521 237.741456 56521.000000 237.741456
12.500000 54010 232.400516 54010.000000 232.400516
13.500000 52645 229.444983 52645.000000 229.444983
14.500000 52868 229.930424 52868.000000 229.930424
15.500000 52908 230.017391 52908.000000 230.017391
16.500000 53120 230.477765 53120.000000 230.477765
17.500000 53308 230.885253 53308.000000 230.885253
18.500000 53123 230.484273 53123.000000 230.484273
19.500000 53215 230.683766 53215.000000 230.683766
20.500000 53405 231.095218 53405.000000 231.095218
21.500000 53205 230.662091 53205.000000 230.662091
22.500000 53693 231.717500 53693.000000 231.717500
23.500000 53037 230.297634 53037.000000 230.297634
24.500000 53600 231.516738 53600.000000 231.516738
25.500000 53169 230.584041 53169.000000 230.584041
26.500000 54029 232.441390 54029.000000 232.441390
27.500000 53775 231.894373 53775.000000 231.894373
28.500000 53396 231.075745 53396.000000 231.075745
29.500000 54165 232.733753 54165.000000 232.733753
30.500000 53890 232.142198 53890.000000 232.142198
31.500000 54425 233.291663 54425.000000 233.291663
32.500000 54803 234.100406 54803.000000 234.100406
33.500000 54547 233.552992 54547.000000 233.552992
34.500000 55080 234.691287 55080.000000 234.691287
35.500000 55485 235.552542 55485.000000 235.552542
36.500000 56029 236.704457 56029.000000 236.704457
37.500000 55943 236.522726 55943.000000 236.522726
38.500000 56716 238.151212 56716.000000 238.151212
39.500000 56662 238.037812 56662.000000 238.037812
40.500000 57512 239.816597 57512.000000 239.816597
41.500000 57755 240.322700 57755.000000 240.322700
42.500000 58132 241.105786 58132.000000 241.105786
43.500000 58606 242.086761 58606.000000 242.086761
44.500000 58691 242.262255 58691.000000 242.262255
45.500000 58908 242.709703 58908.000000 242.709703
46.500000 59585 244.100389 59585.000000 244.100389
47.500000 59444 243.811403 59444.000000 243.811403
48.500000 60588 246.146298 60588.000000 246.146298
49.500000 60497 245.961379 60497.000000 245.961379
50.500000 61182 247.349955 61182.000000 247.349955
51.500000 61932 248.861407 61932.000000 248.861407
52.500000 62925 250.848560 62925.000000 250.848560
53.500000 63462 251.916653 63462.000000 251.916653
54.500000 63738 252.463859 63738.000000 252.463859
55.500000 64540 254.047240 64540.000000 254.047240
56.500000 65256 255.452540 65256.000000 255.452540
57.500000 66522 257.918592 66522.000000 257.918592
58.500000 66894 258.638744 66894.000000 258.638744
59.500000 67468 259.746030 67468.000000 259.746030
60.500000 67781 260.347844 67781.000000 260.347844
61.500000 69334 263.313501 69334.000000 263.313501
62.500000 69582 263.784003 69582.000000 263.784003
63.500000 70287 265.116955 70287.000000 265.116955
64.500000 71118 266.679583 71118.000000 266.679583
65.500000 71908 268.156671 71908.000000 268.156671
66.500000 71853 268.054099 71853.000000 268.054099
67.500000 72559 269.367778 72559.000000 269.367778
68.500000 73276 270.695401 73276.000000 270.695401
69.500000 73975 271.983455 73975.000000 271.983455
70.500000 73985 272.001838 73985.000000 272.001838
71.500000 73810 271.679959 73810.000000 271.679959
72.500000 74407 272.776465 74407.000000 272.776465
73.500000 74519 272.981684 74519.000000 272.981684
74.500000 74559 273.054940 74559.000000 273.054940
