# name, dx, fmax, fmax_err, norm_value, norm_vale_err
# 200D_88Y 1 3413 58.42088667591412 1 0
# bin_center, freq, freq_err, norm_freq, norm_freq_err
0.500000 1 1.000000 1.000000 1.000000
1.500000 0 0.000000 0.000000 0.000000
2.500000 1 1.000000 1.000000 1.000000
3.500000 6 2.449490 6.000000 2.449490
4.500000 26 5.099020 26.000000 5.099020
5.500000 55 7.416198 55.000000 7.416198
6.500000 71 8.426150 71.000000 8.426150
7.500000 151 12.288206 151.000000 12.288206
8.500000 896 29.933259 896.000000 29.933259
9.500000 1641 40.509258 1641.000000 40.509258
10.500000 2278 47.728398 2278.000000 47.728398
11.500000 3003 54.799635 3003.000000 54.799635
12.500000 2923 54.064776 2923.000000 54.064776
13.500000 2742 52.364110 2742.000000 52.364110
14.500000 2750 52.440442 2750.000000 52.440442
15.500000 2704 52.000000 2704.000000 52.000000
16.500000 2646 51.439285 2646.000000 51.439285
17.500000 2749 52.430907 2749.000000 52.430907
18.500000 2790 52.820451 2790.000000 52.820451
19.500000 2728 52.230259 2728.000000 52.230259
20.500000 2724 52.191953 2724.000000 52.191953
21.500000 2673 51.701064 2673.000000 51.701064
22.500000 2716 52.115257 2716.000000 52.115257
23.500000 2623 51.215232 2623.000000 51.215232
24.500000 2809 53.000000 2809.000000 53.000000
25.500000 2697 51.932649 2697.000000 51.932649
26.500000 2662 51.594573 2662.000000 51.594573
27.500000 2574 50.734604 2574.000000 50.734604
28.500000 2638 51.361464 2638.000000 51.361464
29.500000 2654 51.516987 2654.000000 51.516987
30.500000 2686 51.826634 2686.000000 51.826634
31.500000 2764 52.573758 2764.000000 52.573758
32.500000 2669 51.662365 2669.000000 51.662365
33.500000 2664 51.613952 2664.000000 51.613952
34.500000 2653 51.507281 2653.000000 51.507281
35.500000 2666 51.633323 2666.000000 51.633323
36.500000 2739 52.335456 2739.000000 52.335456
37.500000 2716 52.115257 2716.000000 52.115257
38.500000 2704 52.000000 2704.000000 52.000000
39.500000 2677 51.739733 2677.000000 51.739733
40.500000 2720 52.153619 2720.000000 52.153619
41.500000 2667 51.643005 2667.000000 51.643005
42.500000 2800 52.915026 2800.000000 52.915026
43.500000 2663 51.604263 2663.000000 51.604263
44.500000 2694 51.903757 2694.000000 51.903757
45.500000 2649 51.468437 2649.000000 51.468437
46.500000 2775 52.678269 2775.000000 52.678269
47.500000 2716 52.115257 2716.000000 52.115257
48.500000 2741 52.354560 2741.000000 52.354560
49.500000 2866 53.535035 2866.000000 53.535035
50.500000 2671 51.681718 2671.000000 51.681718
51.500000 2719 52.144031 2719.000000 52.144031
52.500000 2788 52.801515 2788.000000 52.801515
53.500000 2762 52.554733 2762.000000 52.554733
54.500000 2733 52.278102 2733.000000 52.278102
55.500000 2735 52.297227 2735.000000 52.297227
56.500000 2953 54.341513 2953.000000 54.341513
57.500000 2818 53.084838 2818.000000 53.084838
58.500000 2856 53.441557 2856.000000 53.441557
59.500000 2858 53.460266 2858.000000 53.460266
60.500000 2818 53.084838 2818.000000 53.084838
61.500000 2889 53.749419 2889.000000 53.749419
62.500000 2890 53.758720 2890.000000 53.758720
63.500000 2823 53.131911 2823.000000 53.131911
64.500000 2901 53.860932 2901.000000 53.860932
65.500000 3034 55.081757 3034.000000 55.081757
66.500000 2919 54.027771 2919.000000 54.027771
67.500000 2965 54.451814 2965.000000 54.451814
68.500000 3012 54.881691 3012.000000 54.881691
69.500000 3027 55.018179 3027.000000 55.018179
70.500000 2983 54.616847 2983.000000 54.616847
71.500000 2991 54.690036 2991.000000 54.690036
72.500000 3001 54.781384 3001.000000 54.781384
73.500000 3153 56.151581 3153.000000 56.151581
74.500000 3075 55.452683 3075.000000 55.452683
75.500000 3086 55.551778 3086.000000 55.551778
76.500000 3113 55.794265 3113.000000 55.794265
77.500000 3219 56.736232 3219.000000 56.736232
78.500000 3176 56.356011 3176.000000 56.356011
79.500000 3204 56.603887 3204.000000 56.603887
80.500000 3195 56.524331 3195.000000 56.524331
81.500000 3290 57.358522 3290.000000 57.358522
82.500000 3329 57.697487 3329.000000 57.697487
83.500000 3386 58.189346 3386.000000 58.189346
84.500000 3198 56.550862 3198.000000 56.550862
85.500000 3242 56.938563 3242.000000 56.938563
86.500000 3373 58.077534 3373.000000 58.077534
87.500000 3303 57.471732 3303.000000 57.471732
88.500000 3300 57.445626 3300.000000 57.445626
89.500000 3278 57.253821 3278.000000 57.253821
90.500000 3307 57.506521 3307.000000 57.506521
91.500000 3188 56.462377 3188.000000 56.462377
92.500000 3368 58.034473 3368.000000 58.034473
93.500000 3272 57.201399 3272.000000 57.201399
94.500000 3413 58.420887 3413.000000 58.420887
95.500000 3354 57.913729 3354.000000 57.913729
96.500000 3323 57.645468 3323.000000 57.645468
97.500000 3249 57.000000 3249.000000 57.000000
98.500000 3364 58.000000 3364.000000 58.000000
99.500000 3244 56.956123 3244.000000 56.956123
100.500000 3295 57.402091 3295.000000 57.402091
101.500000 3340 57.792733 3340.000000 57.792733
102.500000 3189 56.471232 3189.000000 56.471232
103.500000 3173 56.329388 3173.000000 56.329388
104.500000 3169 56.293872 3169.000000 56.293872
105.500000 3062 55.335341 3062.000000 55.335341
106.500000 3213 56.683331 3213.000000 56.683331
107.500000 3133 55.973208 3133.000000 55.973208
108.500000 3335 57.749459 3335.000000 57.749459
109.500000 3178 56.373753 3178.000000 56.373753
110.500000 3115 55.812185 3115.000000 55.812185
111.500000 3065 55.362442 3065.000000 55.362442
112.500000 3010 54.863467 3010.000000 54.863467
113.500000 3086 55.551778 3086.000000 55.551778
114.500000 3096 55.641711 3096.000000 55.641711
115.500000 2957 54.378304 2957.000000 54.378304
116.500000 2896 53.814496 2896.000000 53.814496
117.500000 2949 54.304696 2949.000000 54.304696
118.500000 2974 54.534393 2974.000000 54.534393
119.500000 2843 53.319790 2843.000000 53.319790
120.500000 2869 53.563047 2869.000000 53.563047
121.500000 2885 53.712196 2885.000000 53.712196
122.500000 2873 53.600373 2873.000000 53.600373
123.500000 2834 53.235327 2834.000000 53.235327
124.500000 2759 52.526184 2759.000000 52.526184
125.500000 2780 52.725705 2780.000000 52.725705
126.500000 2794 52.858301 2794.000000 52.858301
127.500000 2800 52.915026 2800.000000 52.915026
128.500000 2646 51.439285 2646.000000 51.439285
129.500000 2642 51.400389 2642.000000 51.400389
130.500000 2587 50.862560 2587.000000 50.862560
131.500000 2595 50.941143 2595.000000 50.941143
132.500000 2629 51.273775 2629.000000 51.273775
133.500000 2730 52.249402 2730.000000 52.249402
134.500000 2501 50.009999 2501.000000 50.009999
135.500000 2610 51.088159 2610.000000 51.088159
136.500000 2520 50.199602 2520.000000 50.199602
137.500000 2534 50.338852 2534.000000 50.338852
138.500000 2522 50.219518 2522.000000 50.219518
139.500000 2570 50.695167 2570.000000 50.695167
140.500000 2425 49.244289 2425.000000 49.244289
141.500000 2429 49.284886 2429.000000 49.284886
142.500000 2524 50.239427 2524.000000 50.239427
143.500000 2488 49.879856 2488.000000 49.879856
144.500000 2527 50.269275 2527.000000 50.269275
145.500000 2446 49.457052 2446.000000 49.457052
146.500000 2367 48.651824 2367.000000 48.651824
147.500000 2400 48.989795 2400.000000 48.989795
148.500000 2275 47.696960 2275.000000 47.696960
149.500000 2489 49.889879 2489.000000 49.889879
150.500000 2342 48.394215 2342.000000 48.394215
151.500000 2365 48.631266 2365.000000 48.631266
152.500000 2437 49.365980 2437.000000 49.365980
153.500000 2399 48.979588 2399.000000 48.979588
154.500000 2299 47.947888 2299.000000 47.947888
155.500000 2350 48.476799 2350.000000 48.476799
156.500000 2294 47.895720 2294.000000 47.895720
157.500000 2281 47.759816 2281.000000 47.759816
158.500000 2266 47.602521 2266.000000 47.602521
159.500000 2276 47.707442 2276.000000 47.707442
160.500000 2365 48.631266 2365.000000 48.631266
161.500000 2306 48.020829 2306.000000 48.020829
162.500000 2341 48.383882 2341.000000 48.383882
163.500000 2280 47.749346 2280.000000 47.749346
164.500000 2155 46.421978 2155.000000 46.421978
165.500000 2301 47.968740 2301.000000 47.968740
166.500000 2250 47.434165 2250.000000 47.434165
167.500000 2231 47.233463 2231.000000 47.233463
168.500000 2211 47.021272 2211.000000 47.021272
169.500000 2132 46.173586 2132.000000 46.173586
170.500000 2198 46.882833 2198.000000 46.882833
171.500000 2133 46.184413 2133.000000 46.184413
172.500000 2190 46.797436 2190.000000 46.797436
173.500000 2169 46.572524 2169.000000 46.572524
174.500000 2282 47.770284 2282.000000 47.770284
175.500000 2151 46.378875 2151.000000 46.378875
176.500000 2121 46.054316 2121.000000 46.054316
177.500000 2188 46.776062 2188.000000 46.776062
178.500000 2144 46.303348 2144.000000 46.303348
179.500000 2105 45.880279 2105.000000 45.880279
180.500000 2056 45.343136 2056.000000 45.343136
181.500000 2183 46.722586 2183.000000 46.722586
182.500000 2189 46.786750 2189.000000 46.786750
183.500000 2145 46.314145 2145.000000 46.314145
184.500000 2128 46.130250 2128.000000 46.130250
185.500000 2108 45.912961 2108.000000 45.912961
186.500000 2049 45.265881 2049.000000 45.265881
187.500000 2069 45.486262 2069.000000 45.486262
188.500000 2133 46.184413 2133.000000 46.184413
189.500000 2181 46.701178 2181.000000 46.701178
190.500000 1990 44.609416 1990.000000 44.609416
191.500000 2045 45.221676 2045.000000 45.221676
192.500000 2061 45.398238 2061.000000 45.398238
193.500000 2081 45.617979 2081.000000 45.617979
194.500000 2019 44.933284 2019.000000 44.933284
195.500000 2090 45.716518 2090.000000 45.716518
196.500000 2071 45.508241 2071.000000 45.508241
197.500000 2190 46.797436 2190.000000 46.797436
198.500000 2082 45.628938 2082.000000 45.628938
199.500000 2040 45.166359 2040.000000 45.166359
200.500000 2146 46.324939 2146.000000 46.324939
201.500000 2061 45.398238 2061.000000 45.398238
202.500000 2074 45.541190 2074.000000 45.541190
203.500000 2085 45.661800 2085.000000 45.661800
204.500000 2012 44.855323 2012.000000 44.855323
205.500000 1969 44.373415 1969.000000 44.373415
206.500000 2006 44.788391 2006.000000 44.788391
207.500000 1958 44.249294 1958.000000 44.249294
208.500000 2110 45.934736 2110.000000 45.934736
209.500000 2078 45.585085 2078.000000 45.585085
210.500000 2055 45.332108 2055.000000 45.332108
211.500000 2053 45.310043 2053.000000 45.310043
212.500000 2034 45.099889 2034.000000 45.099889
213.500000 2098 45.803930 2098.000000 45.803930
214.500000 2013 44.866469 2013.000000 44.866469
215.500000 2093 45.749317 2093.000000 45.749317
216.500000 2033 45.088801 2033.000000 45.088801
217.500000 1971 44.395946 1971.000000 44.395946
218.500000 1899 43.577517 1899.000000 43.577517
219.500000 1926 43.886217 1926.000000 43.886217
220.500000 2073 45.530210 2073.000000 45.530210
221.500000 1924 43.863424 1924.000000 43.863424
222.500000 1978 44.474712 1978.000000 44.474712
223.500000 2021 44.955534 2021.000000 44.955534
224.500000 1958 44.249294 1958.000000 44.249294
225.500000 1999 44.710178 1999.000000 44.710178
226.500000 1958 44.249294 1958.000000 44.249294
227.500000 2083 45.639895 2083.000000 45.639895
228.500000 1942 44.068129 1942.000000 44.068129
229.500000 2074 45.541190 2074.000000 45.541190
230.500000 1989 44.598206 1989.000000 44.598206
