#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2024-05-24, 10:06:12
# Real time (s): 1254.680
# Live time (s): 1200.000
#
# Total counts:  195605
#
# Left marker:  511 (433.371 keV)
# Right marker: 513 (435.065 keV)
# Counts:  328
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.669355
#     A1: 0.846774
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	1.516	0	0
2	2.363	0	0
3	3.210	0	0
4	4.056	0	0
5	4.903	0	0
6	5.750	0	0
7	6.597	1	0.000833333
8	7.444	24	0.02
9	8.290	169	0.140833
10	9.137	336	0.28
11	9.984	508	0.423333
12	10.831	621	0.5175
13	11.677	605	0.504167
14	12.524	524	0.436667
15	13.371	507	0.4225
16	14.218	454	0.378333
17	15.065	408	0.34
18	15.911	373	0.310833
19	16.758	386	0.321667
20	17.605	339	0.2825
21	18.452	344	0.286667
22	19.298	305	0.254167
23	20.145	275	0.229167
24	20.992	303	0.2525
25	21.839	262	0.218333
26	22.685	275	0.229167
27	23.532	288	0.24
28	24.379	281	0.234167
29	25.226	296	0.246667
30	26.073	288	0.24
31	26.919	303	0.2525
32	27.766	276	0.23
33	28.613	293	0.244167
34	29.460	266	0.221667
35	30.306	291	0.2425
36	31.153	267	0.2225
37	32.000	267	0.2225
38	32.847	289	0.240833
39	33.694	299	0.249167
40	34.540	286	0.238333
41	35.387	276	0.23
42	36.234	277	0.230833
43	37.081	283	0.235833
44	37.927	259	0.215833
45	38.774	281	0.234167
46	39.621	288	0.24
47	40.468	279	0.2325
48	41.315	293	0.244167
49	42.161	277	0.230833
50	43.008	291	0.2425
51	43.855	269	0.224167
52	44.702	275	0.229167
53	45.548	308	0.256667
54	46.395	280	0.233333
55	47.242	342	0.285
56	48.089	321	0.2675
57	48.935	278	0.231667
58	49.782	277	0.230833
59	50.629	293	0.244167
60	51.476	273	0.2275
61	52.323	279	0.2325
62	53.169	293	0.244167
63	54.016	351	0.2925
64	54.863	308	0.256667
65	55.710	314	0.261667
66	56.556	312	0.26
67	57.403	339	0.2825
68	58.250	292	0.243333
69	59.097	291	0.2425
70	59.944	308	0.256667
71	60.790	310	0.258333
72	61.637	313	0.260833
73	62.484	320	0.266667
74	63.331	288	0.24
75	64.177	323	0.269167
76	65.024	316	0.263333
77	65.871	294	0.245
78	66.718	306	0.255
79	67.565	310	0.258333
80	68.411	318	0.265
81	69.258	284	0.236667
82	70.105	337	0.280833
83	70.952	329	0.274167
84	71.798	320	0.266667
85	72.645	298	0.248333
86	73.492	320	0.266667
87	74.339	323	0.269167
88	75.185	330	0.275
89	76.032	279	0.2325
90	76.879	337	0.280833
91	77.726	304	0.253333
92	78.573	288	0.24
93	79.419	314	0.261667
94	80.266	338	0.281667
95	81.113	297	0.2475
96	81.960	303	0.2525
97	82.806	328	0.273333
