#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2024-05-24, 08:53:50
# Real time (s): 1245.480
# Live time (s): 1200.000
#
# Total counts:  17444507
#
# Left marker:  511 (433.371 keV)
# Right marker: 513 (435.065 keV)
# Counts:  15538
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.669355
#     A1: 0.846774
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	1.516	0	0
2	2.363	3	0.0025
3	3.210	37	0.0308333
4	4.056	154	0.128333
5	4.903	1035	0.8625
6	5.750	4405	3.67083
7	6.597	11952	9.96
8	7.444	20388	16.99
9	8.290	27970	23.3083
10	9.137	33205	27.6708
11	9.984	34145	28.4542
12	10.831	33697	28.0808
13	11.677	33294	27.745
14	12.524	33322	27.7683
15	13.371	33126	27.605
16	14.218	33518	27.9317
17	15.065	33198	27.665
18	15.911	33562	27.9683
19	16.758	33096	27.58
20	17.605	32983	27.4858
21	18.452	33426	27.855
22	19.298	33546	27.955
23	20.145	33986	28.3217
24	20.992	33759	28.1325
25	21.839	33930	28.275
26	22.685	34216	28.5133
27	23.532	34120	28.4333
28	24.379	34430	28.6917
29	25.226	34390	28.6583
30	26.073	34411	28.6758
31	26.919	34641	28.8675
32	27.766	35147	29.2892
33	28.613	35263	29.3858
34	29.460	34715	28.9292
35	30.306	34685	28.9042
36	31.153	34911	29.0925
37	32.000	34925	29.1042
38	32.847	35053	29.2108
39	33.694	34850	29.0417
40	34.540	34758	28.965
41	35.387	34955	29.1292
42	36.234	34917	29.0975
43	37.081	34896	29.08
44	37.927	34811	29.0092
45	38.774	35112	29.26
46	39.621	34889	29.0742
47	40.468	34992	29.16
48	41.315	35056	29.2133
49	42.161	35193	29.3275
50	43.008	35056	29.2133
51	43.855	35127	29.2725
52	44.702	35113	29.2608
53	45.548	35850	29.875
54	46.395	35462	29.5517
55	47.242	35796	29.83
56	48.089	35880	29.9
57	48.935	35807	29.8392
58	49.782	36037	30.0308
59	50.629	36187	30.1558
60	51.476	36560	30.4667
61	52.323	36490	30.4083
