#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2024-05-24, 09:41:36
# Real time (s): 1222.790
# Live time (s): 1200.000
#
# Total counts:  2164782
#
# Left marker:  511 (433.371 keV)
# Right marker: 513 (435.065 keV)
# Counts:  5550
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.669355
#     A1: 0.846774
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	1.516	0	0
2	2.363	0	0
3	3.210	0	0
4	4.056	0	0
5	4.903	0	0
6	5.750	0	0
7	6.597	18	0.015
8	7.444	285	0.2375
9	8.290	1262	1.05167
10	9.137	2062	1.71833
11	9.984	2959	2.46583
12	10.831	3733	3.11083
13	11.677	3659	3.04917
14	12.524	3523	2.93583
15	13.371	3486	2.905
16	14.218	3606	3.005
17	15.065	3591	2.9925
18	15.911	3576	2.98
19	16.758	3582	2.985
20	17.605	3610	3.00833
21	18.452	3604	3.00333
22	19.298	3549	2.9575
23	20.145	3592	2.99333
24	20.992	3445	2.87083
25	21.839	3702	3.085
26	22.685	3652	3.04333
27	23.532	3756	3.13
28	24.379	3623	3.01917
29	25.226	3593	2.99417
30	26.073	3636	3.03
31	26.919	3618	3.015
32	27.766	3660	3.05
33	28.613	3632	3.02667
34	29.460	3573	2.9775
35	30.306	3645	3.0375
36	31.153	3765	3.1375
37	32.000	3694	3.07833
38	32.847	3669	3.0575
39	33.694	3657	3.0475
40	34.540	3759	3.1325
41	35.387	3762	3.135
42	36.234	3785	3.15417
43	37.081	3673	3.06083
44	37.927	3674	3.06167
45	38.774	3582	2.985
46	39.621	3699	3.0825
47	40.468	3666	3.055
48	41.315	3647	3.03917
49	42.161	3606	3.005
50	43.008	3779	3.14917
51	43.855	3605	3.00417
52	44.702	3764	3.13667
53	45.548	3616	3.01333
54	46.395	3791	3.15917
55	47.242	3754	3.12833
56	48.089	3805	3.17083
57	48.935	3734	3.11167
58	49.782	3730	3.10833
59	50.629	3761	3.13417
60	51.476	3909	3.2575
61	52.323	3861	3.2175
62	53.169	3900	3.25
63	54.016	3868	3.22333
64	54.863	3815	3.17917
65	55.710	3806	3.17167
66	56.556	3887	3.23917
67	57.403	3822	3.185
68	58.250	3939	3.2825
69	59.097	3909	3.2575
70	59.944	3846	3.205
71	60.790	3904	3.25333
72	61.637	3940	3.28333
73	62.484	3829	3.19083
74	63.331	3937	3.28083
75	64.177	4017	3.3475
76	65.024	4062	3.385
77	65.871	3984	3.32
78	66.718	3938	3.28167
79	67.565	4040	3.36667
80	68.411	3922	3.26833
81	69.258	3985	3.32083
82	70.105	4043	3.36917
83	70.952	4007	3.33917
84	71.798	4081	3.40083
85	72.645	4174	3.47833
86	73.492	3975	3.3125
87	74.339	4152	3.46
88	75.185	4082	3.40167
89	76.032	4120	3.43333
90	76.879	4177	3.48083
91	77.726	4121	3.43417
