#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2024-05-24, 10:30:23
# Real time (s): 1227.290
# Live time (s): 1200.000
#
# Total counts:  1289348
#
# Left marker:  511 (433.371 keV)
# Right marker: 513 (435.065 keV)
# Counts:  2274
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.669355
#     A1: 0.846774
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	1.516	0	0
2	2.363	0	0
3	3.210	0	0
4	4.056	0	0
5	4.903	0	0
6	5.750	0	0
7	6.597	5	0.00416667
8	7.444	47	0.0391667
9	8.290	355	0.295833
10	9.137	974	0.811667
11	9.984	1446	1.205
12	10.831	1928	1.60667
13	11.677	2066	1.72167
14	12.524	2035	1.69583
15	13.371	1967	1.63917
16	14.218	2029	1.69083
17	15.065	2007	1.6725
18	15.911	2097	1.7475
19	16.758	2026	1.68833
20	17.605	1925	1.60417
21	18.452	1935	1.6125
22	19.298	1981	1.65083
23	20.145	1933	1.61083
24	20.992	2001	1.6675
25	21.839	2004	1.67
26	22.685	1979	1.64917
27	23.532	2008	1.67333
28	24.379	1996	1.66333
29	25.226	1912	1.59333
30	26.073	1953	1.6275
31	26.919	1997	1.66417
32	27.766	2015	1.67917
33	28.613	2005	1.67083
34	29.460	2007	1.6725
35	30.306	2092	1.74333
36	31.153	2035	1.69583
37	32.000	2074	1.72833
38	32.847	2011	1.67583
39	33.694	2014	1.67833
40	34.540	1955	1.62917
41	35.387	2026	1.68833
42	36.234	1957	1.63083
43	37.081	1968	1.64
44	37.927	2064	1.72
45	38.774	1956	1.63
46	39.621	2011	1.67583
47	40.468	2026	1.68833
48	41.315	1958	1.63167
49	42.161	2025	1.6875
50	43.008	2086	1.73833
51	43.855	2045	1.70417
52	44.702	2106	1.755
53	45.548	2002	1.66833
54	46.395	2060	1.71667
55	47.242	2021	1.68417
56	48.089	1987	1.65583
57	48.935	1995	1.6625
58	49.782	2011	1.67583
59	50.629	1978	1.64833
60	51.476	1972	1.64333
61	52.323	2012	1.67667
62	53.169	2047	1.70583
63	54.016	2030	1.69167
64	54.863	2084	1.73667
65	55.710	1976	1.64667
66	56.556	1922	1.60167
67	57.403	2076	1.73
68	58.250	2116	1.76333
69	59.097	2216	1.84667
70	59.944	2057	1.71417
71	60.790	2187	1.8225
72	61.637	2037	1.6975
73	62.484	2076	1.73
74	63.331	2025	1.6875
75	64.177	2110	1.75833
76	65.024	2065	1.72083
77	65.871	2135	1.77917
78	66.718	2029	1.69083
79	67.565	2111	1.75917
80	68.411	2068	1.72333
81	69.258	2076	1.73
82	70.105	2070	1.725
83	70.952	2067	1.7225
84	71.798	2044	1.70333
85	72.645	2127	1.7725
86	73.492	2188	1.82333
87	74.339	2148	1.79
88	75.185	2100	1.75
89	76.032	2029	1.69083
90	76.879	2144	1.78667
