#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2024-05-24, 09:17:35
# Real time (s): 1203.260
# Live time (s): 1200.000
#
# Total counts:  117720
#
# Left marker:  511 (433.371 keV)
# Right marker: 513 (435.065 keV)
# Counts:  227
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 0.669355
#     A1: 0.846774
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
1	1.516	0	0
2	2.363	0	0
3	3.210	0	0
4	4.056	0	0
5	4.903	0	0
6	5.750	0	0
7	6.597	1	0.000833333
8	7.444	1	0.000833333
9	8.290	15	0.0125
10	9.137	25	0.0208333
11	9.984	23	0.0191667
12	10.831	32	0.0266667
13	11.677	44	0.0366667
14	12.524	30	0.025
15	13.371	39	0.0325
16	14.218	35	0.0291667
17	15.065	30	0.025
18	15.911	42	0.035
19	16.758	41	0.0341667
20	17.605	32	0.0266667
21	18.452	33	0.0275
22	19.298	46	0.0383333
23	20.145	39	0.0325
24	20.992	62	0.0516667
25	21.839	54	0.045
26	22.685	51	0.0425
27	23.532	51	0.0425
28	24.379	51	0.0425
29	25.226	65	0.0541667
30	26.073	60	0.05
31	26.919	53	0.0441667
32	27.766	87	0.0725
33	28.613	57	0.0475
34	29.460	75	0.0625
35	30.306	83	0.0691667
36	31.153	94	0.0783333
37	32.000	81	0.0675
38	32.847	93	0.0775
39	33.694	76	0.0633333
40	34.540	112	0.0933333
41	35.387	109	0.0908333
42	36.234	111	0.0925
43	37.081	95	0.0791667
44	37.927	89	0.0741667
45	38.774	91	0.0758333
46	39.621	121	0.100833
47	40.468	122	0.101667
48	41.315	148	0.123333
49	42.161	109	0.0908333
50	43.008	130	0.108333
51	43.855	138	0.115
52	44.702	152	0.126667
53	45.548	145	0.120833
54	46.395	117	0.0975
55	47.242	140	0.116667
56	48.089	156	0.13
57	48.935	146	0.121667
58	49.782	150	0.125
59	50.629	144	0.12
60	51.476	171	0.1425
61	52.323	173	0.144167
62	53.169	162	0.135
63	54.016	160	0.133333
64	54.863	146	0.121667
65	55.710	157	0.130833
66	56.556	137	0.114167
67	57.403	134	0.111667
68	58.250	141	0.1175
69	59.097	153	0.1275
70	59.944	185	0.154167
71	60.790	176	0.146667
72	61.637	157	0.130833
73	62.484	136	0.113333
74	63.331	164	0.136667
75	64.177	165	0.1375
76	65.024	144	0.12
77	65.871	165	0.1375
78	66.718	152	0.126667
79	67.565	168	0.14
80	68.411	159	0.1325
81	69.258	145	0.120833
82	70.105	158	0.131667
83	70.952	156	0.13
84	71.798	170	0.141667
85	72.645	149	0.124167
86	73.492	163	0.135833
87	74.339	154	0.128333
88	75.185	134	0.111667
89	76.032	171	0.1425
90	76.879	137	0.114167
91	77.726	141	0.1175
92	78.573	153	0.1275
93	79.419	156	0.13
94	80.266	156	0.13
95	81.113	161	0.134167
