# name, dx, fmax, fmax_err, norm_value, norm_vale_err
# outD_137Cs 1 589 24.269322199023193 1 0
# bin_center, freq, freq_err, norm_freq, norm_freq_err
0.500000 0 0.000000 0.000000 0.000000
1.500000 0 0.000000 0.000000 0.000000
2.500000 0 0.000000 0.000000 0.000000
3.500000 0 0.000000 0.000000 0.000000
4.500000 0 0.000000 0.000000 0.000000
5.500000 0 0.000000 0.000000 0.000000
6.500000 0 0.000000 0.000000 0.000000
7.500000 23 4.795832 23.000000 4.795832
8.500000 154 12.409674 154.000000 12.409674
9.500000 311 17.635192 311.000000 17.635192
10.500000 485 22.022716 485.000000 22.022716
11.500000 589 24.269322 589.000000 24.269322
12.500000 561 23.685439 561.000000 23.685439
13.500000 494 22.226111 494.000000 22.226111
14.500000 468 21.633308 468.000000 21.633308
15.500000 419 20.469489 419.000000 20.469489
16.500000 378 19.442222 378.000000 19.442222
17.500000 331 18.193405 331.000000 18.193405
18.500000 345 18.574176 345.000000 18.574176
19.500000 307 17.521415 307.000000 17.521415
20.500000 311 17.635192 311.000000 17.635192
21.500000 259 16.093477 259.000000 16.093477
22.500000 236 15.362291 236.000000 15.362291
23.500000 241 15.524175 241.000000 15.524175
24.500000 208 14.422205 208.000000 14.422205
25.500000 224 14.966630 224.000000 14.966630
26.500000 237 15.394804 237.000000 15.394804
27.500000 230 15.165751 230.000000 15.165751
28.500000 231 15.198684 231.000000 15.198684
29.500000 228 15.099669 228.000000 15.099669
30.500000 250 15.811388 250.000000 15.811388
31.500000 189 13.747727 189.000000 13.747727
32.500000 236 15.362291 236.000000 15.362291
33.500000 191 13.820275 191.000000 13.820275
34.500000 208 14.422205 208.000000 14.422205
35.500000 173 13.152946 173.000000 13.152946
36.500000 186 13.638182 186.000000 13.638182
37.500000 196 14.000000 196.000000 14.000000
38.500000 223 14.933185 223.000000 14.933185
39.500000 174 13.190906 174.000000 13.190906
40.500000 167 12.922848 167.000000 12.922848
41.500000 166 12.884099 166.000000 12.884099
42.500000 188 13.711309 188.000000 13.711309
43.500000 170 13.038405 170.000000 13.038405
44.500000 190 13.784049 190.000000 13.784049
45.500000 167 12.922848 167.000000 12.922848
46.500000 157 12.529964 157.000000 12.529964
47.500000 145 12.041595 145.000000 12.041595
48.500000 168 12.961481 168.000000 12.961481
49.500000 161 12.688578 161.000000 12.688578
50.500000 131 11.445523 131.000000 11.445523
51.500000 123 11.090537 123.000000 11.090537
52.500000 163 12.767145 163.000000 12.767145
53.500000 163 12.767145 163.000000 12.767145
54.500000 202 14.212670 202.000000 14.212670
55.500000 165 12.845233 165.000000 12.845233
56.500000 132 11.489125 132.000000 11.489125
57.500000 127 11.269428 127.000000 11.269428
58.500000 149 12.206556 149.000000 12.206556
59.500000 102 10.099505 102.000000 10.099505
60.500000 106 10.295630 106.000000 10.295630
61.500000 131 11.445523 131.000000 11.445523
62.500000 191 13.820275 191.000000 13.820275
63.500000 162 12.727922 162.000000 12.727922
64.500000 157 12.529964 157.000000 12.529964
65.500000 175 13.228757 175.000000 13.228757
66.500000 205 14.317821 205.000000 14.317821
67.500000 151 12.288206 151.000000 12.288206
68.500000 138 11.747340 138.000000 11.747340
69.500000 123 11.090537 123.000000 11.090537
70.500000 134 11.575837 134.000000 11.575837
71.500000 156 12.489996 156.000000 12.489996
72.500000 184 13.564660 184.000000 13.564660
73.500000 124 11.135529 124.000000 11.135529
74.500000 158 12.569805 158.000000 12.569805
75.500000 172 13.114877 172.000000 13.114877
76.500000 129 11.357817 129.000000 11.357817
77.500000 154 12.409674 154.000000 12.409674
78.500000 142 11.916375 142.000000 11.916375
79.500000 159 12.609520 159.000000 12.609520
80.500000 139 11.789826 139.000000 11.789826
81.500000 179 13.379088 179.000000 13.379088
82.500000 173 13.152946 173.000000 13.152946
83.500000 150 12.247449 150.000000 12.247449
84.500000 149 12.206556 149.000000 12.206556
85.500000 157 12.529964 157.000000 12.529964
86.500000 169 13.000000 169.000000 13.000000
87.500000 196 14.000000 196.000000 14.000000
88.500000 108 10.392305 108.000000 10.392305
89.500000 200 14.142136 200.000000 14.142136
90.500000 163 12.767145 163.000000 12.767145
91.500000 135 11.618950 135.000000 11.618950
92.500000 158 12.569805 158.000000 12.569805
93.500000 182 13.490738 182.000000 13.490738
94.500000 136 11.661904 136.000000 11.661904
95.500000 142 11.916375 142.000000 11.916375
96.500000 167 12.922848 167.000000 12.922848
97.500000 168 12.961481 168.000000 12.961481
98.500000 213 14.594520 213.000000 14.594520
99.500000 194 13.928388 194.000000 13.928388
100.500000 175 13.228757 175.000000 13.228757
101.500000 170 13.038405 170.000000 13.038405
102.500000 196 14.000000 196.000000 14.000000
103.500000 184 13.564660 184.000000 13.564660
104.500000 144 12.000000 144.000000 12.000000
105.500000 148 12.165525 148.000000 12.165525
106.500000 197 14.035669 197.000000 14.035669
107.500000 224 14.966630 224.000000 14.966630
108.500000 170 13.038405 170.000000 13.038405
109.500000 176 13.266499 176.000000 13.266499
110.500000 154 12.409674 154.000000 12.409674
111.500000 170 13.038405 170.000000 13.038405
112.500000 172 13.114877 172.000000 13.114877
113.500000 179 13.379088 179.000000 13.379088
114.500000 217 14.730920 217.000000 14.730920
115.500000 173 13.152946 173.000000 13.152946
116.500000 180 13.416408 180.000000 13.416408
117.500000 156 12.489996 156.000000 12.489996
118.500000 207 14.387495 207.000000 14.387495
119.500000 185 13.601471 185.000000 13.601471
120.500000 163 12.767145 163.000000 12.767145
121.500000 200 14.142136 200.000000 14.142136
122.500000 168 12.961481 168.000000 12.961481
123.500000 192 13.856406 192.000000 13.856406
124.500000 181 13.453624 181.000000 13.453624
125.500000 172 13.114877 172.000000 13.114877
126.500000 158 12.569805 158.000000 12.569805
127.500000 171 13.076697 171.000000 13.076697
128.500000 176 13.266499 176.000000 13.266499
129.500000 168 12.961481 168.000000 12.961481
130.500000 204 14.282857 204.000000 14.282857
131.500000 179 13.379088 179.000000 13.379088
132.500000 148 12.165525 148.000000 12.165525
133.500000 182 13.490738 182.000000 13.490738
134.500000 190 13.784049 190.000000 13.784049
135.500000 141 11.874342 141.000000 11.874342
136.500000 166 12.884099 166.000000 12.884099
137.500000 149 12.206556 149.000000 12.206556
138.500000 159 12.609520 159.000000 12.609520
139.500000 179 13.379088 179.000000 13.379088
140.500000 173 13.152946 173.000000 13.152946
141.500000 160 12.649111 160.000000 12.649111
142.500000 218 14.764823 218.000000 14.764823
143.500000 180 13.416408 180.000000 13.416408
144.500000 150 12.247449 150.000000 12.247449
145.500000 175 13.228757 175.000000 13.228757
146.500000 143 11.958261 143.000000 11.958261
147.500000 189 13.747727 189.000000 13.747727
148.500000 181 13.453624 181.000000 13.453624
149.500000 151 12.288206 151.000000 12.288206
150.500000 131 11.445523 131.000000 11.445523
151.500000 107 10.344080 107.000000 10.344080
152.500000 138 11.747340 138.000000 11.747340
153.500000 202 14.212670 202.000000 14.212670
154.500000 198 14.071247 198.000000 14.071247
155.500000 189 13.747727 189.000000 13.747727
156.500000 158 12.569805 158.000000 12.569805
157.500000 155 12.449900 155.000000 12.449900
158.500000 171 13.076697 171.000000 13.076697
159.500000 182 13.490738 182.000000 13.490738
160.500000 177 13.304135 177.000000 13.304135
161.500000 149 12.206556 149.000000 12.206556
162.500000 127 11.269428 127.000000 11.269428
163.500000 171 13.076697 171.000000 13.076697
164.500000 126 11.224972 126.000000 11.224972
165.500000 152 12.328828 152.000000 12.328828
166.500000 142 11.916375 142.000000 11.916375
167.500000 182 13.490738 182.000000 13.490738
168.500000 137 11.704700 137.000000 11.704700
169.500000 131 11.445523 131.000000 11.445523
170.500000 130 11.401754 130.000000 11.401754
171.500000 203 14.247807 203.000000 14.247807
172.500000 159 12.609520 159.000000 12.609520
173.500000 114 10.677078 114.000000 10.677078
174.500000 184 13.564660 184.000000 13.564660
175.500000 124 11.135529 124.000000 11.135529
176.500000 172 13.114877 172.000000 13.114877
177.500000 147 12.124356 147.000000 12.124356
178.500000 132 11.489125 132.000000 11.489125
179.500000 167 12.922848 167.000000 12.922848
180.500000 179 13.379088 179.000000 13.379088
181.500000 126 11.224972 126.000000 11.224972
182.500000 171 13.076697 171.000000 13.076697
183.500000 160 12.649111 160.000000 12.649111
184.500000 109 10.440307 109.000000 10.440307
185.500000 141 11.874342 141.000000 11.874342
186.500000 168 12.961481 168.000000 12.961481
187.500000 138 11.747340 138.000000 11.747340
