# name, dx, fmax, fmax_err, norm_value, norm_vale_err
# outD_22Na 1 50156 223.95535269334377 1 0
# bin_center, freq, freq_err, norm_freq, norm_freq_err
0.500000 0 0.000000 0.000000 0.000000
1.500000 3 1.732051 3.000000 1.732051
2.500000 37 6.082763 37.000000 6.082763
3.500000 154 12.409674 154.000000 12.409674
4.500000 1035 32.171416 1035.000000 32.171416
5.500000 4405 66.370174 4405.000000 66.370174
6.500000 11951 109.320629 11951.000000 109.320629
7.500000 20387 142.783052 20387.000000 142.783052
8.500000 27955 167.197488 27955.000000 167.197488
9.500000 33180 182.153781 33180.000000 182.153781
10.500000 34122 184.721412 34122.000000 184.721412
11.500000 33665 183.480244 33665.000000 183.480244
12.500000 33250 182.345825 33250.000000 182.345825
13.500000 33292 182.460955 33292.000000 182.460955
14.500000 33087 181.898323 33087.000000 181.898323
15.500000 33483 182.983606 33483.000000 182.983606
16.500000 33168 182.120839 33168.000000 182.120839
17.500000 33520 183.084680 33520.000000 183.084680
18.500000 33055 181.810341 33055.000000 181.810341
19.500000 32951 181.524103 32951.000000 181.524103
20.500000 33393 182.737517 33393.000000 182.737517
21.500000 33500 183.030052 33500.000000 183.030052
22.500000 33947 184.247117 33947.000000 184.247117
23.500000 33697 183.567426 33697.000000 183.567426
24.500000 33876 184.054340 33876.000000 184.054340
25.500000 34165 184.837767 34165.000000 184.837767
26.500000 34069 184.577897 34069.000000 184.577897
27.500000 34379 185.415749 34379.000000 185.415749
28.500000 34325 185.270073 34325.000000 185.270073
29.500000 34351 185.340228 34351.000000 185.340228
30.500000 34588 185.978493 34588.000000 185.978493
31.500000 35060 187.243157 35060.000000 187.243157
32.500000 35206 187.632620 35206.000000 187.632620
33.500000 34640 186.118242 34640.000000 186.118242
34.500000 34602 186.016128 34602.000000 186.016128
35.500000 34817 186.593140 34817.000000 186.593140
36.500000 34844 186.665476 34844.000000 186.665476
37.500000 34960 186.975934 34960.000000 186.975934
38.500000 34774 186.477881 34774.000000 186.477881
39.500000 34646 186.134360 34646.000000 186.134360
40.500000 34846 186.670833 34846.000000 186.670833
41.500000 34806 186.563662 34806.000000 186.563662
42.500000 34801 186.550261 34801.000000 186.550261
43.500000 34722 186.338402 34722.000000 186.338402
44.500000 35021 187.138986 35021.000000 187.138986
45.500000 34768 186.461792 34768.000000 186.461792
46.500000 34870 186.735107 34870.000000 186.735107
47.500000 34908 186.836827 34908.000000 186.836827
48.500000 35084 187.307234 35084.000000 187.307234
49.500000 34926 186.884991 34926.000000 186.884991
50.500000 34989 187.053468 34989.000000 187.053468
51.500000 34961 186.978608 34961.000000 186.978608
52.500000 35705 188.957667 35705.000000 188.957667
53.500000 35345 188.002660 35345.000000 188.002660
54.500000 35656 188.827964 35656.000000 188.827964
55.500000 35724 189.007936 35724.000000 189.007936
56.500000 35661 188.841203 35661.000000 188.841203
57.500000 35887 189.438644 35887.000000 189.438644
58.500000 36043 189.849941 36043.000000 189.849941
59.500000 36389 190.759010 36389.000000 190.759010
60.500000 36317 190.570197 36317.000000 190.570197
61.500000 36662 191.473236 36662.000000 191.473236
62.500000 36520 191.102067 36520.000000 191.102067
63.500000 36776 191.770696 36776.000000 191.770696
64.500000 37135 192.704437 37135.000000 192.704437
65.500000 37391 193.367526 37391.000000 193.367526
66.500000 37711 194.193203 37711.000000 194.193203
67.500000 37321 193.186438 37321.000000 193.186438
68.500000 37486 193.613016 37486.000000 193.613016
69.500000 37851 194.553335 37851.000000 194.553335
70.500000 37795 194.409362 37795.000000 194.409362
71.500000 38281 195.655309 38281.000000 195.655309
72.500000 38606 196.484096 38606.000000 196.484096
73.500000 38453 196.094365 38453.000000 196.094365
74.500000 39194 197.974746 39194.000000 197.974746
75.500000 39282 198.196872 39282.000000 198.196872
76.500000 39616 199.037685 39616.000000 199.037685
77.500000 39692 199.228512 39692.000000 199.228512
78.500000 39724 199.308806 39724.000000 199.308806
