# name, dx, fmax, fmax_err, norm_value, norm_vale_err
# outD_bkgd 1 317 17.804493814764857 1 0
# bin_center, freq, freq_err, norm_freq, norm_freq_err
0.500000 0 0.000000 0.000000 0.000000
1.500000 0 0.000000 0.000000 0.000000
2.500000 0 0.000000 0.000000 0.000000
3.500000 0 0.000000 0.000000 0.000000
4.500000 0 0.000000 0.000000 0.000000
5.500000 0 0.000000 0.000000 0.000000
6.500000 1 1.000000 1.000000 1.000000
7.500000 1 1.000000 1.000000 1.000000
8.500000 15 3.872983 15.000000 3.872983
9.500000 25 5.000000 25.000000 5.000000
10.500000 23 4.795832 23.000000 4.795832
11.500000 32 5.656854 32.000000 5.656854
12.500000 44 6.633250 44.000000 6.633250
13.500000 30 5.477226 30.000000 5.477226
14.500000 39 6.244998 39.000000 6.244998
15.500000 35 5.916080 35.000000 5.916080
16.500000 30 5.477226 30.000000 5.477226
17.500000 42 6.480741 42.000000 6.480741
18.500000 41 6.403124 41.000000 6.403124
19.500000 32 5.656854 32.000000 5.656854
20.500000 33 5.744563 33.000000 5.744563
21.500000 46 6.782330 46.000000 6.782330
22.500000 39 6.244998 39.000000 6.244998
23.500000 62 7.874008 62.000000 7.874008
24.500000 54 7.348469 54.000000 7.348469
25.500000 51 7.141428 51.000000 7.141428
26.500000 51 7.141428 51.000000 7.141428
27.500000 51 7.141428 51.000000 7.141428
28.500000 65 8.062258 65.000000 8.062258
29.500000 60 7.745967 60.000000 7.745967
30.500000 53 7.280110 53.000000 7.280110
31.500000 87 9.327379 87.000000 9.327379
32.500000 57 7.549834 57.000000 7.549834
33.500000 75 8.660254 75.000000 8.660254
34.500000 83 9.110434 83.000000 9.110434
35.500000 94 9.695360 94.000000 9.695360
36.500000 81 9.000000 81.000000 9.000000
37.500000 93 9.643651 93.000000 9.643651
38.500000 76 8.717798 76.000000 8.717798
39.500000 112 10.583005 112.000000 10.583005
40.500000 109 10.440307 109.000000 10.440307
41.500000 111 10.535654 111.000000 10.535654
42.500000 95 9.746794 95.000000 9.746794
43.500000 89 9.433981 89.000000 9.433981
44.500000 91 9.539392 91.000000 9.539392
45.500000 121 11.000000 121.000000 11.000000
46.500000 122 11.045361 122.000000 11.045361
47.500000 148 12.165525 148.000000 12.165525
48.500000 109 10.440307 109.000000 10.440307
49.500000 130 11.401754 130.000000 11.401754
50.500000 138 11.747340 138.000000 11.747340
51.500000 152 12.328828 152.000000 12.328828
52.500000 145 12.041595 145.000000 12.041595
53.500000 117 10.816654 117.000000 10.816654
54.500000 140 11.832160 140.000000 11.832160
55.500000 156 12.489996 156.000000 12.489996
56.500000 146 12.083046 146.000000 12.083046
57.500000 150 12.247449 150.000000 12.247449
58.500000 144 12.000000 144.000000 12.000000
59.500000 171 13.076697 171.000000 13.076697
60.500000 173 13.152946 173.000000 13.152946
61.500000 162 12.727922 162.000000 12.727922
62.500000 160 12.649111 160.000000 12.649111
63.500000 146 12.083046 146.000000 12.083046
64.500000 157 12.529964 157.000000 12.529964
65.500000 137 11.704700 137.000000 11.704700
66.500000 134 11.575837 134.000000 11.575837
67.500000 141 11.874342 141.000000 11.874342
68.500000 153 12.369317 153.000000 12.369317
69.500000 185 13.601471 185.000000 13.601471
70.500000 176 13.266499 176.000000 13.266499
71.500000 157 12.529964 157.000000 12.529964
72.500000 136 11.661904 136.000000 11.661904
73.500000 164 12.806248 164.000000 12.806248
74.500000 165 12.845233 165.000000 12.845233
75.500000 144 12.000000 144.000000 12.000000
76.500000 165 12.845233 165.000000 12.845233
77.500000 152 12.328828 152.000000 12.328828
78.500000 168 12.961481 168.000000 12.961481
79.500000 159 12.609520 159.000000 12.609520
80.500000 145 12.041595 145.000000 12.041595
81.500000 158 12.569805 158.000000 12.569805
82.500000 156 12.489996 156.000000 12.489996
83.500000 170 13.038405 170.000000 13.038405
84.500000 149 12.206556 149.000000 12.206556
85.500000 163 12.767145 163.000000 12.767145
86.500000 154 12.409674 154.000000 12.409674
87.500000 134 11.575837 134.000000 11.575837
88.500000 171 13.076697 171.000000 13.076697
89.500000 137 11.704700 137.000000 11.704700
90.500000 141 11.874342 141.000000 11.874342
91.500000 153 12.369317 153.000000 12.369317
92.500000 156 12.489996 156.000000 12.489996
93.500000 156 12.489996 156.000000 12.489996
94.500000 161 12.688578 161.000000 12.688578
95.500000 161 12.688578 161.000000 12.688578
96.500000 161 12.688578 161.000000 12.688578
97.500000 152 12.328828 152.000000 12.328828
98.500000 138 11.747340 138.000000 11.747340
99.500000 123 11.090537 123.000000 11.090537
100.500000 146 12.083046 146.000000 12.083046
101.500000 148 12.165525 148.000000 12.165525
102.500000 138 11.747340 138.000000 11.747340
103.500000 151 12.288206 151.000000 12.288206
104.500000 166 12.884099 166.000000 12.884099
105.500000 162 12.727922 162.000000 12.727922
106.500000 141 11.874342 141.000000 11.874342
107.500000 153 12.369317 153.000000 12.369317
108.500000 168 12.961481 168.000000 12.961481
109.500000 151 12.288206 151.000000 12.288206
110.500000 155 12.449900 155.000000 12.449900
111.500000 164 12.806248 164.000000 12.806248
112.500000 170 13.038405 170.000000 13.038405
113.500000 165 12.845233 165.000000 12.845233
114.500000 136 11.661904 136.000000 11.661904
115.500000 162 12.727922 162.000000 12.727922
116.500000 147 12.124356 147.000000 12.124356
117.500000 147 12.124356 147.000000 12.124356
118.500000 147 12.124356 147.000000 12.124356
119.500000 148 12.165525 148.000000 12.165525
120.500000 159 12.609520 159.000000 12.609520
121.500000 157 12.529964 157.000000 12.529964
122.500000 159 12.609520 159.000000 12.609520
123.500000 163 12.767145 163.000000 12.767145
124.500000 161 12.688578 161.000000 12.688578
125.500000 159 12.609520 159.000000 12.609520
126.500000 156 12.489996 156.000000 12.489996
127.500000 144 12.000000 144.000000 12.000000
128.500000 164 12.806248 164.000000 12.806248
129.500000 155 12.449900 155.000000 12.449900
130.500000 152 12.328828 152.000000 12.328828
131.500000 156 12.489996 156.000000 12.489996
132.500000 184 13.564660 184.000000 13.564660
133.500000 149 12.206556 149.000000 12.206556
134.500000 156 12.489996 156.000000 12.489996
135.500000 176 13.266499 176.000000 13.266499
136.500000 165 12.845233 165.000000 12.845233
137.500000 171 13.076697 171.000000 13.076697
138.500000 157 12.529964 157.000000 12.529964
139.500000 160 12.649111 160.000000 12.649111
140.500000 147 12.124356 147.000000 12.124356
141.500000 163 12.767145 163.000000 12.767145
142.500000 144 12.000000 144.000000 12.000000
143.500000 168 12.961481 168.000000 12.961481
144.500000 169 13.000000 169.000000 13.000000
145.500000 175 13.228757 175.000000 13.228757
146.500000 173 13.152946 173.000000 13.152946
147.500000 162 12.727922 162.000000 12.727922
148.500000 171 13.076697 171.000000 13.076697
149.500000 165 12.845233 165.000000 12.845233
150.500000 197 14.035669 197.000000 14.035669
151.500000 191 13.820275 191.000000 13.820275
152.500000 189 13.747727 189.000000 13.747727
153.500000 153 12.369317 153.000000 12.369317
154.500000 167 12.922848 167.000000 12.922848
155.500000 158 12.569805 158.000000 12.569805
156.500000 180 13.416408 180.000000 13.416408
157.500000 190 13.784049 190.000000 13.784049
158.500000 181 13.453624 181.000000 13.453624
159.500000 164 12.806248 164.000000 12.806248
160.500000 200 14.142136 200.000000 14.142136
161.500000 188 13.711309 188.000000 13.711309
162.500000 202 14.212670 202.000000 14.212670
163.500000 188 13.711309 188.000000 13.711309
164.500000 217 14.730920 217.000000 14.730920
165.500000 189 13.747727 189.000000 13.747727
166.500000 212 14.560220 212.000000 14.560220
167.500000 174 13.190906 174.000000 13.190906
168.500000 198 14.071247 198.000000 14.071247
169.500000 195 13.964240 195.000000 13.964240
170.500000 222 14.899664 222.000000 14.899664
171.500000 179 13.379088 179.000000 13.379088
172.500000 196 14.000000 196.000000 14.000000
173.500000 230 15.165751 230.000000 15.165751
174.500000 174 13.190906 174.000000 13.190906
175.500000 215 14.662878 215.000000 14.662878
176.500000 199 14.106736 199.000000 14.106736
177.500000 222 14.899664 222.000000 14.899664
178.500000 221 14.866069 221.000000 14.866069
179.500000 185 13.601471 185.000000 13.601471
180.500000 220 14.832397 220.000000 14.832397
181.500000 222 14.899664 222.000000 14.899664
182.500000 209 14.456832 209.000000 14.456832
183.500000 206 14.352700 206.000000 14.352700
184.500000 259 16.093477 259.000000 16.093477
185.500000 227 15.066519 227.000000 15.066519
186.500000 212 14.560220 212.000000 14.560220
187.500000 240 15.491933 240.000000 15.491933
