# name, dx, fmax, fmax_err, norm_value, norm_vale_err
# 137Cs 8 4417 66.46051459325304 1 0
# bin_center, freq, freq_err, norm_freq, norm_freq_err
4.000000 0 0.000000 0.000000 0.000000
12.000000 0 0.000000 0.000000 0.000000
20.000000 0 0.000000 0.000000 0.000000
28.000000 0 0.000000 0.000000 0.000000
36.000000 0 0.000000 0.000000 0.000000
44.000000 0 0.000000 0.000000 0.000000
52.000000 0 0.000000 0.000000 0.000000
60.000000 0 0.000000 0.000000 0.000000
68.000000 1124 33.526109 1124.000000 33.526109
76.000000 1071 32.726136 1071.000000 32.726136
84.000000 882 29.698485 882.000000 29.698485
92.000000 887 29.782545 887.000000 29.782545
100.000000 959 30.967725 959.000000 30.967725
108.000000 918 30.298515 918.000000 30.298515
116.000000 1043 32.295511 1043.000000 32.295511
124.000000 921 30.347982 921.000000 30.347982
132.000000 999 31.606961 999.000000 31.606961
140.000000 953 30.870698 953.000000 30.870698
148.000000 869 29.478806 869.000000 29.478806
156.000000 888 29.799329 888.000000 29.799329
164.000000 929 30.479501 929.000000 30.479501
172.000000 997 31.575307 997.000000 31.575307
180.000000 887 29.782545 887.000000 29.782545
188.000000 861 29.342802 861.000000 29.342802
196.000000 975 31.224990 975.000000 31.224990
204.000000 864 29.393877 864.000000 29.393877
212.000000 996 31.559468 996.000000 31.559468
220.000000 1051 32.419130 1051.000000 32.419130
228.000000 1087 32.969683 1087.000000 32.969683
236.000000 1117 33.421550 1117.000000 33.421550
244.000000 1181 34.365681 1181.000000 34.365681
252.000000 1230 35.071356 1230.000000 35.071356
260.000000 1055 32.480764 1055.000000 32.480764
268.000000 1364 36.932371 1364.000000 36.932371
276.000000 1427 37.775654 1427.000000 37.775654
284.000000 1827 42.743421 1827.000000 42.743421
292.000000 1925 43.874822 1925.000000 43.874822
300.000000 1916 43.772137 1916.000000 43.772137
308.000000 1919 43.806392 1919.000000 43.806392
316.000000 2154 46.411206 2154.000000 46.411206
324.000000 2014 44.877611 2014.000000 44.877611
332.000000 2157 46.443514 2157.000000 46.443514
340.000000 2164 46.518813 2164.000000 46.518813
348.000000 2348 48.456166 2348.000000 48.456166
356.000000 2106 45.891176 2106.000000 45.891176
