# name, dx, fmax, fmax_err, norm_value, norm_vale_err
# 22Na 8 18091 134.50278807519194 1 0
# bin_center, freq, freq_err, norm_freq, norm_freq_err
4.000000 0 0.000000 0.000000 0.000000
12.000000 0 0.000000 0.000000 0.000000
20.000000 0 0.000000 0.000000 0.000000
28.000000 0 0.000000 0.000000 0.000000
36.000000 0 0.000000 0.000000 0.000000
44.000000 0 0.000000 0.000000 0.000000
52.000000 0 0.000000 0.000000 0.000000
60.000000 2 1.414214 2.000000 1.414214
68.000000 7516 86.694867 7516.000000 86.694867
76.000000 14039 118.486286 14039.000000 118.486286
84.000000 10475 102.347447 10475.000000 102.347447
92.000000 11302 106.310865 11302.000000 106.310865
100.000000 10754 103.701495 10754.000000 103.701495
108.000000 10659 103.242433 10659.000000 103.242433
116.000000 10417 102.063706 10417.000000 102.063706
124.000000 9401 96.958754 9401.000000 96.958754
132.000000 9654 98.254771 9654.000000 98.254771
140.000000 9679 98.381909 9679.000000 98.381909
148.000000 9216 96.000000 9216.000000 96.000000
156.000000 9235 96.098907 9235.000000 96.098907
164.000000 8864 94.148818 8864.000000 94.148818
172.000000 8625 92.870878 8625.000000 92.870878
180.000000 8248 90.818500 8248.000000 90.818500
188.000000 8851 94.079753 8851.000000 94.079753
196.000000 8833 93.984041 8833.000000 93.984041
204.000000 9528 97.611475 9528.000000 97.611475
212.000000 9552 97.734334 9552.000000 97.734334
220.000000 10005 100.024997 10005.000000 100.024997
228.000000 9884 99.418308 9884.000000 99.418308
236.000000 10412 102.039208 10412.000000 102.039208
244.000000 10422 102.088197 10422.000000 102.088197
252.000000 11065 105.190304 11065.000000 105.190304
260.000000 11098 105.347046 11098.000000 105.347046
268.000000 11485 107.168092 11485.000000 107.168092
276.000000 11589 107.652218 11589.000000 107.652218
284.000000 12769 113.000000 12769.000000 113.000000
292.000000 13975 118.215904 13975.000000 118.215904
300.000000 15581 124.823876 15581.000000 124.823876
308.000000 15344 123.870901 15344.000000 123.870901
316.000000 16186 127.224212 16186.000000 127.224212
324.000000 15540 124.659536 15540.000000 124.659536
332.000000 16029 126.605687 16029.000000 126.605687
340.000000 15702 125.307621 15702.000000 125.307621
