# name, dx, fmax, fmax_err, norm_value, norm_vale_err
# 54Mn_1 8 66127 257.15170619694516 1 0
# bin_center, freq, freq_err, norm_freq, norm_freq_err
4.000000 0 0.000000 0.000000 0.000000
12.000000 0 0.000000 0.000000 0.000000
20.000000 0 0.000000 0.000000 0.000000
28.000000 0 0.000000 0.000000 0.000000
36.000000 0 0.000000 0.000000 0.000000
44.000000 0 0.000000 0.000000 0.000000
52.000000 0 0.000000 0.000000 0.000000
60.000000 7 2.645751 7.000000 2.645751
68.000000 15876 126.000000 15876.000000 126.000000
76.000000 66127 257.151706 66127.000000 257.151706
84.000000 19283 138.863242 19283.000000 138.863242
92.000000 19731 140.467078 19731.000000 140.467078
100.000000 18338 135.417872 18338.000000 135.417872
108.000000 18104 134.551106 18104.000000 134.551106
116.000000 17155 130.977097 17155.000000 130.977097
124.000000 15740 125.459157 15740.000000 125.459157
132.000000 16596 128.825463 16596.000000 128.825463
140.000000 16986 130.330349 16986.000000 130.330349
148.000000 16632 128.965112 16632.000000 128.965112
156.000000 18013 134.212518 18013.000000 134.212518
164.000000 17882 133.723596 17882.000000 133.723596
172.000000 18975 137.749773 18975.000000 137.749773
180.000000 19510 139.678202 19510.000000 139.678202
188.000000 21153 145.440710 21153.000000 145.440710
196.000000 22414 149.713059 22414.000000 149.713059
204.000000 24378 156.134557 24378.000000 156.134557
212.000000 25353 159.226254 25353.000000 159.226254
220.000000 27638 166.246804 27638.000000 166.246804
228.000000 28531 168.911219 28531.000000 168.911219
236.000000 31259 176.802149 31259.000000 176.802149
244.000000 32076 179.097739 32076.000000 179.097739
252.000000 34849 186.678869 34849.000000 186.678869
260.000000 35521 188.470157 35521.000000 188.470157
268.000000 38219 195.496803 38219.000000 195.496803
276.000000 38613 196.501908 38613.000000 196.501908
284.000000 40931 202.314112 40931.000000 202.314112
292.000000 41454 203.602554 41454.000000 203.602554
300.000000 43873 209.458827 43873.000000 209.458827
308.000000 44051 209.883301 44051.000000 209.883301
316.000000 46480 215.592208 46480.000000 215.592208
324.000000 45287 212.807425 45287.000000 212.807425
332.000000 47512 217.972475 47512.000000 217.972475
340.000000 47548 218.055039 47548.000000 218.055039
