# name, dx, fmax, fmax_err, norm_value, norm_vale_err
# 54Mn 8 1922 43.840620433565945 1 0
# bin_center, freq, freq_err, norm_freq, norm_freq_err
4.000000 0 0.000000 0.000000 0.000000
12.000000 0 0.000000 0.000000 0.000000
20.000000 0 0.000000 0.000000 0.000000
28.000000 0 0.000000 0.000000 0.000000
36.000000 0 0.000000 0.000000 0.000000
44.000000 0 0.000000 0.000000 0.000000
52.000000 0 0.000000 0.000000 0.000000
60.000000 0 0.000000 0.000000 0.000000
68.000000 912 30.199338 912.000000 30.199338
76.000000 941 30.675723 941.000000 30.675723
84.000000 903 30.049958 903.000000 30.049958
92.000000 1032 32.124757 1032.000000 32.124757
100.000000 870 29.495762 870.000000 29.495762
108.000000 863 29.376862 863.000000 29.376862
116.000000 922 30.364453 922.000000 30.364453
124.000000 897 29.949958 897.000000 29.949958
132.000000 850 29.154759 850.000000 29.154759
140.000000 869 29.478806 869.000000 29.478806
148.000000 777 27.874720 777.000000 27.874720
156.000000 943 30.708305 943.000000 30.708305
164.000000 928 30.463092 928.000000 30.463092
172.000000 797 28.231188 797.000000 28.231188
180.000000 799 28.266588 799.000000 28.266588
188.000000 831 28.827071 831.000000 28.827071
196.000000 828 28.774989 828.000000 28.774989
204.000000 821 28.653098 821.000000 28.653098
212.000000 942 30.692019 942.000000 30.692019
220.000000 944 30.724583 944.000000 30.724583
228.000000 916 30.265492 916.000000 30.265492
236.000000 1050 32.403703 1050.000000 32.403703
244.000000 982 31.336879 982.000000 31.336879
252.000000 1079 32.848135 1079.000000 32.848135
260.000000 1076 32.802439 1076.000000 32.802439
268.000000 1008 31.749016 1008.000000 31.749016
276.000000 1213 34.828150 1213.000000 34.828150
284.000000 1413 37.589892 1413.000000 37.589892
292.000000 1608 40.099875 1608.000000 40.099875
300.000000 1609 40.112342 1609.000000 40.112342
308.000000 1585 39.812058 1585.000000 39.812058
316.000000 1839 42.883563 1839.000000 42.883563
324.000000 1570 39.623226 1570.000000 39.623226
332.000000 1602 40.024992 1602.000000 40.024992
340.000000 1718 41.448764 1718.000000 41.448764
348.000000 1702 41.255303 1702.000000 41.255303
356.000000 1581 39.761791 1581.000000 39.761791
