# name, dx, fmax, fmax_err, norm_value, norm_vale_err
# 88Y_1 8 29872 172.8351816037464 1 0
# bin_center, freq, freq_err, norm_freq, norm_freq_err
4.000000 0 0.000000 0.000000 0.000000
12.000000 0 0.000000 0.000000 0.000000
20.000000 0 0.000000 0.000000 0.000000
28.000000 0 0.000000 0.000000 0.000000
36.000000 0 0.000000 0.000000 0.000000
44.000000 0 0.000000 0.000000 0.000000
52.000000 0 0.000000 0.000000 0.000000
60.000000 0 0.000000 0.000000 0.000000
68.000000 6451 80.318118 6451.000000 80.318118
76.000000 26621 163.159431 26621.000000 163.159431
84.000000 9129 95.545801 9129.000000 95.545801
92.000000 9705 98.513958 9705.000000 98.513958
100.000000 9148 95.645178 9148.000000 95.645178
108.000000 8839 94.015956 8839.000000 94.015956
116.000000 8606 92.768529 8606.000000 92.768529
124.000000 7907 88.921314 7907.000000 88.921314
132.000000 8203 90.570415 8203.000000 90.570415
140.000000 8084 89.911067 8084.000000 89.911067
148.000000 7873 88.729927 7873.000000 88.729927
156.000000 8298 91.093359 8298.000000 91.093359
164.000000 8293 91.065910 8293.000000 91.065910
172.000000 8429 91.809586 8429.000000 91.809586
180.000000 8467 92.016303 8467.000000 92.016303
188.000000 9464 97.283092 9464.000000 97.283092
196.000000 9519 97.565363 9519.000000 97.565363
204.000000 10699 103.435971 10699.000000 103.435971
212.000000 11170 105.688221 11170.000000 105.688221
220.000000 12539 111.977676 12539.000000 111.977676
228.000000 12532 111.946416 12532.000000 111.946416
236.000000 13776 117.371206 13776.000000 117.371206
244.000000 14368 119.866593 14368.000000 119.866593
252.000000 15398 124.088678 15398.000000 124.088678
260.000000 15889 126.051577 15889.000000 126.051577
268.000000 16774 129.514478 16774.000000 129.514478
276.000000 17274 131.430590 17274.000000 131.430590
284.000000 18589 136.341483 18589.000000 136.341483
292.000000 19834 140.833235 19834.000000 140.833235
300.000000 21248 145.766937 21248.000000 145.766937
308.000000 21447 146.447943 21447.000000 146.447943
316.000000 23088 151.947359 23088.000000 151.947359
324.000000 22479 149.929984 22479.000000 149.929984
332.000000 23266 152.531964 23266.000000 152.531964
340.000000 23028 151.749794 23028.000000 151.749794
