# name, dx, fmax, fmax_err, norm_value, norm_vale_err
# 88Y 128 3112 55.78530272392541 1 0
# bin_center, freq, freq_err, norm_freq, norm_freq_err
1070.000000 1379 37.134889 1379.000000 37.134889
1198.000000 1586 39.824616 1586.000000 39.824616
1326.000000 1069 32.695565 1069.000000 32.695565
1454.000000 1137 33.719431 1137.000000 33.719431
1582.000000 1098 33.136083 1098.000000 33.136083
1710.000000 985 31.384710 985.000000 31.384710
1838.000000 1231 35.085610 1231.000000 35.085610
1966.000000 1014 31.843367 1014.000000 31.843367
2094.000000 995 31.543621 995.000000 31.543621
2222.000000 1055 32.480764 1055.000000 32.480764
2350.000000 1066 32.649655 1066.000000 32.649655
2478.000000 1063 32.603681 1063.000000 32.603681
2606.000000 1055 32.480764 1055.000000 32.480764
2734.000000 1123 33.511192 1123.000000 33.511192
2862.000000 1024 32.000000 1024.000000 32.000000
2990.000000 941 30.675723 941.000000 30.675723
3118.000000 1071 32.726136 1071.000000 32.726136
3246.000000 1124 33.526109 1124.000000 33.526109
3374.000000 1279 35.763109 1279.000000 35.763109
3502.000000 1235 35.142567 1235.000000 35.142567
3630.000000 1252 35.383612 1252.000000 35.383612
3758.000000 1374 37.067506 1374.000000 37.067506
3886.000000 1373 37.054015 1373.000000 37.054015
4014.000000 1379 37.134889 1379.000000 37.134889
4142.000000 1427 37.775654 1427.000000 37.775654
4270.000000 1568 39.597980 1568.000000 39.597980
4398.000000 1802 42.449971 1802.000000 42.449971
4526.000000 1866 43.197222 1866.000000 43.197222
4654.000000 2326 48.228622 2326.000000 48.228622
4782.000000 2240 47.328638 2240.000000 47.328638
4910.000000 2278 47.728398 2278.000000 47.728398
5038.000000 2305 48.010416 2305.000000 48.010416
5166.000000 2459 49.588305 2459.000000 49.588305
5294.000000 2342 48.394215 2342.000000 48.394215
5422.000000 2371 48.692915 2371.000000 48.692915
5550.000000 2460 49.598387 2460.000000 49.598387
5678.000000 2552 50.517324 2552.000000 50.517324
5806.000000 2474 49.739320 2474.000000 49.739320
5934.000000 2399 48.979588 2399.000000 48.979588
6062.000000 2308 48.041649 2308.000000 48.041649
6190.000000 2125 46.097722 2125.000000 46.097722
6318.000000 2392 48.908077 2392.000000 48.908077
6446.000000 2424 49.234135 2424.000000 49.234135
6574.000000 2271 47.655010 2271.000000 47.655010
6702.000000 2282 47.770284 2282.000000 47.770284
6830.000000 2425 49.244289 2425.000000 49.244289
6958.000000 2547 50.467812 2547.000000 50.467812
7086.000000 2310 48.062459 2310.000000 48.062459
7214.000000 2731 52.258971 2731.000000 52.258971
7342.000000 2281 47.759816 2281.000000 47.759816
7470.000000 2334 48.311489 2334.000000 48.311489
7598.000000 2405 49.040799 2405.000000 49.040799
7726.000000 2433 49.325450 2433.000000 49.325450
7854.000000 2505 50.049975 2505.000000 50.049975
7982.000000 2704 52.000000 2704.000000 52.000000
8110.000000 2503 50.029991 2503.000000 50.029991
8238.000000 2546 50.457903 2546.000000 50.457903
8366.000000 2446 49.457052 2446.000000 49.457052
8494.000000 2705 52.009614 2705.000000 52.009614
8622.000000 2803 52.943366 2803.000000 52.943366
8750.000000 2604 51.029403 2604.000000 51.029403
8878.000000 2604 51.029403 2604.000000 51.029403
9006.000000 2741 52.354560 2741.000000 52.354560
9134.000000 2532 50.318983 2532.000000 50.318983
9262.000000 2536 50.358713 2536.000000 50.358713
9390.000000 2521 50.209561 2521.000000 50.209561
9518.000000 2716 52.115257 2716.000000 52.115257
9646.000000 3016 54.918121 3016.000000 54.918121
9774.000000 2945 54.267854 2945.000000 54.267854
9902.000000 3042 55.154329 3042.000000 55.154329
10030.000000 3069 55.398556 3069.000000 55.398556
10158.000000 3112 55.785303 3112.000000 55.785303
10286.000000 3010 54.863467 3010.000000 54.863467
10414.000000 2962 54.424259 2962.000000 54.424259
10542.000000 2815 53.056574 2815.000000 53.056574
10670.000000 2683 51.797683 2683.000000 51.797683
10798.000000 2710 52.057660 2710.000000 52.057660
10926.000000 2294 47.895720 2294.000000 47.895720
11054.000000 2445 49.446941 2445.000000 49.446941
11182.000000 2011 44.844175 2011.000000 44.844175
11310.000000 1894 43.520110 1894.000000 43.520110
11438.000000 1722 41.496988 1722.000000 41.496988
11566.000000 1525 39.051248 1525.000000 39.051248
11694.000000 1451 38.091994 1451.000000 38.091994
11822.000000 1384 37.202150 1384.000000 37.202150
11950.000000 1382 37.175261 1382.000000 37.175261
12078.000000 1306 36.138622 1306.000000 36.138622
12206.000000 1320 36.331804 1320.000000 36.331804
12334.000000 1207 34.741906 1207.000000 34.741906
12462.000000 1114 33.376639 1114.000000 33.376639
