# name, dx, fmax, fmax_err, norm_value, norm_vale_err
# bkgd 8 7166 84.65222974027323 1 0
# bin_center, freq, freq_err, norm_freq, norm_freq_err
4.000000 0 0.000000 0.000000 0.000000
12.000000 0 0.000000 0.000000 0.000000
20.000000 0 0.000000 0.000000 0.000000
28.000000 0 0.000000 0.000000 0.000000
36.000000 0 0.000000 0.000000 0.000000
44.000000 0 0.000000 0.000000 0.000000
52.000000 0 0.000000 0.000000 0.000000
60.000000 0 0.000000 0.000000 0.000000
68.000000 1578 39.724048 1578.000000 39.724048
76.000000 1141 33.778692 1141.000000 33.778692
84.000000 868 29.461840 868.000000 29.461840
92.000000 970 31.144823 970.000000 31.144823
100.000000 934 30.561414 934.000000 30.561414
108.000000 1013 31.827661 1013.000000 31.827661
116.000000 855 29.240383 855.000000 29.240383
124.000000 859 29.308702 859.000000 29.308702
132.000000 865 29.410882 865.000000 29.410882
140.000000 865 29.410882 865.000000 29.410882
148.000000 847 29.103264 847.000000 29.103264
156.000000 803 28.337255 803.000000 28.337255
164.000000 755 27.477263 755.000000 27.477263
172.000000 782 27.964263 782.000000 27.964263
180.000000 748 27.349589 748.000000 27.349589
188.000000 843 29.034462 843.000000 29.034462
196.000000 774 27.820855 774.000000 27.820855
204.000000 848 29.120440 848.000000 29.120440
212.000000 865 29.410882 865.000000 29.410882
220.000000 913 30.215890 913.000000 30.215890
228.000000 894 29.899833 894.000000 29.899833
236.000000 936 30.594117 936.000000 30.594117
244.000000 966 31.080541 966.000000 31.080541
252.000000 971 31.160873 971.000000 31.160873
260.000000 1094 33.075671 1094.000000 33.075671
268.000000 1220 34.928498 1220.000000 34.928498
276.000000 1510 38.858718 1510.000000 38.858718
284.000000 1814 42.591079 1814.000000 42.591079
292.000000 2014 44.877611 2014.000000 44.877611
300.000000 2345 48.425200 2345.000000 48.425200
308.000000 2473 49.729267 2473.000000 49.729267
316.000000 2579 50.783856 2579.000000 50.783856
324.000000 2703 51.990384 2703.000000 51.990384
332.000000 2917 54.009258 2917.000000 54.009258
340.000000 3001 54.781384 3001.000000 54.781384
348.000000 3360 57.965507 3360.000000 57.965507
356.000000 3388 58.206529 3388.000000 58.206529
