# name, dx, fmax, fmax_err, norm_value, norm_vale_err
# Co60 0.1 368 19.183326093250876 9189 95.85927185202274
# bin_center, freq, freq_err, norm_freq, norm_freq_err
0.050000 0 0.000000 0.000000 0.000000
0.150000 0 0.000000 0.000000 0.000000
0.250000 0 0.000000 0.000000 0.000000
0.350000 0 0.000000 0.000000 0.000000
0.450000 0 0.000000 0.000000 0.000000
0.550000 1 1.000000 0.000109 0.000109
0.650000 5 2.236068 0.000544 0.000243
0.750000 16 4.000000 0.001741 0.000436
0.850000 36 6.000000 0.003918 0.000654
0.950000 74 8.602325 0.008053 0.000940
1.050000 136 11.661904 0.014800 0.001278
1.150000 149 12.206556 0.016215 0.001339
1.250000 149 12.206556 0.016215 0.001339
1.350000 152 12.328828 0.016542 0.001353
1.450000 180 13.416408 0.019589 0.001474
1.550000 148 12.165525 0.016106 0.001335
1.650000 166 12.884099 0.018065 0.001415
1.750000 176 13.266499 0.019153 0.001457
1.850000 159 12.609520 0.017303 0.001384
1.950000 139 11.789826 0.015127 0.001293
2.050000 170 13.038405 0.018500 0.001432
2.150000 150 12.247449 0.016324 0.001344
2.250000 149 12.206556 0.016215 0.001339
2.350000 152 12.328828 0.016542 0.001353
2.450000 159 12.609520 0.017303 0.001384
2.550000 142 11.916375 0.015453 0.001307
2.650000 158 12.569805 0.017194 0.001380
2.750000 147 12.124356 0.015997 0.001330
2.850000 129 11.357817 0.014039 0.001245
2.950000 138 11.747340 0.015018 0.001288
3.050000 147 12.124356 0.015997 0.001330
3.150000 142 11.916375 0.015453 0.001307
3.250000 162 12.727922 0.017630 0.001397
3.350000 137 11.704700 0.014909 0.001283
3.450000 178 13.341664 0.019371 0.001466
3.550000 136 11.661904 0.014800 0.001278
3.650000 166 12.884099 0.018065 0.001415
3.750000 129 11.357817 0.014039 0.001245
3.850000 152 12.328828 0.016542 0.001353
3.950000 180 13.416408 0.019589 0.001474
4.050000 148 12.165525 0.016106 0.001335
4.150000 128 11.313708 0.013930 0.001240
4.250000 138 11.747340 0.015018 0.001288
4.350000 147 12.124356 0.015997 0.001330
4.450000 157 12.529964 0.017086 0.001375
4.550000 137 11.704700 0.014909 0.001283
4.650000 137 11.704700 0.014909 0.001283
4.750000 136 11.661904 0.014800 0.001278
4.850000 170 13.038405 0.018500 0.001432
4.950000 147 12.124356 0.015997 0.001330
5.050000 165 12.845233 0.017956 0.001410
5.150000 173 13.152946 0.018827 0.001445
5.250000 163 12.767145 0.017739 0.001402
5.350000 174 13.190906 0.018936 0.001449
5.450000 164 12.806248 0.017847 0.001406
5.550000 187 13.674794 0.020350 0.001503
5.650000 170 13.038405 0.018500 0.001432
5.750000 183 13.527749 0.019915 0.001487
5.850000 171 13.076697 0.018609 0.001436
5.950000 212 14.560220 0.023071 0.001603
6.050000 190 13.784049 0.020677 0.001515
6.150000 198 14.071247 0.021548 0.001548
6.250000 180 13.416408 0.019589 0.001474
6.350000 189 13.747727 0.020568 0.001511
6.450000 218 14.764823 0.023724 0.001626
6.550000 208 14.422205 0.022636 0.001587
6.650000 190 13.784049 0.020677 0.001515
6.750000 212 14.560220 0.023071 0.001603
6.850000 248 15.748016 0.026989 0.001737
6.950000 232 15.231546 0.025248 0.001678
7.050000 214 14.628739 0.023289 0.001610
7.150000 242 15.556349 0.026336 0.001715
7.250000 214 14.628739 0.023289 0.001610
7.350000 229 15.132746 0.024921 0.001667
7.450000 221 14.866069 0.024050 0.001637
7.550000 200 14.142136 0.021765 0.001556
7.650000 208 14.422205 0.022636 0.001587
7.750000 223 14.933185 0.024268 0.001645
