# name, dx, fmax, fmax_err, norm_value, norm_vale_err
# Cs137 0.1 9189 95.85927185202274 9189 95.85927185202274
# bin_center, freq, freq_err, norm_freq, norm_freq_err
0.050000 0 0.000000 0.000000 0.000000
0.150000 0 0.000000 0.000000 0.000000
0.250000 0 0.000000 0.000000 0.000000
0.350000 0 0.000000 0.000000 0.000000
0.450000 1 1.000000 0.000109 0.000109
0.550000 21 4.582576 0.002285 0.000499
0.650000 105 10.246951 0.011427 0.001121
0.750000 489 22.113344 0.053216 0.002470
0.850000 1528 39.089641 0.166286 0.004594
0.950000 3427 58.540584 0.372946 0.007465
1.050000 5628 75.019997 0.612471 0.010367
1.150000 7371 85.854528 0.802155 0.012543
1.250000 8562 92.531076 0.931766 0.013996
1.350000 9149 95.650405 0.995647 0.014705
1.450000 9189 95.859272 1.000000 0.014753
1.550000 8346 91.356445 0.908260 0.013734
1.650000 7406 86.058120 0.805964 0.012586
1.750000 6488 80.548122 0.706062 0.011449
1.850000 5332 73.020545 0.580259 0.009989
1.950000 4373 66.128662 0.475895 0.008743
2.050000 3324 57.654141 0.361737 0.007322
2.150000 2631 51.293274 0.286321 0.006331
2.250000 2106 45.891176 0.229187 0.005537
2.350000 1754 41.880783 0.190880 0.004974
2.450000 1386 37.229021 0.150833 0.004346
2.550000 1226 35.014283 0.133420 0.004057
2.650000 1144 33.823069 0.124497 0.003903
2.750000 1042 32.280025 0.113396 0.003707
2.850000 944 30.724583 0.102732 0.003511
2.950000 963 31.032241 0.104799 0.003550
3.050000 920 30.331502 0.100120 0.003462
3.150000 906 30.099834 0.098596 0.003433
3.250000 907 30.116441 0.098705 0.003435
3.350000 879 29.647934 0.095658 0.003377
3.450000 895 29.916551 0.097399 0.003411
3.550000 894 29.899833 0.097290 0.003408
3.650000 826 28.740216 0.089890 0.003265
3.750000 872 29.529646 0.094896 0.003363
3.850000 914 30.232433 0.099467 0.003450
3.950000 917 30.282008 0.099793 0.003456
4.050000 864 29.393877 0.094025 0.003346
4.150000 920 30.331502 0.100120 0.003462
4.250000 868 29.461840 0.094461 0.003354
4.350000 799 28.266588 0.086952 0.003207
4.450000 784 28.000000 0.085319 0.003174
4.550000 832 28.844410 0.090543 0.003278
4.650000 848 29.120440 0.092284 0.003312
4.750000 815 28.548205 0.088693 0.003242
4.850000 869 29.478806 0.094570 0.003356
4.950000 884 29.732137 0.096202 0.003388
5.050000 838 28.948230 0.091196 0.003291
5.150000 866 29.427878 0.094243 0.003350
5.250000 860 29.325757 0.093590 0.003337
5.350000 844 29.051678 0.091849 0.003304
5.450000 899 29.983329 0.097834 0.003419
5.550000 864 29.393877 0.094025 0.003346
5.650000 846 29.086079 0.092067 0.003308
5.750000 908 30.133038 0.098814 0.003437
5.850000 815 28.548205 0.088693 0.003242
5.950000 838 28.948230 0.091196 0.003291
6.050000 799 28.266588 0.086952 0.003207
6.150000 871 29.512709 0.094787 0.003361
6.250000 772 27.784888 0.084013 0.003148
6.350000 846 29.086079 0.092067 0.003308
6.450000 817 28.583212 0.088911 0.003246
6.550000 827 28.757608 0.089999 0.003267
6.650000 862 29.359837 0.093808 0.003342
6.750000 859 29.308702 0.093481 0.003335
6.850000 890 29.832868 0.096855 0.003400
6.950000 914 30.232433 0.099467 0.003450
7.050000 897 29.949958 0.097617 0.003415
7.150000 891 29.849623 0.096964 0.003402
7.250000 905 30.083218 0.098487 0.003431
7.350000 923 30.380915 0.100446 0.003468
7.450000 921 30.347982 0.100229 0.003464
7.550000 817 28.583212 0.088911 0.003246
7.650000 927 30.446675 0.100881 0.003476
