# name, dx, fmax, fmax_err, norm_value, norm_vale_err
# Na22 0.1 848 29.120439557122072 9189 95.85927185202274
# bin_center, freq, freq_err, norm_freq, norm_freq_err
0.050000 0 0.000000 0.000000 0.000000
0.150000 0 0.000000 0.000000 0.000000
0.250000 0 0.000000 0.000000 0.000000
0.350000 0 0.000000 0.000000 0.000000
0.450000 0 0.000000 0.000000 0.000000
0.550000 0 0.000000 0.000000 0.000000
0.650000 1 1.000000 0.000109 0.000109
0.750000 23 4.795832 0.002503 0.000523
0.850000 52 7.211103 0.005659 0.000787
0.950000 137 11.704700 0.014909 0.001283
1.050000 207 14.387495 0.022527 0.001583
1.150000 268 16.370706 0.029165 0.001807
1.250000 287 16.941074 0.031233 0.001872
1.350000 308 17.549929 0.033518 0.001942
1.450000 331 18.193405 0.036021 0.002015
1.550000 306 17.492856 0.033301 0.001935
1.650000 298 17.262677 0.032430 0.001909
1.750000 289 17.000000 0.031451 0.001879
1.850000 274 16.552945 0.029818 0.001828
1.950000 250 15.811388 0.027206 0.001744
2.050000 298 17.262677 0.032430 0.001909
2.150000 275 16.583124 0.029927 0.001831
2.250000 281 16.763055 0.030580 0.001852
2.350000 296 17.204651 0.032212 0.001902
2.450000 278 16.673332 0.030254 0.001842
2.550000 264 16.248077 0.028730 0.001793
2.650000 272 16.492423 0.029601 0.001821
2.750000 276 16.613248 0.030036 0.001835
2.850000 264 16.248077 0.028730 0.001793
2.950000 271 16.462078 0.029492 0.001818
3.050000 281 16.763055 0.030580 0.001852
3.150000 264 16.248077 0.028730 0.001793
3.250000 262 16.186414 0.028512 0.001786
3.350000 309 17.578396 0.033627 0.001945
3.450000 258 16.062378 0.028077 0.001772
3.550000 282 16.792856 0.030689 0.001855
3.650000 299 17.291616 0.032539 0.001912
3.750000 299 17.291616 0.032539 0.001912
3.850000 279 16.703293 0.030362 0.001845
3.950000 278 16.673332 0.030254 0.001842
4.050000 265 16.278821 0.028839 0.001797
4.150000 284 16.852300 0.030907 0.001862
4.250000 282 16.792856 0.030689 0.001855
4.350000 234 15.297059 0.025465 0.001686
4.450000 267 16.340135 0.029056 0.001804
4.550000 256 16.000000 0.027859 0.001765
4.650000 287 16.941074 0.031233 0.001872
4.750000 324 18.000000 0.035260 0.001993
4.850000 306 17.492856 0.033301 0.001935
4.950000 314 17.720045 0.034171 0.001961
5.050000 308 17.549929 0.033518 0.001942
5.150000 329 18.138357 0.035804 0.002009
5.250000 288 16.970563 0.031342 0.001876
5.350000 306 17.492856 0.033301 0.001935
5.450000 338 18.384776 0.036783 0.002037
5.550000 294 17.146428 0.031995 0.001896
5.650000 344 18.547237 0.037436 0.002056
5.750000 362 19.026298 0.039395 0.002111
5.850000 308 17.549929 0.033518 0.001942
5.950000 347 18.627936 0.037763 0.002065
6.050000 347 18.627936 0.037763 0.002065
6.150000 367 19.157244 0.039939 0.002126
6.250000 344 18.547237 0.037436 0.002056
6.350000 315 17.748239 0.034280 0.001964
6.450000 349 18.681542 0.037980 0.002071
6.550000 371 19.261360 0.040374 0.002138
6.650000 358 18.920888 0.038960 0.002099
6.750000 348 18.654758 0.037871 0.002068
6.850000 342 18.493242 0.037218 0.002050
6.950000 343 18.520259 0.037327 0.002053
7.050000 366 19.131126 0.039830 0.002123
7.150000 400 20.000000 0.043530 0.002223
7.250000 386 19.646883 0.042007 0.002183
7.350000 349 18.681542 0.037980 0.002071
7.450000 368 19.183326 0.040048 0.002129
7.550000 415 20.371549 0.045163 0.002266
7.650000 385 19.621417 0.041898 0.002180
7.750000 382 19.544820 0.041571 0.002171
