# name, dx, fmax, fmax_err, norm_value, norm_vale_err
# bkgd 0.1 280 16.73320053068151 9189 95.85927185202274
# bin_center, freq, freq_err, norm_freq, norm_freq_err
0.050000 0 0.000000 0.000000 0.000000
0.150000 0 0.000000 0.000000 0.000000
0.250000 0 0.000000 0.000000 0.000000
0.350000 0 0.000000 0.000000 0.000000
0.450000 0 0.000000 0.000000 0.000000
0.550000 0 0.000000 0.000000 0.000000
0.650000 0 0.000000 0.000000 0.000000
0.750000 0 0.000000 0.000000 0.000000
0.850000 2 1.414214 0.000218 0.000154
0.950000 3 1.732051 0.000326 0.000189
1.050000 11 3.316625 0.001197 0.000361
1.150000 20 4.472136 0.002177 0.000487
1.250000 11 3.316625 0.001197 0.000361
1.350000 19 4.358899 0.002068 0.000475
1.450000 11 3.316625 0.001197 0.000361
1.550000 16 4.000000 0.001741 0.000436
1.650000 18 4.242641 0.001959 0.000462
1.750000 20 4.472136 0.002177 0.000487
1.850000 16 4.000000 0.001741 0.000436
1.950000 23 4.795832 0.002503 0.000523
2.050000 16 4.000000 0.001741 0.000436
2.150000 16 4.000000 0.001741 0.000436
2.250000 20 4.472136 0.002177 0.000487
2.350000 16 4.000000 0.001741 0.000436
2.450000 21 4.582576 0.002285 0.000499
2.550000 19 4.358899 0.002068 0.000475
2.650000 15 3.872983 0.001632 0.000422
2.750000 15 3.872983 0.001632 0.000422
2.850000 14 3.741657 0.001524 0.000407
2.950000 17 4.123106 0.001850 0.000449
3.050000 20 4.472136 0.002177 0.000487
3.150000 27 5.196152 0.002938 0.000566
3.250000 20 4.472136 0.002177 0.000487
3.350000 24 4.898979 0.002612 0.000534
3.450000 19 4.358899 0.002068 0.000475
3.550000 18 4.242641 0.001959 0.000462
3.650000 20 4.472136 0.002177 0.000487
3.750000 29 5.385165 0.003156 0.000587
3.850000 25 5.000000 0.002721 0.000545
3.950000 26 5.099020 0.002829 0.000556
4.050000 36 6.000000 0.003918 0.000654
4.150000 27 5.196152 0.002938 0.000566
4.250000 25 5.000000 0.002721 0.000545
4.350000 29 5.385165 0.003156 0.000587
4.450000 38 6.164414 0.004135 0.000672
4.550000 29 5.385165 0.003156 0.000587
4.650000 30 5.477226 0.003265 0.000597
4.750000 45 6.708204 0.004897 0.000732
4.850000 40 6.324555 0.004353 0.000690
4.950000 33 5.744563 0.003591 0.000626
5.050000 38 6.164414 0.004135 0.000672
5.150000 35 5.916080 0.003809 0.000645
5.250000 49 7.000000 0.005332 0.000764
5.350000 58 7.615773 0.006312 0.000831
5.450000 63 7.937254 0.006856 0.000867
5.550000 73 8.544004 0.007944 0.000933
5.650000 76 8.717798 0.008271 0.000953
5.750000 71 8.426150 0.007727 0.000921
5.850000 78 8.831761 0.008488 0.000965
5.950000 76 8.717798 0.008271 0.000953
6.050000 78 8.831761 0.008488 0.000965
6.150000 104 10.198039 0.011318 0.001116
6.250000 98 9.899495 0.010665 0.001083
6.350000 107 10.344080 0.011644 0.001132
6.450000 100 10.000000 0.010883 0.001094
6.550000 106 10.295630 0.011536 0.001127
6.650000 94 9.695360 0.010230 0.001060
6.750000 113 10.630146 0.012297 0.001164
6.850000 91 9.539392 0.009903 0.001043
6.950000 112 10.583005 0.012188 0.001159
7.050000 112 10.583005 0.012188 0.001159
7.150000 116 10.770330 0.012624 0.001179
7.250000 108 10.392305 0.011753 0.001138
7.350000 104 10.198039 0.011318 0.001116
7.450000 136 11.661904 0.014800 0.001278
7.550000 123 11.090537 0.013386 0.001215
7.650000 125 11.180340 0.013603 0.001225
7.750000 119 10.908712 0.012950 0.001195
