Model,MDO3024
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-07
Horizontal Delay,0
Sample Interval,4e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,0
,
,
,
Label,
TIME,CH1
-2.000000e-06,-0.0004
-1.999600e-06,-0.0008
-1.999200e-06,-0.0004
-1.998800e-06,-0.0004
-1.998400e-06,-0.0004
-1.998000e-06,-0.0004
-1.997600e-06,-0.0004
-1.997200e-06,-0.0004
-1.996800e-06,-0.0004
-1.996400e-06,-0.0004
-1.996000e-06,-0.0004
-1.995600e-06,-0.0004
-1.995200e-06,-0.0004
-1.994800e-06,-0.0004
-1.994400e-06,-0.0004
-1.994000e-06,-0.0004
-1.993600e-06,0
-1.993200e-06,-0.0004
-1.992800e-06,-0.0004
-1.992400e-06,-0.0004
-1.992000e-06,-0.0004
-1.991600e-06,-0.0004
-1.991200e-06,-0.0004
-1.990800e-06,-0.0008
-1.990400e-06,-0.0008
-1.990000e-06,-0.0004
-1.989600e-06,-0.0004
-1.989200e-06,0
-1.988800e-06,-0.0004
-1.988400e-06,-0.0004
-1.988000e-06,0
-1.987600e-06,-0.0004
-1.987200e-06,-0.0004
-1.986800e-06,-0.0004
-1.986400e-06,-0.0004
-1.986000e-06,-0.0008
-1.985600e-06,-0.0004
-1.985200e-06,-0.0004
-1.984800e-06,-0.0004
-1.984400e-06,-0.0004
-1.984000e-06,-0.0004
-1.983600e-06,-0.0004
-1.983200e-06,-0.0004
-1.982800e-06,0
-1.982400e-06,0
-1.982000e-06,-0.0004
-1.981600e-06,-0.0004
-1.981200e-06,-0.0004
-1.980800e-06,-0.0004
-1.980400e-06,-0.0004
-1.980000e-06,-0.0004
-1.979600e-06,-0.0004
-1.979200e-06,-0.0004
-1.978800e-06,-0.0004
-1.978400e-06,-0.0004
-1.978000e-06,-0.0004
-1.977600e-06,-0.0004
-1.977200e-06,-0.0004
-1.976800e-06,-0.0004
-1.976400e-06,-0.0004
-1.976000e-06,-0.0004
-1.975600e-06,-0.0004
-1.975200e-06,-0.0004
-1.974800e-06,0
-1.974400e-06,-0.0004
-1.974000e-06,-0.0004
-1.973600e-06,-0.0004
-1.973200e-06,-0.0008
-1.972800e-06,0
-1.972400e-06,-0.0004
-1.972000e-06,-0.0004
-1.971600e-06,-0.0004
-1.971200e-06,-0.0004
-1.970800e-06,-0.0004
-1.970400e-06,-0.0004
-1.970000e-06,-0.0004
-1.969600e-06,-0.0008
-1.969200e-06,-0.0008
-1.968800e-06,-0.0004
-1.968400e-06,-0.0008
-1.968000e-06,-0.0004
-1.967600e-06,-0.0004
-1.967200e-06,-0.0004
-1.966800e-06,-0.0004
-1.966400e-06,-0.0004
-1.966000e-06,-0.0004
-1.965600e-06,-0.0004
-1.965200e-06,-0.0004
-1.964800e-06,-0.0004
-1.964400e-06,-0.0004
-1.964000e-06,-0.0004
-1.963600e-06,-0.0004
-1.963200e-06,-0.0004
-1.962800e-06,-0.0004
-1.962400e-06,-0.0004
-1.962000e-06,-0.0004
-1.961600e-06,-0.0004
-1.961200e-06,-0.0004
-1.960800e-06,-0.0004
-1.960400e-06,-0.0004
-1.960000e-06,-0.0004
-1.959600e-06,-0.0004
-1.959200e-06,-0.0004
-1.958800e-06,-0.0004
-1.958400e-06,-0.0004
-1.958000e-06,-0.0004
-1.957600e-06,-0.0004
-1.957200e-06,-0.0004
-1.956800e-06,-0.0004
-1.956400e-06,-0.0004
-1.956000e-06,-0.0004
-1.955600e-06,-0.0004
-1.955200e-06,-0.0004
-1.954800e-06,-0.0004
-1.954400e-06,-0.0004
-1.954000e-06,-0.0004
-1.953600e-06,-0.0004
-1.953200e-06,-0.0004
-1.952800e-06,-0.0004
-1.952400e-06,-0.0004
-1.952000e-06,-0.0004
-1.951600e-06,-0.0004
-1.951200e-06,0
-1.950800e-06,-0.0004
-1.950400e-06,-0.0004
-1.950000e-06,0
-1.949600e-06,-0.0004
-1.949200e-06,-0.0004
-1.948800e-06,-0.0004
-1.948400e-06,-0.0004
-1.948000e-06,-0.0004
-1.947600e-06,-0.0004
-1.947200e-06,-0.0004
-1.946800e-06,-0.0004
-1.946400e-06,-0.0004
-1.946000e-06,-0.0004
-1.945600e-06,-0.0004
-1.945200e-06,-0.0004
-1.944800e-06,-0.0004
-1.944400e-06,-0.0004
-1.944000e-06,-0.0008
-1.943600e-06,-0.0004
-1.943200e-06,-0.0004
-1.942800e-06,0
-1.942400e-06,-0.0008
-1.942000e-06,-0.0004
-1.941600e-06,-0.0004
-1.941200e-06,-0.0004
-1.940800e-06,-0.0004
-1.940400e-06,-0.0004
-1.940000e-06,-0.0004
-1.939600e-06,-0.0004
-1.939200e-06,-0.0004
-1.938800e-06,-0.0004
-1.938400e-06,-0.0004
-1.938000e-06,-0.0004
-1.937600e-06,-0.0004
-1.937200e-06,-0.0004
-1.936800e-06,-0.0004
-1.936400e-06,-0.0004
-1.936000e-06,-0.0004
-1.935600e-06,-0.0004
-1.935200e-06,-0.0004
-1.934800e-06,-0.0004
-1.934400e-06,-0.0004
-1.934000e-06,-0.0004
-1.933600e-06,-0.0004
-1.933200e-06,-0.0004
-1.932800e-06,-0.0004
-1.932400e-06,-0.0004
-1.932000e-06,-0.0004
-1.931600e-06,-0.0004
-1.931200e-06,-0.0004
-1.930800e-06,-0.0004
-1.930400e-06,-0.0004
-1.930000e-06,-0.0004
-1.929600e-06,-0.0004
-1.929200e-06,-0.0004
-1.928800e-06,-0.0008
-1.928400e-06,-0.0004
-1.928000e-06,-0.0004
-1.927600e-06,-0.0004
-1.927200e-06,-0.0004
-1.926800e-06,-0.0004
-1.926400e-06,-0.0004
-1.926000e-06,-0.0004
-1.925600e-06,-0.0004
-1.925200e-06,-0.0004
-1.924800e-06,-0.0004
-1.924400e-06,-0.0004
-1.924000e-06,-0.0004
-1.923600e-06,-0.0004
-1.923200e-06,-0.0004
-1.922800e-06,-0.0004
-1.922400e-06,-0.0004
-1.922000e-06,-0.0004
-1.921600e-06,-0.0008
-1.921200e-06,-0.0008
-1.920800e-06,-0.0004
-1.920400e-06,-0.0004
-1.920000e-06,-0.0004
-1.919600e-06,-0.0004
-1.919200e-06,-0.0004
-1.918800e-06,-0.0004
-1.918400e-06,-0.0004
-1.918000e-06,-0.0004
-1.917600e-06,-0.0004
-1.917200e-06,-0.0004
-1.916800e-06,-0.0008
-1.916400e-06,-0.0004
-1.916000e-06,-0.0004
-1.915600e-06,-0.0004
-1.915200e-06,-0.0004
-1.914800e-06,-0.0004
-1.914400e-06,-0.0004
-1.914000e-06,-0.0004
-1.913600e-06,-0.0004
-1.913200e-06,-0.0004
-1.912800e-06,-0.0004
-1.912400e-06,-0.0004
-1.912000e-06,-0.0004
-1.911600e-06,-0.0004
-1.911200e-06,-0.0008
-1.910800e-06,-0.0004
-1.910400e-06,-0.0004
-1.910000e-06,-0.0004
-1.909600e-06,-0.0004
-1.909200e-06,-0.0004
-1.908800e-06,-0.0008
-1.908400e-06,-0.0004
-1.908000e-06,-0.0004
-1.907600e-06,-0.0004
-1.907200e-06,-0.0004
-1.906800e-06,-0.0004
-1.906400e-06,-0.0004
-1.906000e-06,-0.0004
-1.905600e-06,-0.0004
-1.905200e-06,-0.0004
-1.904800e-06,-0.0004
-1.904400e-06,-0.0004
-1.904000e-06,-0.0004
-1.903600e-06,-0.0008
-1.903200e-06,-0.0004
-1.902800e-06,-0.0004
-1.902400e-06,-0.0004
-1.902000e-06,-0.0004
-1.901600e-06,-0.0012
-1.901200e-06,-0.0008
-1.900800e-06,-0.0004
-1.900400e-06,-0.0008
-1.900000e-06,-0.0004
-1.899600e-06,-0.0004
-1.899200e-06,-0.0004
-1.898800e-06,-0.0004
-1.898400e-06,-0.0008
-1.898000e-06,-0.0004
-1.897600e-06,-0.0004
-1.897200e-06,-0.0004
-1.896800e-06,-0.0004
-1.896400e-06,-0.0004
-1.896000e-06,-0.0004
-1.895600e-06,-0.0004
-1.895200e-06,-0.0004
-1.894800e-06,-0.0004
-1.894400e-06,-0.0004
-1.894000e-06,0
-1.893600e-06,-0.0004
-1.893200e-06,-0.0004
-1.892800e-06,-0.0004
