Model,MDO3024
Firmware Version,1.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-05,,
Horizontal Delay,4e-05,,
Sample Interval,1e-08,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,1,10
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.2,0.02,2
Vertical Position,0,0,0
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
-1.000000e-05,0.032,-0.0008,0.72
-9.990000e-06,0.032,0.0008,0.8
-9.980000e-06,0.032,0,0.8
-9.970000e-06,0.032,0,0.72
-9.960000e-06,0.032,-0.0008,0.8
-9.950000e-06,0.032,0,0.8
-9.940000e-06,0.032,0,0.8
-9.930000e-06,0.032,0,0.72
-9.920000e-06,0.032,0,0.64
-9.910000e-06,0.032,0,0.72
-9.900000e-06,0.032,0,0.8
-9.890000e-06,0.024,0.0008,0.72
-9.880000e-06,0.04,0,0.8
-9.870000e-06,0.04,0,0.8
-9.860000e-06,0.032,0,0.72
-9.850000e-06,0.024,0,0.8
-9.840000e-06,0.032,0,0.72
-9.830000e-06,0.032,0,0.64
-9.820000e-06,0.024,0,0.72
-9.810000e-06,0.032,0,0.72
-9.800000e-06,0.032,0,0.8
-9.790000e-06,0.032,0,0.72
-9.780000e-06,0.032,0,0.72
-9.770000e-06,0.032,0,0.8
-9.760000e-06,0.032,0,0.8
-9.750000e-06,0.032,0,0.72
-9.740000e-06,0.032,-0.0008,0.72
-9.730000e-06,0.032,0,0.8
-9.720000e-06,0.032,0,0.8
-9.710000e-06,0.024,0,0.72
-9.700000e-06,0.032,0,0.8
-9.690000e-06,0.024,0,0.8
-9.680000e-06,0.032,0,0.64
-9.670000e-06,0.04,0,0.8
-9.660000e-06,0.032,-0.0008,0.8
-9.650000e-06,0.024,0,0.8
-9.640000e-06,0.032,0,0.8
-9.630000e-06,0.024,0,0.72
-9.620000e-06,0.032,0,0.8
-9.610000e-06,0.024,0,0.8
-9.600000e-06,0.032,0,0.72
-9.590000e-06,0.04,0,0.72
-9.580000e-06,0.032,0,0.72
-9.570000e-06,0.024,0,0.8
-9.560000e-06,0.032,0,0.8
-9.550000e-06,0.032,0,0.8
-9.540000e-06,0.04,0,0.8
-9.530000e-06,0.024,0,0.72
-9.520000e-06,0.032,0,0.8
-9.510000e-06,0.032,0,0.8
-9.500000e-06,0.032,0,0.72
-9.490000e-06,0.032,0,0.72
-9.480000e-06,0.032,0,0.8
-9.470000e-06,0.032,0,0.8
-9.460000e-06,0.024,0,0.72
-9.450000e-06,0.032,0,0.8
-9.440000e-06,0.04,0.0008,0.8
-9.430000e-06,0.032,0,0.8
-9.420000e-06,0.024,0,0.72
-9.410000e-06,0.032,0,0.64
-9.400000e-06,0.032,0.0008,0.8
-9.390000e-06,0.032,0,0.72
-9.380000e-06,0.024,0,0.8
-9.370000e-06,0.032,0,0.64
-9.360000e-06,0.04,0,0.8
-9.350000e-06,0.032,0,0.8
-9.340000e-06,0.032,0,0.8
-9.330000e-06,0.024,0,0.8
-9.320000e-06,0.032,0,0.72
-9.310000e-06,0.024,0,0.8
-9.300000e-06,0.04,0,0.8
